"name","footprint","id"
"Afghanistan",0.829177583,"AFG"
"Albania",1.831254976,"ALB"
"Algeria",1.394950844,"DZA"
"Angola",0.824886847,"AGO"
"Antigua and Barbuda",4.05864382,"ATG"
"Argentina",3.079274725,"ARG"
"Aruba",13.00044876,"ABW"
"Australia",8.041743234,"AUS"
"Austria",5.387836943,"AUT"
"Bahamas",6.074368761,"BHS"
"Bahrain",9.236977292,"BHR"
"Bangladesh",0.491464319,"BGD"
"Barbados",3.827196186,"BRB"
"Belgium",7.091643052,"BEL"
"Benin",1.089144588,"BEN"
"Bermuda",6.905818157,"BMU"
"Bhutan",4.108268518,"BTN"
"Bolivia",2.147177437,"BOL"
"Botswana",2.509461565,"BWA"
"Brazil",2.880231778,"BRA"
"Brunei Darussalam",4.031936605,"BRN"
"Bulgaria",4.743974433,"BGR"
"Burkina Faso",1.206449431,"BFA"
"Burundi",1.048250424,"BDI"
"Cabo Verde",1.524513748,"CPV"
"Cambodia",1.005081341,"KHM"
"Cameroon",1.022708149,"CMR"
"Canada",9.051524164,"CAN"
"Central African Republic",1.643292626,"CAF"
"Chad",1.510212864,"TCD"
"Chile",2.964032291,"CHL"
"China",1.55289015,"CHN"
"Colombia",2.050578121,"COL"
"Comoros",1.358429843,"COM"
"Congo",0.879151596,"COG"
"Congo, Democratic Republic of",1.014194356,"COD"
"Costa Rica",2.247399589,"CRI"
"Cote d'Ivoire",1.240285342,"CIV"
"Cuba",2.636731646,"CUB"
"Cyprus",4.384130199,"CYP"
"Czechoslovakia",6.694372988,"CSHH"
"Denmark",8.859643305,"DNK"
"Djibouti",1.029057963,"DJI"
"Dominica",2.215277856,"DMA"
"Dominican Republic",1.145232828,"DOM"
"Ecuador",1.849346987,"ECU"
"Egypt",1.439872028,"EGY"
"El Salvador",1.194797222,"SLV"
"Equatorial Guinea",1.105126975,"GNQ"
"Ethiopia PDR",1.263479004,"ETH"
"Fiji",2.362713045,"FJI"
"Finland",7.245884796,"FIN"
"France",5.619374716,"FRA"
"French Polynesia",4.199993659,"PYF"
"Gabon",1.418000813,"GAB"
"Gambia",1.138261467,"GMB"
"Germany",6.935158658,"DEU"
"Ghana",1.120452473,"GHA"
"Greece",4.812258776,"GRC"
"Guadeloupe",3.344700816,"GLP"
"Guatemala",1.324334605,"GTM"
"Guinea",1.407194381,"GIN"
"Guinea-Bissau",1.660071491,"GNB"
"Guyana",1.695736647,"GUY"
"Haiti",0.589192702,"HTI"
"Honduras",1.692527368,"HND"
"Hungary",4.325170561,"HUN"
"India",0.775106672,"IND"
"Indonesia",1.203012063,"IDN"
"Iran, Islamic Republic of",1.470103858,"IRN"
