"country","year","footprint","deficit","id"
"Afghanistan",1969,1.207718606,-0.0627556200000001,"AFG"
"Albania",1969,1.993961706,-0.577827711,"ALB"
"Algeria",1969,0.628527948,0.58005717,"DZA"
"Angola",1969,1.140625947,7.406758912,"AGO"
"Argentina",1969,3.410974817,5.329568644,"ARG"
"Australia",1969,8.49233289,16.18201368,"AUS"
"Austria",1969,4.260910466,-0.971122976,"AUT"
"Barbados",1969,2.46755683,-2.108597954,"BRB"
"Belgium",1969,7.110846498,-6.263816256,"BEL"
"Benin",1969,1.241341673,1.35339619,"BEN"
"Bermuda",1969,5.45551787,-5.295808165,"BMU"
"Bolivia",1969,2.279429671,40.639151869,"BOL"
"Botswana",1969,3.129836592,7.932551848,"BWA"
"Brazil",1969,2.385952962,15.817068888,"BRA"
"Bulgaria",1969,4.582905269,-2.217539428,"BGR"
"Burkina Faso",1969,1.361826093,0.572578409,"BFA"
"Burundi",1969,1.152196075,-0.342315497,"BDI"
"Cabo Verde",1969,0.520180337,0.505924817,"CPV"
"Cambodia",1969,1.402885783,0.0678237269999999,"KHM"
"Cameroon",1969,1.328173545,3.622089235,"CMR"
"Canada",1969,9.98897068,13.85830481,"CAN"
"Central African Republic",1969,1.391015896,18.510787234,"CAF"
"Chad",1969,2.063624749,4.700239989,"TCD"
"Chile",1969,2.341340778,3.153581002,"CHL"
"China",1969,0.964787951,-0.05860487,"CHN"
"Colombia",1969,2.146731396,6.366874783,"COL"
"Comoros",1969,0.640354485,-0.02004233,"COM"
"Congo",1969,0.953866121,36.283200069,"COG"
"Congo, Democratic Republic of",1969,1.016357963,10.400341497,"COD"
"Costa Rica",1969,2.281756694,2.153473751,"CRI"
"Cote d'Ivoire",1969,1.655434815,3.748555569,"CIV"
"Cuba",1969,1.890664436,-1.090002268,"CUB"
"Cyprus",1969,2.877611812,-1.882473605,"CYP"
"Czechoslovakia",1969,6.313794143,-3.901704993,"CSHH"
"Denmark",1969,9.191888664,-4.584992975,"DNK"
"Djibouti",1969,1.779945462,1.094247987,"DJI"
"Dominica",1969,0.787919514,0.289317501,"DMA"
"Dominican Republic",1969,1.038546437,-0.107668576,"DOM"
"Ecuador",1969,1.342668875,4.281934004,"ECU"
"Egypt",1969,0.821682916,-0.358445901,"EGY"
"El Salvador",1969,1.163189476,-0.111630496,"SLV"
"Ethiopia PDR",1969,1.718965015,-0.0544193509999999,"ETH"
"Fiji",1969,1.524406484,2.447217726,"FJI"
"Finland",1969,6.426175947,8.057397523,"FIN"
"France",1969,5.303670437,-2.738750762,"FRA"
"French Polynesia",1969,3.527322528,-0.751067424,"PYF"
