"country","year","overshoot_day","country_3_code","number.of.earth.required"
"Bolivia",1961,532.660823408103,"BOL",1.8
"Bolivia",1962,513.603710930242,"BOL",1.8
"Bolivia",1963,498.912148388123,"BOL",1.8
"Bolivia",1964,493.836434504323,"BOL",1.8
"Bolivia",1965,476.453835545422,"BOL",1.8
"Bolivia",1966,477.249437157127,"BOL",1.8
"Bolivia",1967,465.6532816418,"BOL",1.8
"Bolivia",1968,450.278219899575,"BOL",1.8
"Bolivia",1969,440.996624068211,"BOL",1.8
"Bolivia",1970,439.151155853921,"BOL",1.8
"Bolivia",1971,426.933721469751,"BOL",1.8
"Bolivia",1972,411.780461007819,"BOL",1.8
"Bolivia",1973,408.108584344237,"BOL",1.8
"Bolivia",1974,371.04963087213,"BOL",1.8
"Bolivia",1975,354.619715660772,"BOL",1.8
"Bolivia",1976,345.219684384121,"BOL",1.8
"Bolivia",1977,331.728663028,"BOL",1.8
"Bolivia",1978,308.772480626629,"BOL",1.8
"Bolivia",1979,294.317393370077,"BOL",1.8
"Bolivia",1980,300.984470277361,"BOL",1.8
"Bolivia",1981,304.565843026274,"BOL",1.8
"Bolivia",1982,314.289877189525,"BOL",1.8
"Bolivia",1983,298.570208775673,"BOL",1.8
"Bolivia",1984,335.725977208173,"BOL",1.8
"Bolivia",1985,316.424750547253,"BOL",1.8
"Bolivia",1986,339.219082720134,"BOL",1.8
"Bolivia",1987,317.09431659892,"BOL",1.8
"Bolivia",1988,322.968401337092,"BOL",1.8
"Bolivia",1989,321.959377860905,"BOL",1.8
"Bolivia",1990,353.956883274956,"BOL",1.8
"Bolivia",1991,326.658621609887,"BOL",1.8
"Bolivia",1992,314.280629738164,"BOL",1.8
"Bolivia",1993,302.933055998533,"BOL",1.8
"Bolivia",1994,300.443944030652,"BOL",1.8
"Bolivia",1995,284.796483536048,"BOL",1.8
"Bolivia",1996,292.940687621678,"BOL",1.8
"Bolivia",1997,286.746489574854,"BOL",1.8
"Bolivia",1998,277.096611771036,"BOL",1.8
"Bolivia",1999,278.882847544624,"BOL",1.8
"Bolivia",2000,242.36884611851,"BOL",1.8
"Bolivia",2001,274.418361480932,"BOL",1.8
"Bolivia",2002,267.751585467572,"BOL",1.8
"Bolivia",2003,259.818764809821,"BOL",1.8
"Bolivia",2004,263.855509851691,"BOL",1.8
"Bolivia",2005,251.725987531863,"BOL",1.8
"Bolivia",2006,244.58413700426,"BOL",1.8
"Bolivia",2007,237.230050319824,"BOL",1.8
"Bolivia",2008,231.197507119651,"BOL",1.8
"Bolivia",2009,220.00810155108,"BOL",1.8
"Bolivia",2010,216.927866562511,"BOL",1.8
"Bolivia",2011,204.087756423307,"BOL",1.8
"Bolivia",2012,195.038015464014,"BOL",1.8
"Bolivia",2013,199.255492100781,"BOL",1.8
"Bolivia",2014,199.691660408093,"BOL",1.8
