"country","year","overshoot_day","country_3_code","number.of.earth.required"
"Czech Republic",1993,129.835818551816,"CZE",3.3
"Czech Republic",1994,136.947882247378,"CZE",3.3
"Czech Republic",1995,126.611074816156,"CZE",3.3
"Czech Republic",1996,120.505593047382,"CZE",3.3
"Czech Republic",1997,118.560824520438,"CZE",3.3
"Czech Republic",1998,118.054580556578,"CZE",3.3
"Czech Republic",1999,125.217452431632,"CZE",3.3
"Czech Republic",2000,122.594601349458,"CZE",3.3
"Czech Republic",2001,114.183706169019,"CZE",3.3
"Czech Republic",2002,113.486623154968,"CZE",3.3
"Czech Republic",2003,117.000462402023,"CZE",3.3
"Czech Republic",2004,90.2521004953347,"CZE",3.3
"Czech Republic",2005,106.551585643989,"CZE",3.3
"Czech Republic",2006,100.928149446585,"CZE",3.3
"Czech Republic",2007,99.6938576492503,"CZE",3.3
"Czech Republic",2008,100.198429105137,"CZE",3.3
"Czech Republic",2009,112.528615273667,"CZE",3.3
"Czech Republic",2010,101.329999329943,"CZE",3.3
"Czech Republic",2011,102.896110238411,"CZE",3.3
"Czech Republic",2012,115.232799961389,"CZE",3.3
"Czech Republic",2013,112.430757065756,"CZE",3.3
"Czech Republic",2014,109.633261899073,"CZE",3.3
