"country","year","overshoot_day","country_3_code","number.of.earth.required"
"Hungary",1961,387.238496603065,"HUN",2.1
"Hungary",1962,363.918320047325,"HUN",2.1
"Hungary",1963,332.680450517808,"HUN",2.1
"Hungary",1964,302.825283757471,"HUN",2.1
"Hungary",1965,295.162554687179,"HUN",2.1
"Hungary",1966,289.302175103362,"HUN",2.1
"Hungary",1967,282.333767898475,"HUN",2.1
"Hungary",1968,271.82447787111,"HUN",2.1
"Hungary",1969,255.341206724584,"HUN",2.1
"Hungary",1970,249.981065015069,"HUN",2.1
"Hungary",1971,225.285894677134,"HUN",2.1
"Hungary",1972,222.965996653514,"HUN",2.1
"Hungary",1973,211.268472860789,"HUN",2.1
"Hungary",1974,201.000152683564,"HUN",2.1
"Hungary",1975,203.453997450911,"HUN",2.1
"Hungary",1976,195.483880632868,"HUN",2.1
"Hungary",1977,185.844120655567,"HUN",2.1
"Hungary",1978,171.632175855209,"HUN",2.1
"Hungary",1979,178.039202891522,"HUN",2.1
"Hungary",1980,166.741411362185,"HUN",2.1
"Hungary",1981,177.509124970724,"HUN",2.1
"Hungary",1982,174.040669858301,"HUN",2.1
"Hungary",1983,173.578155927877,"HUN",2.1
"Hungary",1984,165.634325282991,"HUN",2.1
"Hungary",1985,167.574434842426,"HUN",2.1
"Hungary",1986,162.785438691086,"HUN",2.1
"Hungary",1987,159.456044169629,"HUN",2.1
"Hungary",1988,155.798091297817,"HUN",2.1
"Hungary",1989,157.419002891345,"HUN",2.1
"Hungary",1990,175.71751281728,"HUN",2.1
"Hungary",1991,167.555298329231,"HUN",2.1
"Hungary",1992,232.694640657974,"HUN",2.1
"Hungary",1993,204.182922081804,"HUN",2.1
"Hungary",1994,183.477680133947,"HUN",2.1
"Hungary",1995,208.149508213392,"HUN",2.1
"Hungary",1996,188.92173076947,"HUN",2.1
"Hungary",1997,186.207831864804,"HUN",2.1
"Hungary",1998,191.021165074431,"HUN",2.1
"Hungary",1999,190.979012288802,"HUN",2.1
"Hungary",2000,193.956389890985,"HUN",2.1
"Hungary",2001,166.382438178051,"HUN",2.1
"Hungary",2002,174.436308872885,"HUN",2.1
"Hungary",2003,174.272245007477,"HUN",2.1
"Hungary",2004,139.799665511038,"HUN",2.1
"Hungary",2005,150.750556295803,"HUN",2.1
"Hungary",2006,156.920212594653,"HUN",2.1
"Hungary",2007,180.08916059746,"HUN",2.1
"Hungary",2008,154.380944836966,"HUN",2.1
"Hungary",2009,188.946353207274,"HUN",2.1
"Hungary",2010,200.601597570269,"HUN",2.1
"Hungary",2011,177.316421174377,"HUN",2.1
"Hungary",2012,208.255940623799,"HUN",2.1
"Hungary",2013,188.458335170109,"HUN",2.1
"Hungary",2014,170.363654208995,"HUN",2.1
