"country","year","overshoot_day","country_3_code","number.of.earth.required"
"Myanmar",1961,1919.25987613359,"MMR",0.9
"Myanmar",1962,1801.49990757171,"MMR",0.9
"Myanmar",1963,1788.73033584522,"MMR",0.9
"Myanmar",1964,1615.80655294166,"MMR",0.9
"Myanmar",1965,1666.09105487386,"MMR",0.9
"Myanmar",1966,1778.70573469199,"MMR",0.9
"Myanmar",1967,1567.56178962882,"MMR",0.9
"Myanmar",1968,1475.25633302713,"MMR",0.9
"Myanmar",1969,1508.71304652692,"MMR",0.9
"Myanmar",1970,1470.69976053939,"MMR",0.9
"Myanmar",1971,1424.79626780278,"MMR",0.9
"Myanmar",1972,1450.93769460999,"MMR",0.9
"Myanmar",1973,1432.68137804902,"MMR",0.9
"Myanmar",1974,1369.91996816703,"MMR",0.9
"Myanmar",1975,1371.36270830686,"MMR",0.9
"Myanmar",1976,1326.38929957815,"MMR",0.9
"Myanmar",1977,1333.94473241632,"MMR",0.9
"Myanmar",1978,1215.8195327735,"MMR",0.9
"Myanmar",1979,1194.32150534969,"MMR",0.9
"Myanmar",1980,1132.03804621083,"MMR",0.9
"Myanmar",1981,1100.85008259626,"MMR",0.9
"Myanmar",1982,1047.54557964918,"MMR",0.9
"Myanmar",1983,1073.75324204493,"MMR",0.9
"Myanmar",1984,1051.35575456866,"MMR",0.9
"Myanmar",1985,1011.67784127441,"MMR",0.9
"Myanmar",1986,1001.03457252165,"MMR",0.9
"Myanmar",1987,1036.45462503737,"MMR",0.9
"Myanmar",1988,1079.70380753231,"MMR",0.9
"Myanmar",1989,1126.70584357175,"MMR",0.9
"Myanmar",1990,942.840094365391,"MMR",0.9
"Myanmar",1991,954.563196909726,"MMR",0.9
"Myanmar",1992,896.482322002792,"MMR",0.9
"Myanmar",1993,878.717126273915,"MMR",0.9
"Myanmar",1994,839.306089941485,"MMR",0.9
"Myanmar",1995,808.056883579127,"MMR",0.9
"Myanmar",1996,769.683972558691,"MMR",0.9
"Myanmar",1997,799.291727199142,"MMR",0.9
"Myanmar",1998,786.020965413259,"MMR",0.9
"Myanmar",1999,674.833038637703,"MMR",0.9
"Myanmar",2000,643.717993179472,"MMR",0.9
"Myanmar",2001,630.167058674639,"MMR",0.9
"Myanmar",2002,603.540146712995,"MMR",0.9
"Myanmar",2003,561.442026963876,"MMR",0.9
"Myanmar",2004,522.803498949983,"MMR",0.9
"Myanmar",2005,493.51767657012,"MMR",0.9
"Myanmar",2006,459.880721127187,"MMR",0.9
"Myanmar",2007,446.694785056892,"MMR",0.9
"Myanmar",2008,439.128949610701,"MMR",0.9
"Myanmar",2009,422.937425640392,"MMR",0.9
"Myanmar",2010,403.757964463627,"MMR",0.9
"Myanmar",2011,439.175385631678,"MMR",0.9
"Myanmar",2012,443.860731878316,"MMR",0.9
"Myanmar",2013,426.244321326761,"MMR",0.9
"Myanmar",2014,396.432478678392,"MMR",0.9
