"country","year","overshoot_day","country_3_code","number.of.earth.required"
"Namibia",1961,571.071303975545,"NAM",1.2
"Namibia",1962,384.188635546924,"NAM",1.2
"Namibia",1963,543.00084577106,"NAM",1.2
"Namibia",1964,530.896260993581,"NAM",1.2
"Namibia",1965,501.980141394384,"NAM",1.2
"Namibia",1966,400.163152316947,"NAM",1.2
"Namibia",1967,552.881758336431,"NAM",1.2
"Namibia",1968,637.74964133142,"NAM",1.2
"Namibia",1969,564.099250289235,"NAM",1.2
"Namibia",1970,720.870903375372,"NAM",1.2
"Namibia",1971,906.158460023272,"NAM",1.2
"Namibia",1972,908.398989666553,"NAM",1.2
"Namibia",1973,869.840132687033,"NAM",1.2
"Namibia",1974,801.481526855444,"NAM",1.2
"Namibia",1975,478.349610980732,"NAM",1.2
"Namibia",1976,625.068828616844,"NAM",1.2
"Namibia",1977,405.544731898207,"NAM",1.2
"Namibia",1978,445.210286489361,"NAM",1.2
"Namibia",1979,466.028070163344,"NAM",1.2
"Namibia",1980,473.274595890505,"NAM",1.2
"Namibia",1981,666.417066595137,"NAM",1.2
"Namibia",1982,468.415373996806,"NAM",1.2
"Namibia",1983,463.121314103849,"NAM",1.2
"Namibia",1984,401.431904743952,"NAM",1.2
"Namibia",1985,480.33637588969,"NAM",1.2
"Namibia",1986,429.490664339413,"NAM",1.2
"Namibia",1987,537.744551439272,"NAM",1.2
"Namibia",1988,458.809480763755,"NAM",1.2
"Namibia",1989,572.959684400829,"NAM",1.2
"Namibia",1990,371.428240665314,"NAM",1.2
"Namibia",1991,362.467218384449,"NAM",1.2
"Namibia",1992,240.488185391737,"NAM",1.2
"Namibia",1993,218.957771781984,"NAM",1.2
"Namibia",1994,263.321502194405,"NAM",1.2
"Namibia",1995,257.346544673376,"NAM",1.2
"Namibia",1996,285.498107051176,"NAM",1.2
"Namibia",1997,224.681755086985,"NAM",1.2
"Namibia",1998,284.575161745839,"NAM",1.2
"Namibia",1999,272.071934000186,"NAM",1.2
"Namibia",2000,217.635195464201,"NAM",1.2
"Namibia",2001,238.430220483011,"NAM",1.2
"Namibia",2002,243.81579609172,"NAM",1.2
"Namibia",2003,227.669561728723,"NAM",1.2
"Namibia",2004,244.987726586672,"NAM",1.2
"Namibia",2005,216.709739759043,"NAM",1.2
"Namibia",2006,326.37990748419,"NAM",1.2
"Namibia",2007,314.18478981745,"NAM",1.2
"Namibia",2008,339.658105387636,"NAM",1.2
"Namibia",2009,262.614361414703,"NAM",1.2
"Namibia",2010,244.205823159959,"NAM",1.2
"Namibia",2011,243.932483756354,"NAM",1.2
"Namibia",2012,230.076695717838,"NAM",1.2
"Namibia",2013,280.245186860703,"NAM",1.2
"Namibia",2014,294.233443390537,"NAM",1.2
