"country","year","overshoot_day","country_3_code","number.of.earth.required"
"Oman",1984,416.891349861291,"OMN",3.8
"Oman",1985,407.936179679924,"OMN",3.8
"Oman",1986,375.156456431616,"OMN",3.8
"Oman",1987,311.608076581839,"OMN",3.8
"Oman",1988,321.454263437438,"OMN",3.8
"Oman",1989,422.613250064049,"OMN",3.8
"Oman",1990,320.600885761068,"OMN",3.8
"Oman",1991,244.775561846685,"OMN",3.8
"Oman",1992,258.663217285655,"OMN",3.8
"Oman",1993,268.522978474564,"OMN",3.8
"Oman",1994,257.782974665489,"OMN",3.8
"Oman",1995,228.224727107467,"OMN",3.8
"Oman",1996,234.176717520242,"OMN",3.8
"Oman",1997,229.190137923434,"OMN",3.8
"Oman",1998,228.776347755495,"OMN",3.8
"Oman",1999,212.538650967957,"OMN",3.8
"Oman",2000,200.977808619732,"OMN",3.8
"Oman",2001,172.564388826759,"OMN",3.8
"Oman",2002,153.012599518298,"OMN",3.8
"Oman",2003,116.898408511769,"OMN",3.8
"Oman",2004,131.090522529979,"OMN",3.8
"Oman",2005,133.522538452833,"OMN",3.8
"Oman",2006,105.497533529784,"OMN",3.8
"Oman",2007,90.021956414326,"OMN",3.8
"Oman",2008,92.1634638137527,"OMN",3.8
"Oman",2009,106.132091719627,"OMN",3.8
"Oman",2010,111.994589027382,"OMN",3.8
"Oman",2011,95.5049514820183,"OMN",3.8
"Oman",2012,92.4862445135228,"OMN",3.8
"Oman",2013,107.83061851011,"OMN",3.8
"Oman",2014,97.2087171512725,"OMN",3.8
