"country","year","overshoot_day","country_3_code","number.of.earth.required"
"Romania",1961,462.745262455392,"ROU",1.7
"Romania",1962,440.868807261834,"ROU",1.7
"Romania",1963,416.25709019164,"ROU",1.7
"Romania",1964,394.884530099132,"ROU",1.7
"Romania",1965,353.293619225766,"ROU",1.7
"Romania",1966,334.660134505582,"ROU",1.7
"Romania",1967,324.797268801564,"ROU",1.7
"Romania",1968,313.825000871483,"ROU",1.7
"Romania",1969,286.70859426902,"ROU",1.7
"Romania",1970,272.787236790775,"ROU",1.7
"Romania",1971,248.749676464096,"ROU",1.7
"Romania",1972,235.630589451392,"ROU",1.7
"Romania",1973,232.766902270566,"ROU",1.7
"Romania",1974,229.323425466814,"ROU",1.7
"Romania",1975,220.36845959902,"ROU",1.7
"Romania",1976,194.700522472139,"ROU",1.7
"Romania",1977,191.796113765355,"ROU",1.7
"Romania",1978,183.242751030735,"ROU",1.7
"Romania",1979,177.967989450805,"ROU",1.7
"Romania",1980,174.181387425632,"ROU",1.7
"Romania",1981,179.363656276839,"ROU",1.7
"Romania",1982,174.062627122492,"ROU",1.7
"Romania",1983,176.304775208212,"ROU",1.7
"Romania",1984,170.016234934979,"ROU",1.7
"Romania",1985,174.188752237761,"ROU",1.7
"Romania",1986,165.267417310466,"ROU",1.7
"Romania",1987,166.012173822806,"ROU",1.7
"Romania",1988,156.085691506785,"ROU",1.7
"Romania",1989,158.532255378615,"ROU",1.7
"Romania",1990,170.119884724974,"ROU",1.7
"Romania",1991,189.888337437684,"ROU",1.7
"Romania",1992,225.046496102776,"ROU",1.7
"Romania",1993,225.643201181928,"ROU",1.7
"Romania",1994,227.207638864843,"ROU",1.7
"Romania",1995,214.080540879102,"ROU",1.7
"Romania",1996,233.357413027557,"ROU",1.7
"Romania",1997,216.203965424064,"ROU",1.7
"Romania",1998,241.636943639194,"ROU",1.7
"Romania",1999,269.098726503738,"ROU",1.7
"Romania",2000,283.825985532762,"ROU",1.7
"Romania",2001,227.620380302963,"ROU",1.7
"Romania",2002,236.604261467524,"ROU",1.7
"Romania",2003,219.024760283116,"ROU",1.7
"Romania",2004,189.370895791669,"ROU",1.7
"Romania",2005,194.77201459195,"ROU",1.7
"Romania",2006,197.973895163339,"ROU",1.7
"Romania",2007,205.037273522301,"ROU",1.7
"Romania",2008,184.903611035957,"ROU",1.7
"Romania",2009,216.628834474946,"ROU",1.7
"Romania",2010,217.171217428827,"ROU",1.7
"Romania",2011,198.551271466159,"ROU",1.7
"Romania",2012,218.521131918065,"ROU",1.7
"Romania",2013,228.041060399254,"ROU",1.7
"Romania",2014,219.382083327047,"ROU",1.7
