"country","year","overshoot_day","country_3_code","number.of.earth.required"
"Thailand",1961,1419.69792099178,"THA",1.5
"Thailand",1962,1319.33274400264,"THA",1.5
"Thailand",1963,1272.91170113888,"THA",1.5
"Thailand",1964,1310.23618743442,"THA",1.5
"Thailand",1965,1257.5211828851,"THA",1.5
"Thailand",1966,1074.46405438619,"THA",1.5
"Thailand",1967,1137.97923973835,"THA",1.5
"Thailand",1968,1002.76437373902,"THA",1.5
"Thailand",1969,1001.64033894522,"THA",1.5
"Thailand",1970,974.609118687384,"THA",1.5
"Thailand",1971,938.518603086793,"THA",1.5
"Thailand",1972,930.812615037665,"THA",1.5
"Thailand",1973,818.137978080599,"THA",1.5
"Thailand",1974,878.614673414756,"THA",1.5
"Thailand",1975,857.887512279495,"THA",1.5
"Thailand",1976,841.53677093999,"THA",1.5
"Thailand",1977,813.32643466631,"THA",1.5
"Thailand",1978,755.783621095724,"THA",1.5
"Thailand",1979,751.92609469087,"THA",1.5
"Thailand",1980,762.038091453344,"THA",1.5
"Thailand",1981,785.118698610725,"THA",1.5
"Thailand",1982,853.635245840243,"THA",1.5
"Thailand",1983,704.283713536689,"THA",1.5
"Thailand",1984,728.586713300499,"THA",1.5
"Thailand",1985,696.569876293282,"THA",1.5
"Thailand",1986,705.087464482177,"THA",1.5
"Thailand",1987,636.341818750023,"THA",1.5
"Thailand",1988,569.90256477357,"THA",1.5
"Thailand",1989,540.621480248019,"THA",1.5
"Thailand",1990,482.363441272044,"THA",1.5
"Thailand",1991,443.57822429972,"THA",1.5
"Thailand",1992,423.856903491663,"THA",1.5
"Thailand",1993,398.204865827279,"THA",1.5
"Thailand",1994,352.757252763749,"THA",1.5
"Thailand",1995,333.406382646281,"THA",1.5
"Thailand",1996,314.66822302289,"THA",1.5
"Thailand",1997,332.499647620827,"THA",1.5
"Thailand",1998,374.116706542416,"THA",1.5
"Thailand",1999,364.258769895235,"THA",1.5
"Thailand",2000,347.016353372734,"THA",1.5
"Thailand",2001,339.112996293652,"THA",1.5
"Thailand",2002,313.366106852211,"THA",1.5
"Thailand",2003,296.229623786988,"THA",1.5
"Thailand",2004,293.547879707202,"THA",1.5
"Thailand",2005,266.42061739907,"THA",1.5
"Thailand",2006,277.034851778019,"THA",1.5
"Thailand",2007,273.235747006472,"THA",1.5
"Thailand",2008,270.601902841515,"THA",1.5
"Thailand",2009,278.981772263655,"THA",1.5
"Thailand",2010,256.362344550708,"THA",1.5
"Thailand",2011,250.078054660637,"THA",1.5
"Thailand",2012,223.905123834158,"THA",1.5
"Thailand",2013,232.581033860712,"THA",1.5
"Thailand",2014,246.322394762148,"THA",1.5
