"country","year","overshoot_day","country_3_code","number.of.earth.required"
"Turkey",1961,721.284425772342,"TUR",1.9
"Turkey",1962,714.191842589812,"TUR",1.9
"Turkey",1963,617.804423330173,"TUR",1.9
"Turkey",1964,678.260006734219,"TUR",1.9
"Turkey",1965,649.233871614025,"TUR",1.9
"Turkey",1966,591.152784449721,"TUR",1.9
"Turkey",1967,578.852507590932,"TUR",1.9
"Turkey",1968,566.526572202571,"TUR",1.9
"Turkey",1969,532.126444062299,"TUR",1.9
"Turkey",1970,535.603327248578,"TUR",1.9
"Turkey",1971,487.876015801394,"TUR",1.9
"Turkey",1972,475.862598290583,"TUR",1.9
"Turkey",1973,526.475740930412,"TUR",1.9
"Turkey",1974,475.875203974153,"TUR",1.9
"Turkey",1975,426.342028575587,"TUR",1.9
"Turkey",1976,398.720261964484,"TUR",1.9
"Turkey",1977,383.999707411895,"TUR",1.9
"Turkey",1978,409.952407712249,"TUR",1.9
"Turkey",1979,397.190452879604,"TUR",1.9
"Turkey",1980,395.822364861852,"TUR",1.9
"Turkey",1981,405.209008261674,"TUR",1.9
"Turkey",1982,393.209627748022,"TUR",1.9
"Turkey",1983,394.567544790575,"TUR",1.9
"Turkey",1984,378.189165896315,"TUR",1.9
"Turkey",1985,365.317977106404,"TUR",1.9
"Turkey",1986,339.728914048637,"TUR",1.9
"Turkey",1987,314.400748350622,"TUR",1.9
"Turkey",1988,324.655897219332,"TUR",1.9
"Turkey",1989,330.433943611741,"TUR",1.9
"Turkey",1990,293.706161580397,"TUR",1.9
"Turkey",1991,303.804437194046,"TUR",1.9
"Turkey",1992,303.638014952312,"TUR",1.9
"Turkey",1993,261.852493695805,"TUR",1.9
"Turkey",1994,303.270083392925,"TUR",1.9
"Turkey",1995,264.328775813468,"TUR",1.9
"Turkey",1996,252.737197362238,"TUR",1.9
"Turkey",1997,252.208463241097,"TUR",1.9
"Turkey",1998,242.0742321577,"TUR",1.9
"Turkey",1999,261.750473505086,"TUR",1.9
"Turkey",2000,233.559323125831,"TUR",1.9
"Turkey",2001,290.420374257435,"TUR",1.9
"Turkey",2002,245.128538880309,"TUR",1.9
"Turkey",2003,236.210043961525,"TUR",1.9
"Turkey",2004,236.403727551153,"TUR",1.9
"Turkey",2005,218.590588282381,"TUR",1.9
"Turkey",2006,206.812279728602,"TUR",1.9
"Turkey",2007,195.459503834989,"TUR",1.9
"Turkey",2008,204.573572036079,"TUR",1.9
"Turkey",2009,209.609435468846,"TUR",1.9
"Turkey",2010,194.570758217643,"TUR",1.9
"Turkey",2011,183.379342650796,"TUR",1.9
"Turkey",2012,180.973340156866,"TUR",1.9
"Turkey",2013,188.520621969668,"TUR",1.9
"Turkey",2014,191.388042170347,"TUR",1.9
