"country","year","overshoot_day","country_3_code","number.of.earth.required"
"Ukraine",1992,149.77458565456,"UKR",1.8
"Ukraine",1993,157.191519566009,"UKR",1.8
"Ukraine",1994,193.410517390362,"UKR",1.8
"Ukraine",1995,182.108249340839,"UKR",1.8
"Ukraine",1996,217.993910055669,"UKR",1.8
"Ukraine",1997,208.328389787191,"UKR",1.8
"Ukraine",1998,226.97766347488,"UKR",1.8
"Ukraine",1999,237.379230505558,"UKR",1.8
"Ukraine",2000,228.779343012941,"UKR",1.8
"Ukraine",2001,205.273937721384,"UKR",1.8
"Ukraine",2002,239.739973422337,"UKR",1.8
"Ukraine",2003,188.677878369983,"UKR",1.8
"Ukraine",2004,192.177981773171,"UKR",1.8
"Ukraine",2005,189.592592638804,"UKR",1.8
"Ukraine",2006,191.19119853857,"UKR",1.8
"Ukraine",2007,189.519823681362,"UKR",1.8
"Ukraine",2008,168.466110813645,"UKR",1.8
"Ukraine",2009,221.486642696994,"UKR",1.8
"Ukraine",2010,195.638240465647,"UKR",1.8
"Ukraine",2011,176.181125270794,"UKR",1.8
"Ukraine",2012,212.894792651019,"UKR",1.8
"Ukraine",2013,191.031014214137,"UKR",1.8
"Ukraine",2014,207.134701764051,"UKR",1.8
