"country","year","overshoot_day","country_3_code","number.of.earth.required"
"Samoa",1961,780.481579244122,"WSM",1.4
"Samoa",1962,822.3537379456,"WSM",1.4
"Samoa",1963,744.233537845546,"WSM",1.4
"Samoa",1964,713.931153463204,"WSM",1.4
"Samoa",1965,772.081634406375,"WSM",1.4
"Samoa",1966,712.560050085116,"WSM",1.4
"Samoa",1967,761.783495572387,"WSM",1.4
"Samoa",1968,722.51544952388,"WSM",1.4
"Samoa",1969,669.17938982169,"WSM",1.4
"Samoa",1970,603.851956454608,"WSM",1.4
"Samoa",1971,554.395073552878,"WSM",1.4
"Samoa",1972,491.761636890137,"WSM",1.4
"Samoa",1973,502.46273871964,"WSM",1.4
"Samoa",1974,461.726702701082,"WSM",1.4
"Samoa",1975,414.031163861267,"WSM",1.4
"Samoa",1976,614.093167584818,"WSM",1.4
"Samoa",1977,530.244078334472,"WSM",1.4
"Samoa",1978,531.15137712459,"WSM",1.4
"Samoa",1979,447.854354817564,"WSM",1.4
"Samoa",1980,495.43119130026,"WSM",1.4
"Samoa",1981,408.71852876126,"WSM",1.4
"Samoa",1982,407.497299997494,"WSM",1.4
"Samoa",1983,412.951852908158,"WSM",1.4
"Samoa",1984,394.102265316389,"WSM",1.4
"Samoa",1985,365.674494501818,"WSM",1.4
"Samoa",1986,361.390328525446,"WSM",1.4
"Samoa",1987,367.429496872086,"WSM",1.4
"Samoa",1988,368.956647845727,"WSM",1.4
"Samoa",1989,363.729521806277,"WSM",1.4
"Samoa",1990,369.768762906455,"WSM",1.4
"Samoa",1991,376.845936032575,"WSM",1.4
"Samoa",1992,343.549303952123,"WSM",1.4
"Samoa",1993,352.571933641752,"WSM",1.4
"Samoa",1994,340.14280505019,"WSM",1.4
"Samoa",1995,328.121363209396,"WSM",1.4
"Samoa",1996,316.580625097326,"WSM",1.4
"Samoa",1997,286.374297406913,"WSM",1.4
"Samoa",1998,260.339333029721,"WSM",1.4
"Samoa",1999,276.906159876216,"WSM",1.4
"Samoa",2000,243.759233328513,"WSM",1.4
"Samoa",2001,233.454141697823,"WSM",1.4
"Samoa",2002,238.31076660757,"WSM",1.4
"Samoa",2003,265.392797357002,"WSM",1.4
"Samoa",2004,284.729951996698,"WSM",1.4
"Samoa",2005,295.123247707591,"WSM",1.4
"Samoa",2006,277.415501002303,"WSM",1.4
"Samoa",2007,272.983567102996,"WSM",1.4
"Samoa",2008,273.801207005088,"WSM",1.4
"Samoa",2009,255.370303245875,"WSM",1.4
"Samoa",2010,248.100087061969,"WSM",1.4
"Samoa",2011,261.071041869601,"WSM",1.4
"Samoa",2012,239.72072024349,"WSM",1.4
"Samoa",2013,261.718936769895,"WSM",1.4
"Samoa",2014,257.304905938933,"WSM",1.4
