"name","footprint","id"
"Afghanistan",1.162180403,"AFG"
"Albania",1.805187485,"ALB"
"Algeria",0.817849559,"DZA"
"Angola",0.93335563,"AGO"
"Argentina",3.145041061,"ARG"
"Australia",7.376650218,"AUS"
"Austria",3.694639648,"AUT"
"Barbados",1.784883344,"BRB"
"Belgium",6.11354561,"BEL"
"Benin",1.315638463,"BEN"
"Bermuda",4.021330836,"BMU"
"Bolivia",2.192596468,"BOL"
"Brazil",2.446975038,"BRA"
"Bulgaria",2.725897779,"BGR"
"Burkina Faso",1.134629635,"BFA"
"Burundi",1.101440727,"BDI"
"Cabo Verde",0.52437269,"CPV"
"Cambodia",1.473054509,"KHM"
"Cameroon",1.297425061,"CMR"
"Canada",8.854499708,"CAN"
"Central African Republic",1.144101054,"CAF"
"Chad",2.207192613,"TCD"
"Chile",2.477432218,"CHL"
"China",0.911247681,"CHN"
"Colombia",2.151571452,"COL"
"Comoros",0.552711382,"COM"
"Congo",0.926203601,"COG"
"Congo, Democratic Republic of",0.943786933,"COD"
"Costa Rica",2.17298285,"CRI"
"Cote d'Ivoire",1.512093092,"CIV"
"Cuba",1.608071617,"CUB"
"Cyprus",1.996418967,"CYP"
"Czechoslovakia",5.426068323,"CSHH"
"Denmark",6.415580149,"DNK"
"Djibouti",1.989197878,"DJI"
"Dominica",0.688392653,"DMA"
"Dominican Republic",1.015461448,"DOM"
"Ecuador",1.196458389,"ECU"
"Egypt",0.912063938,"EGY"
"El Salvador",1.108657082,"SLV"
"Ethiopia PDR",1.897206238,"ETH"
"Fiji",1.229055477,"FJI"
"Finland",6.37188832,"FIN"
"France",4.528413186,"FRA"
"Gabon",1.219222254,"GAB"
"Gambia",1.155367159,"GMB"
"Germany",4.617616855,"DEU"
"Ghana",1.12443042,"GHA"
"Greece",1.838107963,"GRC"
"Guadeloupe",1.339505266,"GLP"
"Guatemala",1.332139285,"GTM"
"Guinea",1.679841213,"GIN"
"Guyana",2.1804042,"GUY"
"Haiti",0.612870269,"HTI"
"Honduras",2.739282135,"HND"
"Hungary",3.094446317,"HUN"
"India",0.618504724,"IND"
"Indonesia",1.422581542,"IDN"
"Iran, Islamic Republic of",0.95491434,"IRN"
"Israel",2.511578942,"ISR"
"Italy",2.573115448,"ITA"
"Jamaica",1.595837135,"JAM"
"Japan",3.034190872,"JPN"
"Jordan",1.498595935,"JOR"
"Kenya",1.688889214,"KEN"
"Korea, Democratic People's Republic of",1.337831965,"PRK"
"Korea, Republic of",0.790532017,"KOR"
"Lao People's Democratic Republic",1.56982687,"LAO"
"Lebanon",1.639758489,"LBN"
"Liberia",1.012545195,"LBR"
"Luxembourg",13.14697004,"LUX"
"Madagascar",2.03618012,"MDG"
"Malaysia",1.413222009,"MYS"
"Mali",1.392742503,"MLI"
"Malta",1.843260352,"MLT"
"Martinique",1.291260254,"MTQ"
"Mauritania",3.626244157,"MRT"
"Mauritius",0.911973276,"MUS"
"Mexico",1.783702512,"MEX"
"Mongolia",6.608873597,"MNG"
"Morocco",1.021829326,"MAR"
"Mozambique",0.803676,"MOZ"
"Myanmar",0.625104492,"MMR"
"Namibia",2.931179089,"NAM"
"Nepal",0.861757735,"NPL"
"Netherlands",3.869347527,"NLD"
"New Zealand",4.646405082,"NZL"
"Nicaragua",2.450245285,"NIC"
"Niger",1.699825209,"NER"
"Nigeria",0.912941194,"NGA"
"Norway",7.319237248,"NOR"
"Pakistan",0.539996989,"PAK"
"Panama",2.200708477,"PAN"
"Papua New Guinea",1.256104576,"PNG"
"Paraguay",3.657626678,"PRY"
"Peru",2.76055678,"PER"
"Philippines",0.946529701,"PHL"
"Poland",3.973618047,"POL"
"Portugal",2.394644989,"PRT"
"Reunion",1.082238838,"REU"
"Romania",2.554332939,"ROU"
"Rwanda",0.916683053,"RWA"
"Saint Lucia",0.735694648,"LCA"
"Samoa",1.369393276,"WSM"
"Sao Tome and Principe",0.706805092,"STP"
"Senegal",1.618628757,"SEN"
"Sierra Leone",1.61486722,"SLE"
"Somalia",2.528536252,"SOM"
"South Africa",2.664183565,"ZAF"
"Spain",2.476173161,"ESP"
"Sri Lanka",0.82189575,"LKA"
"Sudan (former)",1.71710881,""
"Sweden",7.495095756,"SWE"
"Switzerland",4.706563519,"CHE"
"Syrian Arab Republic",1.121213449,"SYR"
"Thailand",0.853556977,"THA"
"Timor-Leste",0.445107101,"TLS"
"Togo",1.448136861,"TGO"
"Tonga",0.839516669,"TON"
"Trinidad and Tobago",1.356709763,"TTO"
"Tunisia",0.877235897,"TUN"
"Turkey",1.576783246,"TUR"
"Uganda",1.900980009,"UGA"
"United Kingdom",6.328042815,"GBR"
"United States of America",8.21673534,"USA"
"Uruguay",5.101922365,"URY"
"USSR",4.022901447,"SUUH"
"Venezuela, Bolivarian Republic of",1.970682311,"VEN"
"Viet Nam",0.672227421,"VNM"
"World",2.318771384,"WORLD"
"Yemen",0.983808489,"YEM"
"Yugoslav SFR",2.150915968,"YUG"
"Zimbabwe",1.793555906,"ZWE"
