country,year,overshoot_day
Ethiopia,1993,205.803735746341
Ethiopia,1994,200.440515436634
Ethiopia,1995,204.37853130258901
Ethiopia,1996,212.40187636170899
Ethiopia,1997,209.59253024959801
Ethiopia,1998,201.46285258495601
Ethiopia,1999,201.64404577650299
Ethiopia,2000,198.610611637581
Ethiopia,2001,200.68595073642601
Ethiopia,2002,200.73825951468601
Ethiopia,2003,189.47761376237301
Ethiopia,2004,199.225636117655
Ethiopia,2005,205.90680975775899
Ethiopia,2006,203.909666420966
Ethiopia,2007,203.43576869511401
Ethiopia,2008,200.756731781832
Ethiopia,2009,205.58547719108299
Ethiopia,2010,210.891734091714
Ethiopia,2011,210.39949864200301
Ethiopia,2012,211.851765229287
Ethiopia,2013,211.594986864867
Ethiopia,2014,210.158430112259
