country,year,overshoot_day
Madagascar,1961,1900.7104653732699
Madagascar,1962,1821.3334017197301
Madagascar,1963,1779.44226300283
Madagascar,1964,1759.7982542421701
Madagascar,1965,1700.2971514645301
Madagascar,1966,1585.28426928722
Madagascar,1967,1545.7461192938699
Madagascar,1968,1503.10633622666
Madagascar,1969,1518.2411727531901
Madagascar,1970,1567.59615556532
Madagascar,1971,1622.6284097370999
Madagascar,1972,1661.55411522554
Madagascar,1973,1636.21408102437
Madagascar,1974,1592.24643483823
Madagascar,1975,1558.86400526227
Madagascar,1976,1546.6052295956199
Madagascar,1977,1477.0563278786101
Madagascar,1978,1384.75078058402
Madagascar,1979,1348.98315321009
Madagascar,1980,1328.59329370916
Madagascar,1981,1309.0254118866101
Madagascar,1982,1282.6044510091799
Madagascar,1983,1277.82492773831
Madagascar,1984,1269.39700802891
Madagascar,1985,1258.3207549117601
Madagascar,1986,1231.5506998917999
Madagascar,1987,1219.9564779192799
Madagascar,1988,1219.88871650395
Madagascar,1989,1227.3607885351
Madagascar,1990,1174.3512578264599
Madagascar,1991,1172.0548103010699
Madagascar,1992,1142.7158319610701
Madagascar,1993,1133.0235008961299
Madagascar,1994,1138.5877946896001
Madagascar,1995,1120.17919841919
Madagascar,1996,1098.51270043861
Madagascar,1997,1111.7633056453701
Madagascar,1998,1121.32834900387
Madagascar,1999,1121.2955495272599
Madagascar,2000,1119.2268601343401
Madagascar,2001,1202.7826872482699
Madagascar,2002,1271.66514182633
Madagascar,2003,1185.40819726875
Madagascar,2004,1164.4932441943399
Madagascar,2005,1070.15747472097
Madagascar,2006,1023.20350860005
Madagascar,2007,1015.30016995606
Madagascar,2008,987.43178188740205
Madagascar,2009,994.47033843985298
Madagascar,2010,974.72114171231601
Madagascar,2011,980.12981037581403
Madagascar,2012,964.99211430812898
Madagascar,2013,958.637463955459
Madagascar,2014,928.93325698721605
