country,year,overshoot_day
Mexico,1961,684.34205492705905
Mexico,1962,684.69632449939604
Mexico,1963,649.41953872236797
Mexico,1964,608.43735102901098
Mexico,1965,603.63049599904002
Mexico,1966,581.86881990500297
Mexico,1967,554.64487490241299
Mexico,1968,538.50787247600101
Mexico,1969,522.38445806365803
Mexico,1970,479.78646708926999
Mexico,1971,462.62030587744101
Mexico,1972,439.341234318175
Mexico,1973,403.17081893845602
Mexico,1974,377.12988014232002
Mexico,1975,369.57311362260702
Mexico,1976,366.28518952108101
Mexico,1977,353.480994166409
Mexico,1978,342.69272297283197
Mexico,1979,319.39683942055302
Mexico,1980,280.14634897800198
Mexico,1981,267.13513346688899
Mexico,1982,277.95389846578001
Mexico,1983,291.10439736292801
Mexico,1984,282.37304983129798
Mexico,1985,274.68079956174898
Mexico,1986,288.24648063077302
Mexico,1987,284.81164175613799
Mexico,1988,267.00789354837298
Mexico,1989,253.672286711933
Mexico,1990,252.47644983270899
Mexico,1991,239.70864053321199
Mexico,1992,232.339902643888
Mexico,1993,228.946584381961
Mexico,1994,212.73997757430001
Mexico,1995,228.350426854566
Mexico,1996,195.72782264154799
Mexico,1997,190.33620749228501
Mexico,1998,186.64673768746101
Mexico,1999,138.072146580431
Mexico,2000,183.737147191426
Mexico,2001,160.891711327248
Mexico,2002,171.885242042257
Mexico,2003,191.10179495359401
Mexico,2004,178.345457512862
Mexico,2005,182.02135532970701
Mexico,2006,164.54207425350401
Mexico,2007,158.24898873689099
Mexico,2008,154.81948747261299
Mexico,2009,160.56617416085501
Mexico,2010,145.08080383054099
Mexico,2011,157.82741307230299
Mexico,2012,153.750533398448
Mexico,2013,167.08440974954999
Mexico,2014,172.14547651391601
