country,year,overshoot_day
Thailand,1961,781.58542836499998
Thailand,1962,723.77797829593806
Thailand,1963,689.57747175202803
Thailand,1964,683.730413719534
Thailand,1965,652.88971645432002
Thailand,1966,579.964405193635
Thailand,1967,564.79540829075802
Thailand,1968,502.13065313166601
Thailand,1969,505.66345296554499
Thailand,1970,484.91234343571398
Thailand,1971,463.50269999641898
Thailand,1972,439.575716325271
Thailand,1973,402.57134297045599
Thailand,1974,417.372088523998
Thailand,1975,406.26675145516401
Thailand,1976,403.10113018977
Thailand,1977,374.18690701633602
Thailand,1978,378.12325314165201
Thailand,1979,357.98023770783698
Thailand,1980,372.00665498699101
Thailand,1981,384.59493399052099
Thailand,1982,415.04555881622002
Thailand,1983,354.81613038627899
Thailand,1984,372.57404091699198
Thailand,1985,364.186675604458
Thailand,1986,353.87393358513901
Thailand,1987,319.942521165654
Thailand,1988,306.56417832326201
Thailand,1989,294.55641718156397
Thailand,1990,247.434256833722
Thailand,1991,233.83790204844101
Thailand,1992,226.42247683103901
Thailand,1993,211.731569611586
Thailand,1994,194.951178612484
Thailand,1995,186.487340491547
Thailand,1996,180.21535456109501
Thailand,1997,192.90220270194399
Thailand,1998,217.47199558633201
Thailand,1999,217.345776029457
Thailand,2000,220.38917359373599
Thailand,2001,223.27982291112701
Thailand,2002,205.93969448352701
Thailand,2003,197.589145649241
Thailand,2004,194.27708136381301
Thailand,2005,171.891609032676
Thailand,2006,179.46288528434201
Thailand,2007,185.79988400946399
Thailand,2008,186.54113107678401
Thailand,2009,197.79929321965301
Thailand,2010,182.855585768146
Thailand,2011,182.96955269035499
Thailand,2012,172.434856421365
Thailand,2013,179.804993916868
Thailand,2014,186.228584894242
