"country","footprint","country_3_code"
"Armenia",3477688.924,"ARM"
"Afghanistan",12745134.5,"AFG"
"Albania",3407483.725,"ALB"
"Algeria",37334488.85,"DZA"
"Angola",9847195.251,"AGO"
"Antigua and Barbuda",328278.1196,"ATG"
"Argentina",122091524.1,"ARG"
"Australia",134209336.6,"AUS"
"Austria",45407459.37,"AUT"
"Bahamas",1330642.346,"BHS"
"Bahrain",6107383.657,"BHR"
"Barbados",1008637.42,"BRB"
"Bangladesh",63603398.46,"BGD"
"Bermuda",470477.6083,"BMU"
"Bhutan",2394803.102,"BTN"
"Bolivia",19372071.82,"BOL"
"Botswana",3519474.11,"BWA"
"Brazil",510434146.2,"BRA"
"Aruba",938783.3945,"ABW"
"Brunei Darussalam",1556878.244,"BRN"
"Bulgaria",28114283.78,"BGR"
"Myanmar",40524861.76,"MMR"
"Burundi",6263097.585,"BDI"
"Cameroon",14500315.31,"CMR"
"Canada",253495365.2,"CAN"
"Cabo Verde",632712.1458,"CPV"
"Cayman Islands",196871.0239,"CYM"
"Central African Republic",5359606.444,"CAF"
"Sri Lanka",21763933.41,"LKA"
"Chad",11750352.46,"TCD"
"Chile",54014796.01,"CHL"
"Colombia",82666576.13,"COL"
"Comoros",651657.1497,"COM"
"Congo",2510101.265,"COG"
"Costa Rica",9834003.673,"CRI"
"Cuba",20040987.6,"CUB"
"Cyprus",4391446.781,"CYP"
"Azerbaijan",14455921.8,"AZE"
"Benin",7525429.223,"BEN"
"Denmark",44313704.63,"DNK"
"Dominica",160776.4214,"DMA"
"Dominican Republic",12265145.56,"DOM"
"Belarus",50456066.31,"BLR"
"Ecuador",27773267.78,"ECU"
"Egypt",103860943,"EGY"
"El Salvador",9200986.361,"SLV"
"Equatorial Guinea",621726.7627,"GNQ"
"Estonia",9044060.786,"EST"
"Fiji",1927615.554,"FJI"
"Finland",31077987.57,"FIN"
"France",310329049.9,"FRA"
"French Guiana",439647.1993,"GUF"
"French Polynesia",979371.4864,"PYF"
"Djibouti",879540.5408,"DJI"
"Gabon",1255410.016,"GAB"
"Gambia",1314035.681,"GMB"
"Germany",467069638.1,"DEU"
"Bosnia and Herzegovina",8951910.338,"BIH"
"Ghana",25487268.16,"GHA"
"Greece",55078661.05,"GRC"
"Guadeloupe",1385583.013,"GLP"
"Guatemala",16500798.6,"GTM"
"Guinea",9522689.734,"GIN"
"Guyana",1949993.473,"GUY"
"Haiti",5024219.048,"HTI"
"Honduras",11054180.2,"HND"
"Hungary",39080785.18,"HUN"
"Croatia",14995261.93,"HRV"
"India",841938476.3,"IND"
"Indonesia",272573400.9,"IDN"
"Iran, Islamic Republic of",131626567.8,"IRN"
"Iraq",44734508.39,"IRQ"
"Ireland",21964306.09,"IRL"
"Israel",29937884.64,"ISR"
"Italy",302876592.2,"ITA"
"Cote d'Ivoire",16889662.16,"CIV"
"Kazakhstan",70076955.03,"KAZ"
"Jamaica",4237975.007,"JAM"
"Japan",710216159.4,"JPN"
"Jordan",8015573.919,"JOR"
"Kyrgyzstan",5686596.404,"KGZ"
"Kenya",33566475.67,"KEN"
"Cambodia",10314529.75,"KHM"
"Korea, Democratic People's Republic of",55430001.86,"PRK"
"Korea, Republic of",238863209.2,"KOR"
"Latvia",7826285.48,"LVA"
"Lao People's Democratic Republic",6132422.391,"LAO"
"Lebanon",14620546.49,"LBN"
"Lesotho",2300964.591,"LSO"
"Liberia",2656505.866,"LBR"
"Libyan Arab Jamahiriya",14675527.18,"LBY"
"Lithuania",13815370.97,"LTU"
"Madagascar",18290141.38,"MDG"
"Malawi",7395051.658,"MWI"
"Malaysia",88497462.68,"MYS"
"Mali",14821496.39,"MLI"
"Malta",2564597.516,"MLT"
"Martinique",1287461.127,"MTQ"
"Mauritania",5568868.762,"MRT"
"Mauritius",2753568.531,"MUS"
"Mexico",283614771.2,"MEX"
"Mongolia",15330234.35,"MNG"
"Morocco",32970374.3,"MAR"
"Mozambique",14401598.77,"MOZ"
"Micronesia, Federated States of",174879.6527,"FSM"
"Moldova",8356116.542,"MDA"
"Namibia",5522398.849,"NAM"
"Nepal",18875119.3,"NPL"
"Netherlands",85877254.53,"NLD"
"Macedonia TFYR",6161101.587,"MKD"
"New Zealand",23932942.12,"NZL"
"Nicaragua",7817005.656,"NIC"
"Niger",13280686.24,"NER"
"Nigeria",134814241.8,"NGA"
"Norway",31552408.66,"NOR"
"Pakistan",102311888.4,"PAK"
"Panama",6588601.972,"PAN"
"Czech Republic",61394502.87,"CZE"
"Papua New Guinea",5499406.932,"PNG"
"Paraguay",21894437.87,"PRY"
"Peru",45953636.24,"PER"
"Philippines",99412660.12,"PHL"
"Poland",180512803.5,"POL"
"Portugal",42989628.04,"PRT"
"Guinea-Bissau",1920195.085,"GNB"
"Timor-Leste",473843.4734,"TLS"
"Eritrea",3162815.002,"ERI"
"Qatar",6189076.089,"QAT"
"Zimbabwe",17140007.25,"ZWE"
"Reunion",2031088.035,"REU"
"Romania",73881916.52,"ROU"
"Rwanda",5581499.271,"RWA"
"Russian Federation",720091959.4,"RUS"
"Serbia and Montenegro",35532921.53,"SCG"
"Saint Lucia",468904.2066,"LCA"
"Sao Tome and Principe",163897.9299,"STP"
"Senegal",11572657.72,"SEN"
"Sierra Leone",4758792.544,"SLE"
"Slovenia",8726374.232,"SVN"
"Slovakia",23428537.84,"SVK"
"Singapore",27162609.48,"SGP"
"Somalia",9605266.131,"SOM"
"South Africa",146966515.1,"ZAF"
"Spain",197436263.7,"ESP"
"Sudan (former)",62631836.01,""
"Tajikistan",4938427.713,"TJK"
"Swaziland",1813911.509,"SWZ"
"Sweden",55508879.53,"SWE"
"Switzerland",39998464.95,"CHE"
"Syrian Arab Republic",24304611.36,"SYR"
"Turkmenistan",13023977.57,"TKM"
"Tanzania, United Republic of",40002809.61,"TZA"
"Thailand",128510428.2,"THA"
"Togo",5024222.498,"TGO"
"Tonga",203610.0359,"TON"
"Trinidad and Tobago",4206056.585,"TTO"
"Oman",6859513.365,"OMN"
"Tunisia",14615447.09,"TUN"
"Turkey",169000067.9,"TUR"
"United Arab Emirates",36479301.18,"ARE"
"Uganda",33449971.98,"UGA"
"United Kingdom",320007072.3,"GBR"
"Ukraine",169711366.3,"UKR"
"United States of America",2821146146,"USA"
"Burkina Faso",13007298.4,"BFA"
"Uruguay",13958216.72,"URY"
"Uzbekistan",51501441.52,"UZB"
"Venezuela, Bolivarian Republic of",68659820.96,"VEN"
"Viet Nam",69263447.65,"VNM"
"Ethiopia",64186468.38,"ETH"
"Samoa",424354.101,"WSM"
"Yemen",12725968.53,"YEM"
"Congo, Democratic Republic of",42218691.02,"COD"
"Zambia",9016548.177,"ZMB"
"Belgium",74219246.86,"BEL"
"Luxembourg",6747315.776,"LUX"
"China",2413919668,"CHN"
"World",15277903137,"WORLD"
