"name","total","id"
"Afghanistan",0.725714248,"AFG"
"Albania",1.228204601,"ALB"
"Algeria",1.397687456,"DZA"
"Angola",0.744109018,"AGO"
"Antigua and Barbuda",4.665153669,"ATG"
"Argentina",3.37809487,"ARG"
"Armenia",1.153640637,"ARM"
"Aruba",11.26628956,"ABW"
"Australia",8.251021907,"AUS"
"Austria",5.523664738,"AUT"
"Azerbaijan",1.809231359,"AZE"
"Bahamas",4.698889734,"BHS"
"Bahrain",10.2326308,"BHR"
"Bangladesh",0.52350406,"BGD"
"Barbados",3.514339181,"BRB"
"Belarus",3.913757887,"BLR"
"Belgium",7.626826574,"BEL"
"Benin",1.152467109,"BEN"
"Bermuda",7.434729955,"BMU"
"Bhutan",4.456749272,"BTN"
"Bolivia",2.529264008,"BOL"
"Bosnia and Herzegovina",2.646103624,"BIH"
"Botswana",2.365154364,"BWA"
"Brazil",2.999728462,"BRA"
"Brunei Darussalam",6.281909188,"BRN"
"Bulgaria",3.311324406,"BGR"
"Burkina Faso",1.338426977,"BFA"
"Burundi",0.954503143,"BDI"
"Cabo Verde",1.496497481,"CPV"
"Cambodia",0.913525696,"KHM"
"Cameroon",0.985062696,"CMR"
"Canada",8.368501756,"CAN"
"Cayman Islands",5.357575492,"CYM"
"Central African Republic",1.529165296,"CAF"
"Chad",1.658201474,"TCD"
"Chile",3.605166848,"CHL"
"China",1.927880971,"CHN"
"Colombia",2.093804621,"COL"
"Comoros",1.273025916,"COM"
"Congo",0.82303508,"COG"
"Congo, Democratic Republic of",0.953137559,"COD"
"Costa Rica",2.635544509,"CRI"
"Cote d'Ivoire",1.218163194,"CIV"
"Croatia",3.399854326,"HRV"
"Cuba",1.773913809,"CUB"
"Cyprus",5.227801347,"CYP"
"Czech Republic",5.936664911,"CZE"
"Denmark",8.738985405,"DNK"
"Djibouti",1.336393303,"DJI"
"Dominica",2.267505103,"DMA"
"Dominican Republic",1.609006188,"DOM"
"Ecuador",2.223910277,"ECU"
"Egypt",1.650501124,"EGY"
"El Salvador",1.536951365,"SLV"
"Equatorial Guinea",1.032667106,"GNQ"
"Eritrea",1.086793428,"ERI"
"Estonia",6.168915855,"EST"
"Ethiopia",0.999223627,"ETH"
"Fiji",2.41640689,"FJI"
"Finland",6.01438126,"FIN"
"France",5.655242675,"FRA"
"French Guiana",3.274693729,"GUF"
"French Polynesia",4.62392744,"PYF"
"Gabon",2.009209465,"GAB"
"Gambia",1.106654462,"GMB"
"Germany",5.735144972,"DEU"
"Ghana",1.597780097,"GHA"
"Greece",5.347454119,"GRC"
"Grenada",2.483674316,"GRD"
"Guadeloupe",3.587126962,"GLP"
"Guatemala",1.627980395,"GTM"
"Guinea",1.143329989,"GIN"
"Guinea-Bissau",1.631671549,"GNB"
"Guyana",2.505285462,"GUY"
"Haiti",0.610100667,"HTI"
"Honduras",1.826713653,"HND"
"Hungary",3.66896773,"HUN"
"India",0.851237102,"IND"
"Indonesia",1.302883787,"IDN"
"Iran, Islamic Republic of",2.098661181,"IRN"
"Iraq",1.473852513,"IRQ"
"Ireland",6.351517663,"IRL"
"Israel",5.376039566,"ISR"
"Italy",5.497754263,"ITA"
"Jamaica",1.683315065,"JAM"
"Japan",5.292410055,"JPN"
"Jordan",1.960060694,"JOR"
"Kazakhstan",3.535501133,"KAZ"
"Kenya",1.159754645,"KEN"
"Korea, Democratic People's Republic of",2.504739422,"PRK"
"Korea, Republic of",4.001317103,"KOR"
"Kyrgyzstan",1.29177256,"KGZ"
"Lao People's Democratic Republic",1.236828361,"LAO"
"Latvia",3.187603635,"LVA"
"Lebanon",4.556669242,"LBN"
"Lesotho",1.300726282,"LSO"
"Liberia",1.201774749,"LBR"
"Libyan Arab Jamahiriya",2.914774979,"LBY"
"Lithuania",4.013381304,"LTU"
"Luxembourg",13.98438421,"LUX"
"Macedonia TFYR",3.044558119,"MKD"
"Madagascar",1.242206174,"MDG"
"Malawi",0.761040885,"MWI"
"Malaysia",3.306735217,"MYS"
"Mali",1.53728523,"MLI"
"Malta",7.846173793,"MLT"
