"name","footprint","id"
"Armenia",3546851.794,"ARM"
"Afghanistan",14013522.95,"AFG"
"Albania",4603940.546,"ALB"
"Algeria",45737605.16,"DZA"
"Angola",10628359.58,"AGO"
"Antigua and Barbuda",354169.6811,"ATG"
"Argentina",116399916.2,"ARG"
"Australia",152369776.7,"AUS"
"Austria",44627310.75,"AUT"
"Bahamas",1581578.2,"BHS"
"Bahrain",6243625.972,"BHR"
"Barbados",1087410.259,"BRB"
"Bangladesh",73793015.59,"BGD"
"Bermuda",457262.1787,"BMU"
"Bhutan",2535526.399,"BTN"
"Bolivia",20347548.93,"BOL"
"Botswana",4813668.15,"BWA"
"Brazil",520897340.1,"BRA"
"Aruba",1230019.418,"ABW"
"Brunei Darussalam",1732091.668,"BRN"
"Bulgaria",25465377.15,"BGR"
"Myanmar",48408866.9,"MMR"
"Burundi",5155744.169,"BDI"
"Cameroon",14531791.01,"CMR"
"Canada",269653448.8,"CAN"
"Cabo Verde",732753.3674,"CPV"
"Cayman Islands",214972.3894,"CYM"
"Central African Republic",5296116.224,"CAF"
"Sri Lanka",23063045.5,"LKA"
"Chad",12723602.11,"TCD"
"Chile",53571212.46,"CHL"
"Colombia",76389484.46,"COL"
"Comoros",695809.4925,"COM"
"Congo",2575639.77,"COG"
"Costa Rica",10328775.79,"CRI"
"Cuba",18962002.51,"CUB"
"Cyprus",4673647.988,"CYP"
"Azerbaijan",13850275.2,"AZE"
"Benin",7693324.647,"BEN"
"Denmark",45407586.91,"DNK"
"Dominica",170967.3616,"DMA"
"Dominican Republic",14064788.47,"DOM"
"Belarus",37052322.19,"BLR"
"Ecuador",22255632.49,"ECU"
"Egypt",113827955.2,"EGY"
"El Salvador",9819984.519,"SLV"
"Equatorial Guinea",754613.47,"GNQ"
"Estonia",8224943.044,"EST"
"Fiji",1981078.806,"FJI"
"Finland",29894814.61,"FIN"
"France",320139391.5,"FRA"
"French Guiana",446164.9913,"GUF"
"French Polynesia",1092704.894,"PYF"
"Djibouti",1044322.099,"DJI"
"Gabon",1565397.664,"GAB"
"Gambia",1539664.657,"GMB"
"Germany",439133252,"DEU"
"Bosnia and Herzegovina",9923142.389,"BIH"
"Ghana",30608771.97,"GHA"
"Greece",57873897.57,"GRC"
"Grenada",224896.0628,"GRD"
"Guadeloupe",1480476.315,"GLP"
"Guatemala",18450721.46,"GTM"
"Guinea",11512652.57,"GIN"
"Guyana",1978417.073,"GUY"
"Haiti",5185451.769,"HTI"
"Honduras",11284390.58,"HND"
"Hungary",37231134.97,"HUN"
"Croatia",14360145.09,"HRV"
"India",901160534.4,"IND"
"Indonesia",278154138.1,"IDN"
"Iran, Islamic Republic of",142205260.3,"IRN"
"Iraq",24431753.43,"IRQ"
"Ireland",25665881.15,"IRL"
"Israel",31607368.82,"ISR"
"Italy",317070571.8,"ITA"
"Cote d'Ivoire",18564744.58,"CIV"
"Kazakhstan",36676519.77,"KAZ"
"Jamaica",4902279.268,"JAM"
"Japan",673144341.8,"JPN"
"Jordan",8314610.117,"JOR"
"Kyrgyzstan",5979883.499,"KGZ"
"Kenya",35889491.54,"KEN"
"Cambodia",11350727.34,"KHM"
"Korea, Democratic People's Republic of",58104942.27,"PRK"
"Korea, Republic of",221688544,"KOR"
"Kuwait",5204465.33,"KWT"
"Latvia",10361239.93,"LVA"
"Lao People's Democratic Republic",6856676.92,"LAO"
"Lebanon",14308100.22,"LBN"
"Lesotho",3000284.568,"LSO"
"Liberia",3399070.684,"LBR"
"Libyan Arab Jamahiriya",14755960,"LBY"
"Lithuania",11441677.36,"LTU"
"Madagascar",18634250.75,"MDG"
"Malawi",8445706.937,"MWI"
"Malaysia",89281322.15,"MYS"
"Mali",16698805.24,"MLI"
"Malta",2725530.941,"MLT"
"Martinique",1225842.157,"MTQ"
"Mauritania",6451445.741,"MRT"
"Mauritius",2998063.484,"MUS"
"Mexico",389599880.3,"MEX"
"Mongolia",16788046.92,"MNG"
"Morocco",36587990.78,"MAR"
"Mozambique",14927354.79,"MOZ"
"Micronesia, Federated States of",216185.0834,"FSM"
"Moldova",6132274.506,"MDA"
"Namibia",4734125.099,"NAM"
"Nepal",20077734.12,"NPL"
"Netherlands",101490998.9,"NLD"
"Macedonia TFYR",6019175.377,"MKD"
"New Zealand",25884908.86,"NZL"
"Nicaragua",9126645.692,"NIC"
"Niger",16580204.88,"NER"
"Nigeria",140463629.3,"NGA"
"Norway",27679025.8,"NOR"
"Pakistan",115630697.1,"PAK"
"Panama",6723139.45,"PAN"
"Czech Republic",56935890.82,"CZE"
"Papua New Guinea",7186098.008,"PNG"
"Paraguay",22397640.31,"PRY"
"Peru",48081530.82,"PER"
"Philippines",99699010.46,"PHL"
"Poland",171286762.4,"POL"
"Portugal",48785416.44,"PRT"
"Guinea-Bissau",2041612.991,"GNB"
"Timor-Leste",450526.0112,"TLS"
"Eritrea",3321443.323,"ERI"
"Qatar",5250277.168,"QAT"
"Zimbabwe",18159926.23,"ZWE"
"Reunion",2183134.57,"REU"
"Romania",57439133.22,"ROU"
"Rwanda",6053369.157,"RWA"
"Russian Federation",658769582.3,"RUS"
"Serbia and Montenegro",28156952.49,"SCG"
"Saint Lucia",498684.2307,"LCA"
"Sao Tome and Principe",181757.5431,"STP"
"Senegal",13265722.52,"SEN"
"Sierra Leone",4508540.887,"SLE"
"Slovenia",9432478.35,"SVN"
"Slovakia",19550010.05,"SVK"
"Singapore",25985184.68,"SGP"
"Somalia",10382153.61,"SOM"
"South Africa",134971286.9,"ZAF"
"Spain",220308881.9,"ESP"
"Sudan (former)",66331977.99,""
"Tajikistan",4898454.174,"TJK"
"Swaziland",1481393.755,"SWZ"
"Sweden",52855128.69,"SWE"
"Switzerland",39164131.1,"CHE"
"Syrian Arab Republic",26428214.88,"SYR"
"Turkmenistan",16693809.68,"TKM"
"Tanzania, United Republic of",41850595.7,"TZA"
"Thailand",117987567.6,"THA"
"Togo",5322920.658,"TGO"
"Tonga",222655.2379,"TON"
"Trinidad and Tobago",4542277.459,"TTO"
"Oman",7261436.03,"OMN"
"Tunisia",17624371.4,"TUN"
"Turkey",165046626.9,"TUR"
"United Arab Emirates",39478560.79,"ARE"
"Uganda",36406447.01,"UGA"
"United Kingdom",322051429.2,"GBR"
"Ukraine",143724812.9,"UKR"
"United States of America",2839741284,"USA"
"Burkina Faso",13500970.88,"BFA"
"Uruguay",15202351.92,"URY"
"Uzbekistan",53719689,"UZB"
"Venezuela, Bolivarian Republic of",65940594.09,"VEN"
"Viet Nam",74138600.49,"VNM"
"Ethiopia",65148099.36,"ETH"
"Samoa",435159.9625,"WSM"
"Yemen",14397568.29,"YEM"
"Congo, Democratic Republic of",43281971.73,"COD"
"Zambia",8868926.404,"ZMB"
"Belgium",74872759.32,"BEL"
"Luxembourg",6890362.464,"LUX"
"China",2463340993,"CHN"
"World",15395376937,"WORLD"
