"country","year","footprint","deficit","id"
"Afghanistan",1967,1.22760287,-0.0600016379999999,"AFG"
"Albania",1967,1.745809163,-0.282120837,"ALB"
"Algeria",1967,0.642448534,0.609877142,"DZA"
"Angola",1967,1.064986391,7.829131774,"AGO"
"Argentina",1967,3.689436642,5.546254706,"ARG"
"Australia",1967,7.550832771,18.085621009,"AUS"
"Austria",1967,4.003845197,-0.700537363,"AUT"
"Barbados",1967,2.258141821,-1.805969172,"BRB"
"Belgium",1967,6.506926445,-5.608662516,"BEL"
"Benin",1967,1.274152855,1.490513803,"BEN"
"Bermuda",1967,5.083374379,-4.915938362,"BMU"
"Bolivia",1967,2.240704837,42.942260083,"BOL"
"Botswana",1967,2.027296273,9.852431637,"BWA"
"Brazil",1967,2.387171738,16.837224992,"BRA"
"Bulgaria",1967,4.073133363,-1.593691401,"BGR"
"Burkina Faso",1967,1.367003712,0.659751513,"BFA"
"Burundi",1967,1.140103495,-0.306550698,"BDI"
"Cabo Verde",1967,0.531285905,0.665670467,"CPV"
"Cambodia",1967,1.378303988,0.126844756,"KHM"
"Cameroon",1967,1.308132451,3.845650055,"CMR"
"Canada",1967,9.544106533,14.798962087,"CAN"
"Central African Republic",1967,1.305733188,19.487676902,"CAF"
"Chad",1967,2.177779912,4.845692942,"TCD"
"Chile",1967,2.385602848,3.398100618,"CHL"
"China",1967,0.944404269,0.022421102,"CHN"
"Colombia",1967,2.103156969,6.922034273,"COL"
"Comoros",1967,0.605625111,0.013659451,"COM"
"Congo",1967,0.938148027,38.711365543,"COG"
"Congo, Democratic Republic of",1967,0.977183336,11.165120004,"COD"
"Costa Rica",1967,2.237745322,2.496782035,"CRI"
"Cote d'Ivoire",1967,1.530435049,4.233585517,"CIV"
"Cuba",1967,1.741541095,-0.870697771,"CUB"
"Cyprus",1967,2.553198823,-1.523419681,"CYP"
"Czechoslovakia",1967,5.729260253,-3.399587014,"CSHH"
"Denmark",1967,7.443049174,-2.915868912,"DNK"
"Djibouti",1967,1.802372886,1.503452532,"DJI"
"Dominica",1967,0.767716152,0.307094414,"DMA"
"Dominican Republic",1967,0.906343162,0.030478954,"DOM"
"Ecuador",1967,1.25085208,4.847234484,"ECU"
"Egypt",1967,0.881705194,-0.450879588,"EGY"
