country,year,population,BiocapPerCap,footprint,deficit,id,ratio
Afghanistan,1969,10849499.9952,1.144962986,1.207718606,-0.0627556200000001,AFG,0.051962120719369065
Albania,1969,2099659.91192411,1.416133995,1.993961706,-0.577827711,ALB,0.2897887703967771
Algeria,1969,14144400.3966551,1.208585118,0.628527948,0.58005717,DZA,-0.9228820641083092
Angola,1969,6177700.19657461,8.547384859,1.140625947,7.406758912,AGO,-6.49359146307409
Argentina,1969,23605999.9970384,8.740543461,3.410974817,5.329568644,ARG,-1.5624766906627092
Australia,1969,12621200.1917885,24.67434657,8.49233289,16.18201368,AUS,-1.9054850875022635
Austria,1969,7473060.05936619,3.28978749,4.260910466,-0.971122976,AUT,0.2279144290285118
Barbados,1969,237910.995468339,0.358958876,2.46755683,-2.108597954,BRB,0.8545286286273699
Belgium,1969,9550389.64898213,0.847030242,7.110846498,-6.263816256,BEL,0.8808819396905507
Benin,1969,2846649.90216598,2.594737863,1.241341673,1.35339619,BEN,-1.0902688755539751
Bermuda,1969,51719.0017746198,0.159709705,5.45551787,-5.295808165,BMU,0.9707251064324715
Bolivia,1969,4413580.08013751,42.91858154,2.279429671,40.639151869,BOL,-17.828649151158654
Botswana,1969,671304.992845454,11.06238844,3.129836592,7.932551848,BWA,-2.534493931177094
Brazil,1969,93585703.0948458,18.20302185,2.385952962,15.817068888,BRA,-6.629245898771409
Bulgaria,1969,8441209.96165413,2.365365841,4.582905269,-2.217539428,BGR,0.48387197592759146
Burkina Faso,1969,5528169.92396987,1.934404502,1.361826093,0.572578409,BFA,-0.42044899267472047
Burundi,1969,3392949.95081458,0.809880578,1.152196075,-0.342315497,BDI,0.29709830160634765
Cabo Verde,1969,264885.009676942,1.026105154,0.520180337,0.505924817,CPV,-0.9725950425534826
Cambodia,1969,6902020.01925911,1.47070951,1.402885783,0.0678237269999999,KHM,-0.04834586523142486
Cameroon,1969,6600479.98095008,4.95026278,1.328173545,3.622089235,CMR,-2.7271204494590346
Canada,1969,21089199.2226771,23.84727549,9.98897068,13.85830481,CAN,-1.3873606454514091
Central African Republic,1969,1792150.02514968,19.90180313,1.391015896,18.510787234,CAF,-13.30738727517748
Chad,1969,3569780.02883992,6.763864738,2.063624749,4.700239989,TCD,-2.277662153101072
Chile,1969,9376999.99773378,5.49492178,2.341340778,3.153581002,CHL,-1.3469124322405663
China,1969,805543000.401754,0.906183081,0.964787951,-0.05860487,CHN,0.060743783065756826
Colombia,1969,21490900.3874279,8.513606179,2.146731396,6.366874783,COL,-2.9658460275297527
Comoros,1969,223628.997773007,0.620312155,0.640354485,-0.02004233,COM,0.03129880475499441
Congo,1969,1296140.01564901,37.23706619,0.953866121,36.283200069,COG,-38.03804252001524
"Congo, Democratic Republic of",1969,19458900.3972806,11.41669946,1.016357963,10.400341497,COD,-10.23295125892569
Costa Rica,1969,1798310.05811876,4.435230445,2.281756694,2.153473751,CRI,-0.9437788685632758
Cote d'Ivoire,1969,5010959.95978555,5.403990384,1.655434815,3.748555569,CIV,-2.264393339462297
Cuba,1969,8563190.43280507,0.800662168,1.890664436,-1.090002268,CUB,0.5765180997988583
Cyprus,1969,606117.004637872,0.995138207,2.877611812,-1.882473605,CYP,0.6541791346386091
Czechoslovakia,1969,14298299.8044192,2.41208915,6.313794143,-3.901704993,CSHH,0.6179651893348085
Denmark,1969,4898350.09711776,4.606895689,9.191888664,-4.584992975,DNK,0.49880858467717404
Djibouti,1969,149891.006491973,2.874193449,1.779945462,1.094247987,DJI,-0.6147648960943276
Dominica,1969,70211.9979731838,1.077237015,0.787919514,0.289317501,DMA,-0.36719169389679546
Dominican Republic,1969,4376060.05960425,0.930877861,1.038546437,-0.107668576,DOM,0.1036723753162324
Ecuador,1969,5899839.84174803,5.624602879,1.342668875,4.281934004,ECU,-3.189121371417804
Egypt,1969,34038101.5661764,0.463237015,0.821682916,-0.358445901,EGY,0.4362338488731583
El Salvador,1969,3572669.9207172,1.05155898,1.1631894759999999,-0.111630496,SLV,0.09596931394520274
Ethiopia PDR,1969,29412300.7849581,1.664545664,1.718965015,-0.0544193509999999,ETH,0.03165820742430872
Fiji,1969,509658.99670104,3.97162421,1.524406484,2.447217726,FJI,-1.6053577255710492
Finland,1969,4595810.05773541,14.48357347,6.426175947,8.057397523,FIN,-1.2538401670688024
France,1969,50489499.9945488,2.564919675,5.303670437,-2.738750762,FRA,0.5163878100142971
French Polynesia,1969,106858.001701851,2.776255104,3.527322528,-0.751067424,PYF,0.2129284798988475
Gabon,1969,578114.013334066,75.25538752,0.936374266,74.319013254,GAB,-79.36891898094945
Gambia,1969,435799.98796972,3.465242033,1.148036464,2.317205569,GMB,-2.0184076391845336
Germany,1969,78038296.8749899,1.437654903,5.457169183,-4.01951428,DEU,0.7365566551466762
Ghana,1969,8397349.60640103,2.394108292,1.186209777,1.207898515,GHA,-1.0182840661243344
Greece,1969,8732309.57094862,1.490427645,2.691834656,-1.201407011,GRC,0.44631530704239514
Guadeloupe,1969,316303.985622373,0.823356811,1.540869612,-0.717512801,GLP,0.4656544560371277
Guatemala,1969,5274729.98014991,2.128138343,1.35785295,0.770285393,GTM,-0.5672818938162631
Guinea,1969,4160379.88274809,5.378994666,1.545535729,3.833458937,GIN,-2.4803431360854677
Guinea-Bissau,1969,698916.992319486,6.548315699,1.288643585,5.259672114,GNB,-4.081556898449931
Guyana,1969,687658.019866422,85.48451009,2.668186267,82.816323823,GUY,-31.03843417802885
Haiti,1969,4622209.96322114,0.464593334,0.620742982,-0.156149648,HTI,0.2515528206165043
Honduras,1969,2620010.00973651,6.258160829,2.480047299,3.77811353,HND,-1.5234038203720566
Hungary,1969,10309200.1945897,1.913693894,3.936774657,-2.023080763,HUN,0.5138929553416905
India,1969,541844999.953642,0.468998556,0.642174466,-0.17317591,IND,0.2696711239216416
Indonesia,1969,111800000.036021,2.249346534,1.177086132,1.072260402,IDN,-0.9109447243067171
"Iran, Islamic Republic of",1969,27765199.2023876,1.415789514,0.974876518,0.440912996,IRN,-0.4522757373462555
Ireland,1969,2918629.8824879,5.012537951,5.175699002,-0.163161051,IRL,0.031524447410282444
Israel,1969,2775159.91251499,0.465846605,3.763912412,-3.298065807,ISR,0.8762334098118754
Italy,1969,53179601.5773721,1.102948676,3.942724409,-2.839775733,ITA,0.7202572227766376
Jamaica,1969,1849459.96159862,0.563423694,1.880804675,-1.317380981,JAM,0.7004347652421695
Japan,1969,102324000.000258,0.891238941,4.783858132,-3.892619191,JPN,0.8136987100352414
Jordan,1969,1553579.95664486,0.506617945,1.156474564,-0.649856619,JOR,0.5619290205158373
Kenya,1969,10867700.1943399,1.51177308,1.558760778,-0.0469876979999999,KEN,0.03014426502332734
"Korea, Democratic People's Republic of",1969,14009200.1958983,1.155898052,2.004736443,-0.848838391,PRK,0.42341645155597146
"Korea, Republic of",1969,30811499.9998442,1.191577191,1.421789341,-0.23021215,KOR,0.16191720064386111
Lao People's Democratic Republic,1969,2618249.99973288,3.13796235,1.655633953,1.482328397,LAO,-0.8953237485339249
Lebanon,1969,2250610.10744852,0.378562584,2.0814432,-1.702880616,LBN,0.8181249509955401
Lesotho,1969,1011309.99735657,1.883232317,1.334372372,0.548859945,LSO,-0.41132442226554133
Liberia,1969,1383310.05875828,8.391953097,1.208345728,7.183607369,LBR,-5.944993392652603
Luxembourg,1969,416704.010112949,2.227192509,14.92442152,-12.697229011,LUX,0.8507685871767042
Madagascar,1969,6400450.1965135,8.4916391,2.04147294,6.45016616,MDG,-3.159564858106814
Malawi,1969,4484459.96137414,1.067230321,0.907343015,0.159887306,MWI,-0.1762148419691091
Malaysia,1969,10640299.8055035,5.04512983,1.54389961,3.50123022,MYS,-2.2677836028470786
Mali,1969,5861410.15556054,2.973392901,1.665942883,1.307450018,MLI,-0.7848108307564347
Malta,1969,304401.000996649,0.774163623,3.014776527,-2.240612904,MLT,0.7432102790814915
Martinique,1969,323322.998118106,0.516388966,1.776996053,-1.260607087,MTQ,0.7094034254447497
Mauritania,1969,1115790.03911421,15.64715448,3.196672873,12.450481607,MRT,-3.8948250576905377
Mauritius,1969,812943.970031398,1.177555486,1.073482986,0.1040725,MUS,-0.09694843919957574
Mexico,1969,50423101.5631727,2.748719585,1.920582883,0.828136702,MEX,-0.43119029609720827
Mongolia,1969,1242209.96095608,41.31238199,6.61100114,34.70138085,MNG,-5.249035677824736
Morocco,1969,15688000.0006517,1.086036854,0.945195893,0.140840961,MAR,-0.1490071656500523
Mozambique,1969,9058690.4244045,5.538555483,0.896880565,4.641674918,MOZ,-5.175354555709432
