"country","year","population","BiocapPerCap","footprint","deficit","id"
"Afghanistan",1989,11608400.3857871,0.907819176,0.909464231,-0.00164505500000001,"AFG"
"Albania",1989,3253659.91192024,1.021038993,2.004290584,-0.983251591,"ALB"
"Algeria",1989,25257699.2172396,0.610831659,1.640660746,-1.029829087,"DZA"
"Angola",1989,10820999.9951949,4.66681398,0.862628245,3.804185735,"AGO"
"Antigua and Barbuda",1989,61966.9990541594,1.365936664,4.052590815,-2.686654151,"ATG"
"Argentina",1989,32263599.6179854,6.687128001,3.394648607,3.292479394,"ARG"
"Aruba",1989,61032.0014999255,0.971635579,7.760854728,-6.789219149,"ABW"
"Australia",1989,16849300.7762056,18.60676848,8.044802458,10.561966022,"AUS"
"Austria",1989,7669600.0972783,3.380869677,5.086717218,-1.705847541,"AUT"
"Bahamas",1989,251854.99570512,14.20768816,6.534201382,7.673486778,"BHS"
"Bahrain",1989,481126.006943312,1.375996838,10.31100125,-8.935004412,"BHR"
"Bangladesh",1989,103401000.10319,0.377025846,0.498430767,-0.121404921,"BGD"
"Barbados",1989,259454.010103137,0.232021977,4.249286394,-4.017264417,"BRB"
"Belgium",1989,9898089.84456981,0.927887203,6.964239501,-6.036352298,"BEL"
"Benin",1989,4836240.23636428,1.401536693,1.047585684,0.353951009,"BEN"
"Bermuda",1989,60539.0014597147,0.139241461,9.130330598,-8.991089137,"BMU"
"Bhutan",1989,529283.996508016,6.222683619,4.04466938,2.178014239,"BTN"
"Bolivia",1989,6723049.80488478,28.35480997,2.366780759,25.988029211,"BOL"
"Botswana",1989,1339810.05886079,5.490638086,2.205538525,3.285099561,"BWA"
"Brazil",1989,147802000.01243,12.41530874,2.939420831,9.475887909,"BRA"
"Brunei Darussalam",1989,249738.006612345,4.920675386,3.749894258,1.170781128,"BRN"
"Bulgaria",1989,8878349.60912246,2.664440297,5.479839984,-2.815399687,"BGR"
"Burkina Faso",1989,8579830.07527247,1.443920363,1.317108247,0.126812116,"BFA"
"Burundi",1989,5454479.97950491,0.641661991,0.971502748,-0.329840757,"BDI"
"Cabo Verde",1989,334472.991835625,0.93601546,1.545735057,-0.609719597,"CPV"
"Cambodia",1989,8723549.80285675,1.07588537,1.001831928,0.0740534419999999,"KHM"
"Cameroon",1989,11716999.9974589,2.849802098,1.089302704,1.760499394,"CMR"
"Canada",1989,27296499.9945752,18.9582812,10.0002845,8.9579967,"CAN"
"Central African Republic",1989,2871000.00064156,12.39372934,1.644423295,10.749306045,"CAF"
"Chad",1989,5769270.01951233,4.120892577,1.538393668,2.582498909,"TCD"
"Chile",1989,12928500.0008848,4.224652136,2.98934703,1.235305106,"CHL"
"China",1989,1161240000.20578,0.836660693,1.538135777,-0.701475084,"CHN"
"Colombia",1989,33624398.4375125,5.444948564,2.048344562,3.396604002,"COL"
"Comoros",1989,403002.990563347,0.469620107,1.29292028,-0.823300173,"COM"
"Congo",1989,2323889.89250331,20.55184339,0.88724313,19.66460026,"COG"
"Congo, Democratic Republic of",1989,33763101.5636767,6.18819402,0.995107269,5.193086751,"COD"
"Costa Rica",1989,3018949.95081271,2.489082092,2.270148531,0.218933561,"CRI"
"Cote d'Ivoire",1989,11744700.1946039,2.701107213,1.2028536,1.498253613,"CIV"
"Cuba",1989,10486099.6091268,0.900889183,2.811193682,-1.910304499,"CUB"
