"country","year","population","BiocapPerCap","footprint","deficit","id","ratio","overshoot_day"
"Aruba",1992,68235.0006345427,0.877419379,11.11918904,-10.241769661,"ABW",-11.6726047468885,66.7848966408431
"Afghanistan",1992,13745599.6059133,0.759491765,0.716812844,0.042678921,"AFG",0.0595399105596328,1035.96627752043
"Angola",1992,11848999.995019,4.31368316,0.775340438,3.538342722,"AGO",4.56359911079056,957.764986959276
"Albania",1992,3240610.10738946,0.773736585,1.665522722,-0.891786137,"ALB",-1.15257071082254,445.862363866311
"United Arab Emirates",1992,2019010.00950589,2.463490964,13.40612428,-10.942633316,"ARE",-4.44192145117512,55.3921380614828
"Argentina",1992,33655101.5754692,6.812479089,3.525097523,3.287381566,"ARG",0.932564727642285,210.659106051677
"Armenia",1992,3449499.99978585,0.427374053,1.730092359,-1.302718306,"ARM",-3.04819244406627,429.222097094352
"Antigua and Barbuda",1992,63433.9981152954,1.355557839,4.283499998,-2.927942159,"ATG",-2.15995369109444,173.361477318781
"Australia",1992,17538400.3899286,18.28381565,7.379363153,10.904452497,"AUS",1.47769558896356,100.631161249117
"Austria",1992,7813390.13668067,3.292792701,5.041871417,-1.749078716,"AUT",-0.531183970372626,147.28536870159
"Burundi",1992,5895129.88133712,0.692073525,1.037941116,-0.345867591,"BDI",-0.499755546202664,715.44896728244
"Belgium",1992,10005299.8060059,0.929202194,7.080821441,-6.151619247,"BEL",-6.62032362407583,104.873975227648
"Benin",1992,5378229.98094851,1.299172141,1.113216628,0.185955513,"BEN",0.167043448687345,667.070440824364
"Burkina Faso",1992,9297120.11540891,1.50915312,1.404026124,0.105126996,"BFA",0.0748754029572526,528.903193533938
"Bangladesh",1992,110986999.964942,0.368999203,0.487128994,-0.118129791,"BGD",-0.320135653410631,1524.42964408812
"Bulgaria",1992,8653530.27218759,2.327249216,3.511019106,-1.18376989,"BGR",-0.508656258138095,211.503801871941
"Bahrain",1992,522747.985824149,1.250587416,9.850527569,-8.599940153,"BHR",-6.87672052546314,75.3862045008635
