country,year,population,BiocapPerCap,footprint,deficit,id,ratio,overshoot_day
Afghanistan,1961,9164950.19749172,1.323556285,1.211438883,0.112117402,AFG,1.0925489349896227,941.7170698456191
Afghanistan,1962,9343769.53179445,1.277679905,1.162180403,0.115499502,AFG,1.0993817397023733,968.9779885119384
Afghanistan,1963,9531549.80313718,1.220435306,1.193539983,0.026895323,AFG,1.0225340667258742,925.46912180991
Afghanistan,1964,9728639.65111732,1.222518612,1.219670528,0.0028480840000000302,AFG,1.0023351470745583,892.4362861854902
Afghanistan,1965,9935360.35377221,1.214866174,1.256863005,-0.0419968310000001,AFG,-1.0345690999034074,851.0357494611585
Afghanistan,1966,10148799.8082819,1.146332988,1.188987083,-0.0426540950000001,AFG,-1.0372091795072564,891.4691748127459
Afghanistan,1967,10368599.6107194,1.167601232,1.22760287,-0.0600016379999999,AFG,-1.0513888376085385,849.9430255337455
Afghanistan,1968,10599799.8047162,1.145146167,1.215360299,-0.070214132,AFG,-1.0613145569006268,843.0088511448004
Afghanistan,1969,10849499.9952,1.144962986,1.207718606,-0.0627556200000001,AFG,-1.0548101646499508,832.3292766750467
Afghanistan,1970,11121099.6101862,1.056423549,1.15428687,-0.0978633209999999,AFG,-1.0926364714228491,858.0358140857354
Afghanistan,1971,11412799.7964064,0.985983119,1.127194507,-0.141211388,AFG,-1.1432188615967382,868.4405281608452
Afghanistan,1972,11716900.3921781,1.03995354,1.033955166,0.00599837400000003,AFG,1.0058013538691037,924.0370689851939
Afghanistan,1973,12022500.0076651,1.046149093,1.041727734,0.00442135899999996,AFG,1.004244285718811,909.5618512544112
Afghanistan,1974,12315599.6132761,1.035189635,1.069577502,-0.034387867,AFG,-1.0332188989062914,863.9373179783605
Afghanistan,1975,12582999.9935205,1.041872961,1.10348605,-0.0616130890000002,AFG,-1.0591369028331439,823.941097364072
Afghanistan,1976,12831400.3888429,1.015987439,1.080538186,-0.064550747,AFG,-1.063534998031078,832.4971062522363
Afghanistan,1977,13056500.0019411,0.954774587,1.058144884,-0.103370297,AFG,-1.108266716649843,836.041764332087
Afghanistan,1978,13222500.0017619,0.955308827,1.038654212,-0.083345385,AFG,-1.0872444254493074,849.0813396990065
Afghanistan,1979,13283299.8078642,0.948035973,1.040744571,-0.0927085980000001,AFG,-1.0977902030447222,831.0891460642696
Afghanistan,1980,13211400.3934644,0.930938337,1.003997909,-0.073059572,AFG,-1.078479483399513,846.4069112644557
Afghanistan,1981,12996900.3938489,0.930871473,1.012448307,-0.0815768340000002,AFG,-1.087634901948386,832.8535423487797
