country,year,population,BiocapPerCap,footprint,deficit,id,ratio,overshoot_day
Argentina,1961,20953099.6112909,10.40245458,3.776809913,6.625644667,ARG,-1.754296567638775,302.0625134468643
Argentina,1962,21287699.2196446,10.10248295,3.145041061,6.957441889,ARG,-2.2121942938283308,358.0643910440471
Argentina,1963,21621800.7764241,10.11539559,2.979573293,7.135822297,ARG,-2.394914169006817,370.71899377169206
Argentina,1964,21953900.3941903,10.02234909,3.411759325,6.610589765,ARG,-1.9375897111382558,319.03722264053033
Argentina,1965,22283400.3922156,9.413192109,3.314225138,6.098966971,ARG,-1.8402391862492722,322.7407049614705
Argentina,1966,22608699.2199704,9.330785756,3.318209322,6.012576434,ARG,-1.811994316975763,319.43293899513816
Argentina,1967,22932199.2189397,9.235691348,3.689436642,5.546254706,ARG,-1.5032795638397085,282.8053809028728
Argentina,1968,23261300.7833171,8.842769811,3.594982499,5.247787312,ARG,-1.4597532292465272,284.9970730678105
Argentina,1969,23605999.9970384,8.740543461,3.410974817,5.329568644,ARG,-1.5624766906627092,294.70154653883696
Argentina,1970,23973099.6092693,8.697292381,3.529849397,5.167442984,ARG,-1.4639273246025122,280.584066824494
Argentina,1971,24366400.3903535,8.607961795,4.013867727,4.594094068,ARG,-1.144555421469672,243.87983363776542
Argentina,1972,24782900.3953621,8.352832843,4.061247723,4.29158512,ARG,-1.0567159190254594,235.25108613050125
Argentina,1973,25213400.3948605,8.336551135,4.303158392,4.033392743,ARG,-0.9373098490863081,220.19077320393316
Argentina,1974,25644500.0089506,8.215377894,4.645441169,3.569936725,ARG,-0.7684817426648161,198.9149957855456
Argentina,1975,26067000.0012081,8.120074415,4.65193514,3.468139275,ARG,-0.745526145706322,195.44716953596364
Argentina,1976,26477199.2206155,8.109721597,4.332996532,3.776725065,ARG,-0.8716196833088072,207.60342748834438
Argentina,1977,26878599.6141595,7.929603248,3.887591664,4.042011584,ARG,-1.039721229323019,227.55818958945713
Argentina,1978,27277699.213073,8.11381689,3.780799403,4.333017487,ARG,-1.1460585514168844,233.25805109363907
Argentina,1979,27684499.9894106,7.945733349,3.863997715,4.081735634,ARG,-1.0563504264391108,223.8488757084405
Argentina,1980,28105900.3801983,7.619859308,3.940174636,3.679684672,ARG,-0.9338887262457876,215.67337687395883
Argentina,1981,28543400.4057801,7.749473707,3.630899151,4.118574556,ARG,-1.1343125723736194,232.23480098263266
Argentina,1982,28993999.9954524,7.948998872,3.801548452,4.14745042,ARG,-1.090989756507778,220.18708535350794
Argentina,1983,29454699.213865,7.763421591,3.487781493,4.275640098,ARG,-1.2258910446601192,234.24528748575563
Argentina,1984,29920900.3968816,7.727997034,3.695029412,4.032967622,ARG,-1.0914575155755217,221.06645767960603
Argentina,1985,30388800.7826736,7.412029056,3.248187417,4.163841639,ARG,-1.2818969795916795,248.98655052045333
Argentina,1986,30857199.2303581,7.253053744,3.474861986,3.778191758,ARG,-1.0872926099574878,229.39938135816615
Argentina,1987,31326499.9974169,7.004576559,3.570872016,3.433704543,ARG,-0.9615871214690995,219.62710689013775
Argentina,1988,31795500.0120052,7.066013906,3.51013292,3.555880986,ARG,-1.013033143485632,217.5302544114498
Argentina,1989,32263599.6179854,6.687128001,3.394648607,3.292479394,ARG,-0.9699028604052505,224.47300782914616
Argentina,1990,32729699.2313669,6.875991231,3.079274725,3.796716506,ARG,-1.2329905075293341,246.81392099574614
Argentina,1991,33193898.4229601,6.866968491,3.233654557,3.633313934,ARG,-1.1235937141568952,229.45735911776106
Argentina,1992,33655101.5754692,6.812479089,3.525097523,3.287381566,ARG,-0.9325647147493117,210.65910605167662
Argentina,1993,34110898.4496118,6.668401473,3.478118994,3.190282479,ARG,-0.9172436263691559,209.99383565225918
Argentina,1994,34558101.5726822,6.583921521,3.399837128,3.184084393,ARG,-0.936540273290409,213.5444101807113
Argentina,1995,34994800.7975538,6.690431721,3.261350212,3.429081509,ARG,-1.051430017047185,218.03210088570063
Argentina,1996,35419699.2142322,6.55327306,3.572464575,2.980808485,ARG,-0.8343843367572091,199.3469567480109
Argentina,1997,35834000.0108725,6.742222357,3.407141934,3.335080423,ARG,-0.9788498652548355,207.1387800446468
