"country","year","population","BiocapPerCap","footprint","deficit","id","ratio","overshoot_day"
"Australia",1961,10494900.3897553,29.19207395,7.470903593,21.721170357,"AUS",2.90743550084089,152.70344154956
"Australia",1962,10691200.1951182,28.83614854,7.376650218,21.459498322,"AUS",2.90911155581161,152.6610583053
"Australia",1963,10892700.194526,28.4399047,7.878040806,20.561863894,"AUS",2.61002251981229,140.210547734787
"Australia",1964,11114999.9990795,27.96201903,7.76792441,20.19409462,"AUS",2.59967702955503,140.124717407136
"Australia",1965,11367999.9997321,26.9986826,7.705559848,19.293122752,"AUS",2.50379249538755,138.813450669087
"Australia",1966,11657299.8045771,27.08308629,8.4245495,18.65853679,"AUS",2.21478154885315,125.81626458483
"Australia",1967,11975799.8054596,25.63645378,7.550832771,18.085621009,"AUS",2.39518228770739,138.18244299887
"Australia",1968,12305500.0019888,25.76447116,8.755644434,17.008826726,"AUS",1.9426127858733,117.017028493071
"Australia",1969,12621200.1917885,24.67434657,8.49233289,16.18201368,"AUS",1.90548508408096,118.367892615821
"Australia",1970,12904799.8005862,24.11455533,8.069950554,16.044604776,"AUS",1.98819119537113,122.729313848588
"Australia",1971,13150599.6115704,23.80298838,8.214865245,15.588123135,"AUS",1.89755069626705,119.162197198318
"Australia",1972,13364200.2012444,23.16926385,7.561518735,15.607745115,"AUS",2.06410190455523,126.351989643297
"Australia",1973,13552200.198074,23.35544665,8.469227212,14.886219438,"AUS",1.75768332794284,111.87747747693
"Australia",1974,13725400.388427,23.04001287,9.909304585,13.130708285,"AUS",1.32508877262689,93.2505310937762
"Australia",1975,13892700.183547,22.9540571,10.13019142,12.82386568,"AUS",1.26590556818107,89.752257608874
"Australia",1976,14054999.9967506,22.51446159,9.194068725,13.320392865,"AUS",1.44880284503421,97.8397001422232
"Australia",1977,14211700.1946095,21.92775593,8.308413855,13.619342075,"AUS",1.63922286418591,106.476800477526
"Australia",1978,14368500.0034745,22.48397671,8.971980469,13.511996241,"AUS",1.50602157572679,98.2951199704458
"Australia",1979,14532400.396903,22.30087449,8.599770794,13.701103696,"AUS",1.59319405233451,100.57844110043
"Australia",1980,14708299.8091289,21.46494548,7.890655807,13.574289673,"AUS",1.72029930389309,107.695834540774
"Australia",1981,14897999.9948481,21.8782538,8.525856138,13.352397662,"AUS",1.56610638783828,98.9016402821999
"Australia",1982,15101200.1982743,20.55238953,7.622565451,12.929824079,"AUS",1.69625620534189,109.812357013528
"Australia",1983,15318299.7993252,21.37547998,8.384654595,12.990825385,"AUS",1.54935724841903,97.4394795171408
"Australia",1984,15548599.6095551,20.84036626,8.129452605,12.710913655,"AUS",1.56356329084199,100.479958574333
"Australia",1985,15791000.0023402,20.29898602,7.498550572,12.800435448,"AUS",1.70705461666152,107.854840130038
"Australia",1986,16047000.0014492,19.81718388,7.076879952,12.740303928,"AUS",1.80027128904263,112.638789000944
"Australia",1987,16314799.8096704,19.21932834,6.559616952,12.659711388,"AUS",1.92994672402367,119.558853273751
"Australia",1988,16585900.3952561,18.99922423,7.158275642,11.840948588,"AUS",1.65416216022753,106.668162197471
"Australia",1989,16849300.7762056,18.60676848,8.044802458,10.561966022,"AUS",1.31289313566119,94.7204088310434
"Australia",1990,17096900.385815,18.28320029,8.041743234,10.241457056,"AUS",1.27353694781002,94.507850304148
"Australia",1991,17325800.7809299,17.86320442,7.526768745,10.336435675,"AUS",1.37328993781887,98.5795996115837
"Australia",1992,17538400.3899286,18.28381565,7.379363153,10.904452497,"AUS",1.47769558896356,100.631161249117
"Australia",1993,17738400.3877586,18.09609086,7.480382464,10.615708396,"AUS",1.41913977794585,97.6398666331568
"Australia",1994,17932199.2245735,17.31852718,6.564927454,10.753599726,"AUS",1.63803784276369,110.590133437117
"Australia",1995,18124800.7789908,17.92861566,8.032834395,9.895781265,"AUS",1.23191650259839,88.5215604382433
