"country","year","population","BiocapPerCap","footprint","deficit","id","ratio","overshoot_day"
"Austria",1961,7105649.9031553,3.263462425,3.60533932,-0.341876895,"AUT",-0.104758941563792,316.42866212481
"Austria",1962,7151080.07740407,3.219132408,3.694639648,-0.47550724,"AUT",-0.147712839808289,304.800291286869
"Austria",1963,7199959.96257508,3.232114393,3.803571291,-0.571456898,"AUT",-0.176805905065755,290.407180127003
"Austria",1964,7249850.09719393,3.212479866,3.969361986,-0.75688212,"AUT",-0.235606808642819,274.219940481619
"Austria",1965,7298790.03776972,3.102289475,3.87482591,-0.772536435,"AUT",-0.249021384039248,276.047330326506
"Austria",1966,7345870.11561711,3.243246228,4.040651542,-0.797405314,"AUT",-0.245866398494203,262.320407711479
"Austria",1967,7390850.09884312,3.303307834,4.003845197,-0.700537363,"AUT",-0.212071476850524,260.597618254572
"Austria",1968,7433330.07823617,3.279499906,4.073396073,-0.793896167,"AUT",-0.242078430183582,251.524640638312
"Austria",1969,7473060.05936619,3.28978749,4.260910466,-0.971122976,"AUT",-0.295193234502816,235.916607205197
"Austria",1970,7509750.00157372,3.210772153,4.637432072,-1.426659919,"AUT",-0.444335469273334,213.570674151757
"Austria",1971,7543450.19548291,3.235141948,4.874871451,-1.639729503,"AUT",-0.506849336240099,200.805577525479
"Austria",1972,7573660.15564601,3.180628485,5.002849122,-1.822220637,"AUT",-0.572912119642115,190.973765822759
"Austria",1973,7598919.92242909,3.261327882,5.387548225,-2.126220343,"AUT",-0.651949266750818,175.871424280715
"Austria",1974,7617430.17636659,3.295151895,5.101927171,-1.806775276,"AUT",-0.548313205227352,181.117424944833
"Austria",1975,7628140.13560159,3.252038426,4.686852852,-1.434814426,"AUT",-0.441204647756884,193.991057018239
"Austria",1976,7630540.03869248,3.312528044,5.178819516,-1.866291472,"AUT",-0.563403973480025,173.696906156895
"Austria",1977,7625720.21501166,3.297241077,5.12617231,-1.828931233,"AUT",-0.55468531891517,172.575808486773
"Austria",1978,7616310.05941362,3.338740296,5.113765357,-1.775025061,"AUT",-0.531645153712614,172.456464197595
"Austria",1979,7605890.13768214,3.253342034,5.270641957,-2.017299923,"AUT",-0.62007005454634,164.107435277334
"Austria",1980,7597270.01940361,3.400793035,5.502412442,-2.101619407,"AUT",-0.617979204103462,154.439671125887
"Austria",1981,7591620.11801909,3.309569365,4.979044585,-1.66947522,"AUT",-0.504438808605483,169.354006810865
"Austria",1982,7588959.96144434,3.447491904,5.021402862,-1.573910958,"AUT",-0.456537983454,166.696817744898
"Austria",1983,7589569.82348988,3.400211209,4.778681545,-1.378470336,"AUT",-0.405407254098195,170.966903769377
"Austria",1984,7593399.90294119,3.433690919,4.949153885,-1.515462966,"AUT",-0.441351017114843,165.047819684896
"Austria",1985,7600509.76593066,3.458626845,5.104101007,-1.645474162,"AUT",-0.475759379696481,158.451993048335
"Austria",1986,7610439.94123703,3.351339015,4.89758772,-1.546248705,"AUT",-0.461382352179935,162.759963053852
"Austria",1987,7623700.19557258,3.375366351,4.926557692,-1.551191341,"AUT",-0.459562367207933,159.190317903919
"Austria",1988,7642479.98030091,3.462923067,4.970945469,-1.508022402,"AUT",-0.435476734399416,153.604601530031
"Austria",1989,7669600.0972783,3.380869677,5.086717218,-1.705847541,"AUT",-0.504558791511893,149.803291947309
"Austria",1990,7706569.82371116,3.414804669,5.387836943,-1.973032274,"AUT",-0.577787727460265,141.059923794278
"Austria",1991,7755140.13595709,3.393829772,5.707487797,-2.313658025,"AUT",-0.681724832061922,130.002177983631
"Austria",1992,7813390.13668067,3.292792701,5.041871417,-1.749078716,"AUT",-0.531183970372626,147.28536870159
"Austria",1993,7874669.92146941,3.245240516,5.022633923,-1.777393407,"AUT",-0.547692341768246,145.418432680311
"Austria",1994,7929910.15649104,3.312009453,5.24351292,-1.931503467,"AUT",-0.583181744846773,138.459887879746
"Austria",1995,7972830.07844369,3.257536609,5.384805094,-2.127268485,"AUT",-0.653029802787082,132.052882625223
"Austria",1996,8000450.19563182,3.188616234,5.934006932,-2.745390698,"AUT",-0.860997521172374,120.013332997641
"Austria",1997,8015259.76660307,3.267531129,5.665126358,-2.397595229,"AUT",-0.733763558665775,124.578194160858
"Austria",1998,8023169.92107062,3.270696866,5.523664738,-2.252967872,"AUT",-0.688834190250104,126.881495329541
"Austria",1999,8032950.19569324,3.282004893,5.555531861,-2.273526968,"AUT",-0.692725052582112,124.827634540268
"Austria",2000,8050879.88351034,3.168335113,5.574971962,-2.406636849,"AUT",-0.7595903862581,122.72298046609
"Austria",2001,8078879.88177986,3.24569212,5.777327396,-2.531635276,"AUT",-0.779998590870658,117.601083603986
"Austria",2002,8114700.1950582,3.198324717,5.577394822,-2.379070105,"AUT",-0.7438488234553,120.260020837148
"Austria",2003,8155470.21450808,3.101941137,5.892017882,-2.790076745,"AUT",-0.89946154168483,112.178161522557
"Austria",2004,8196620.11780814,3.221834265,6.075331575,-2.85349731,"AUT",-0.885674771222792,109.718829978762
"Austria",2005,8234860.35118819,3.128629587,6.156401754,-3.027772167,"AUT",-0.967763080576119,106.317162037734
"Austria",2006,8269370.11674291,3.083219307,6.440385745,-3.357166438,"AUT",-1.08885098737916,100.593739985945
