"year","country","overshoot_day","country_3_code"
1961,"Albania",593.687737998329,"ALB"
1962,"Albania",623.827551970452,"ALB"
1963,"Albania",648.950241519867,"ALB"
1964,"Albania",616.967902934197,"ALB"
1965,"Albania",603.729285189203,"ALB"
1966,"Albania",585.120292507811,"ALB"
1967,"Albania",597.654969002646,"ALB"
1968,"Albania",546.256690591873,"ALB"
1969,"Albania",504.132452745112,"ALB"
1970,"Albania",477.654114334173,"ALB"
1971,"Albania",468.527936168953,"ALB"
1972,"Albania",442.686882593542,"ALB"
1973,"Albania",463.910813654487,"ALB"
1974,"Albania",464.038704594356,"ALB"
1975,"Albania",463.158322688342,"ALB"
1976,"Albania",428.794829908494,"ALB"
1977,"Albania",413.959651469158,"ALB"
1978,"Albania",404.677802411035,"ALB"
1979,"Albania",372.641982502641,"ALB"
1980,"Albania",381.589314343974,"ALB"
1981,"Albania",411.553021778219,"ALB"
1982,"Albania",404.888806589388,"ALB"
1983,"Albania",375.572926251762,"ALB"
1984,"Albania",372.23825872514,"ALB"
1985,"Albania",383.189718185333,"ALB"
1986,"Albania",382.870672007766,"ALB"
1987,"Albania",381.393504605502,"ALB"
1988,"Albania",380.049689066955,"ALB"
1989,"Albania",380.188019592137,"ALB"
1990,"Albania",415.020420609048,"ALB"
1991,"Albania",435.472206707512,"ALB"
1992,"Albania",445.862729737535,"ALB"
1993,"Albania",516.031658241275,"ALB"
1994,"Albania",584.92658114453,"ALB"
1995,"Albania",615.168962810595,"ALB"
1996,"Albania",547.346452580632,"ALB"
1997,"Albania",640.506725782163,"ALB"
1998,"Albania",570.630076352472,"ALB"
1999,"Albania",469.185067889517,"ALB"
2000,"Albania",448.391262856891,"ALB"
2001,"Albania",445.871984095394,"ALB"
2002,"Albania",386.853327169979,"ALB"
2003,"Albania",382.078545165353,"ALB"
2004,"Albania",354.52602079977,"ALB"
2005,"Albania",339.267631559886,"ALB"
2006,"Albania",314.797043980592,"ALB"
2007,"Albania",294.514715092573,"ALB"
2008,"Albania",293.725110908536,"ALB"
2009,"Albania",281.230258896813,"ALB"
2010,"Albania",287.961097767094,"ALB"
2011,"Albania",259.491708582031,"ALB"
2012,"Albania",274.727741384736,"ALB"
2013,"Albania",281.892582523826,"ALB"
2014,"Albania",286.671768810701,"ALB"
