"country","year","population","BiocapPerCap","footprint","deficit","id","ratio","overshoot_day"
"Belarus",1992,10234900.3909424,2.811475055,5.595561824,-2.784086769,"BLR",-1.99025838767447,132.711229834867
"Belarus",1993,10216299.8047281,2.896522856,5.004908633,-2.108385777,"BLR",-1.72790233045148,145.933444152207
"Belarus",1994,10190099.6079566,2.732371863,4.312715417,-1.580343554,"BLR",-1.57837791522271,168.343176141417
"Belarus",1995,10159700.1948472,2.673518355,4.221434048,-1.547915693,"BLR",-1.57898074056989,168.444901857994
"Belarus",1996,10126900.3898313,2.764383305,4.825352001,-2.060968696,"BLR",-1.74554375292312,147.587149310558
"Belarus",1997,10091200.195914,2.810564704,5.000006474,-2.18944177,"BLR",-1.77900423356203,141.150059825922
"Belarus",1998,10051299.8059146,2.658536076,3.913757887,-1.255221811,"BLR",-1.47214774681561,179.073630700305
"Belarus",1999,10005299.803238,2.522620312,3.703269559,-1.180649247,"BLR",-1.46802496805395,187.262603211497
"Belarus",2000,9952049.80455527,2.732006694,3.876508704,-1.14450201,"BLR",-1.41892357518349,176.493136686369
"Belarus",2001,9891540.03902373,2.820640566,3.704350586,-0.88371002,"BLR",-1.3133011839222,183.41135490118
"Belarus",2002,9825799.80508552,2.932692541,3.827830562,-0.895138021,"BLR",-1.30522737988756,175.22656693977
"Belarus",2003,9758820.31423812,2.931487497,3.957488198,-1.026000701,"BLR",-1.34999320310934,167.013949828075
"Belarus",2004,9695790.03867177,3.162462334,4.226030648,-1.063568314,"BLR",-1.33631017827808,157.731530596347
"Belarus",2005,9640620.11554904,3.082370772,4.161413214,-1.079042442,"BLR",-1.35006899251124,157.285791216311
"Belarus",2006,9594230.46888167,3.027635235,4.427764315,-1.40012908,"BLR",-1.46244972185768,146.318195960657
"Belarus",2007,9556059.57028363,3.216868202,4.528829738,-1.311961536,"BLR",-1.40783812653562,141.859103284453
"Belarus",2008,9526450.19481221,3.462070206,4.828049922,-1.365979716,"BLR",-1.39455574472593,133.583678761274
"Belarus",2009,9505320.31382448,3.399892998,4.465641367,-1.065748369,"BLR",-1.31346527670136,141.970951717037
"Belarus",2010,9492120.11599077,3.217542827,4.57423992,-1.356697093,"BLR",-1.42165625810799,137.465860400107
"Belarus",2011,9487669.9227375,3.249991291,4.3032131,-1.053221809,"BLR",-1.324069117736,144.847452817291
"Belarus",2012,9490959.96247925,3.424455939,4.808532531,-1.384076592,"BLR",-1.40417414744136,127.463866603792
"Belarus",2013,9497290.03938114,3.163988449,4.685112917,-1.521124468,"BLR",-1.48076169494234,131.717947694494
"Belarus",2014,9500419.92187032,3.434653059,4.692725336,-1.258072277,"BLR",-1.36628801163399,130.829273343573
