"country","year","population","BiocapPerCap","footprint","deficit","id","ratio","overshoot_day"
"Brazil",1961,74706898.4127826,22.77779427,2.405120036,20.372674234,"BRA",9.47054378575705,474.335039916927
"Brazil",1962,77007499.9841498,22.12975741,2.446975038,19.682782372,"BRA",9.04372027094678,460.211986750989
"Brazil",1963,79368499.9921498,21.42874394,2.366565988,19.062177952,"BRA",9.05478399503754,466.74566255283
"Brazil",1964,81751796.8765827,20.76840579,2.319935487,18.448470303,"BRA",8.95214793256106,469.184686983754
"Brazil",1965,84130101.5729482,20.28952778,2.353118268,17.936409512,"BRA",8.6224002337664,454.56080349849
"Brazil",1966,86495000.0083444,19.71781868,2.344688813,17.373129867,"BRA",8.40956747863512,452.062273210841
"Brazil",1967,88853703.1180284,19.22439673,2.387171738,16.837224992,"BRA",8.05321072212778,437.083148639874
"Brazil",1968,91213000.0008009,18.67086761,2.399871606,16.270996004,"BRA",7.77994439785862,426.922627956429
"Brazil",1969,93585703.0948458,18.20302185,2.385952962,15.817068888,"BRA",7.62924577726384,421.307355494848
"Brazil",1970,95982500.0031986,17.7034943,2.434664445,15.268829855,"BRA",7.27143104404862,406.799187571807
"Brazil",1971,98402203.1082735,17.2895904,2.513758614,14.775831786,"BRA",6.8779835899915,389.417419365567
"Brazil",1972,100843999.989479,16.84763371,2.514581074,14.333052636,"BRA",6.69997627437827,379.949142411832
"Brazil",1973,103321000.018134,16.41101613,2.568146749,13.842869381,"BRA",6.39021755649707,368.949240833867
"Brazil",1974,105846000.009325,16.04814093,2.75163679,13.29650414,"BRA",5.83221627578174,335.817545658642
"Brazil",1975,108431000.0038,15.61129219,2.701330185,12.909962005,"BRA",5.77911289408455,336.57771573427
"Brazil",1976,111076000.020261,15.22576151,2.816098144,12.409663366,"BRA",5.40668718536474,319.429541426487
"Brazil",1977,113775999.975727,14.85605194,2.898350927,11.957701013,"BRA",5.12569128189413,305.226440702884
"Brazil",1978,116532000.019375,14.41491064,2.947122825,11.467787815,"BRA",4.89118086290805,299.241653459435
"Brazil",1979,119340999.994921,14.05844086,3.034558793,11.023882067,"BRA",4.6327791901742,285.033706015187
"Brazil",1980,122199999.998308,14.46660253,3.072472266,11.394130264,"BRA",4.70845661651693,276.582074134566
"Brazil",1981,125107000.022439,14.15587646,2.899498691,11.256377769,"BRA",4.88218065419377,290.816185949661
"Brazil",1982,128054999.993489,13.85998314,2.861299466,10.998683674,"BRA",4.8439470038002,292.542561184175
"Brazil",1983,131013999.973306,13.55098108,2.71067374,10.84030734,"BRA",4.99911925216229,301.399751713015
"Brazil",1984,133951000.028055,13.31494998,2.744252061,10.570697919,"BRA",4.85194125568857,297.657442069553
"Brazil",1985,136836000.035981,13.11629464,2.78257933,10.33371531,"BRA",4.71371818226348,290.649389999415
"Brazil",1986,139665000.036029,12.97004672,2.990937456,9.979109264,"BRA",4.33644859513113,266.515496597639
"Brazil",1987,142437000.006378,12.81774006,2.919961248,9.897778812,"BRA",4.38969533567775,268.585858755589
"Brazil",1988,145149999.994798,12.58998953,2.816048131,9.773941399,"BRA",4.47080059818581,271.145973236395
"Brazil",1989,147802000.01243,12.41530874,2.939420831,9.475887909,"BRA",4.22372623205225,259.237119695486
"Brazil",1990,150392999.969185,12.07685655,2.880231778,9.196624772,"BRA",4.19301548923944,263.870381033221
"Brazil",1991,152917000.015357,11.83674994,2.916081901,8.920668039,"BRA",4.05912808553148,254.446161068041
"Brazil",1992,155378999.966475,11.80333015,2.886029345,8.917300805,"BRA",4.08981646513429,257.306427240708
"Brazil",1993,157812000.026725,11.6262739,2.900470657,8.725803243,"BRA",4.00840935921194,251.815524171646
"Brazil",1994,160260999.972735,11.46988808,2.981740618,8.488147462,"BRA",3.84670889211489,243.48738056892
"Brazil",1995,162754999.985363,11.26079416,3.104819639,8.155974521,"BRA",3.62687550671221,229.024267893052
"Brazil",1996,165302999.99072,11.00787445,3.068805259,7.939069191,"BRA",3.58702275768358,232.064232325198
"Brazil",1997,167894000.014613,10.84870856,3.040216721,7.808491839,"BRA",3.56839976571407,232.138457960908
"Brazil",1998,170515999.991202,10.65687607,2.999728462,7.657147608,"BRA",3.55261353485824,233.638089858799
"Brazil",1999,173153000.010646,10.50667083,3.008306758,7.498364072,"BRA",3.49255296368043,230.522999080413
"Brazil",2000,175786000.014853,10.3385593,3.0835647,7.2549946,"BRA",3.35279467299648,221.878652280265
"Brazil",2001,178418999.986695,10.20743672,2.933650728,7.273785992,"BRA",3.47943152195999,231.595384745362
"Brazil",2002,181045999.988159,10.07311521,2.932331907,7.140783303,"BRA",3.43518931468842,228.738641374464
"Brazil",2003,183627000.01634,9.973933262,2.97731005,6.996623212,"BRA",3.34998144633915,221.997620563529
"Brazil",2004,186116000.010947,9.820599067,2.825200492,6.995398575,"BRA",3.47607154607257,235.940165975831
"Brazil",2005,188479000.010044,9.57583963,2.677846257,6.897993373,"BRA",3.57594819015565,244.424471912372
"Brazil",2006,190698000.005076,9.485728849,2.670151227,6.815577622,"BRA",3.5525062588216,242.631385262003
"Brazil",2007,192784999.998038,9.406200007,2.760210519,6.645989488,"BRA",3.40778357665113,232.756059789643
"Brazil",2008,194769999.985103,9.385099027,2.907246703,6.477852324,"BRA",3.22817428256088,221.841740119612
"Brazil",2009,196700999.993196,9.215433247,2.766891325,6.448541922,"BRA",3.33060906657229,229.134899367026
