"country","year","population","BiocapPerCap","footprint","deficit","id","ratio","overshoot_day"
"Botswana",1966,612950.01220582,12.18098513,1.519979772,10.661005358,"BWA",7.01391250725832,697.341733686198
"Botswana",1967,631276.000969593,11.87972791,2.027296273,9.852431637,"BWA",4.85988733368674,514.671941629845
"Botswana",1968,650729.980248968,11.42941939,2.67743477,8.75198462,"BWA",3.26879466495319,382.664590088244
"Botswana",1969,671304.992845454,11.06238844,3.129836592,7.932551848,"BWA",2.53449392214277,321.173172032367
"Botswana",1970,693020.996256599,10.66679511,2.803827612,7.862967498,"BWA",2.80436910957008,353.238373118946
"Botswana",1971,715810.974014773,10.46528873,2.79664978,7.66863895,"BWA",2.74208051719597,350.02644482695
"Botswana",1972,739754.028335869,10.11600669,2.980063019,7.135943671,"BWA",2.39456135323314,320.601588781848
"Botswana",1973,765177.002159143,9.674652242,1.955838458,7.718813784,"BWA",3.94654964609808,484.455017791602
"Botswana",1974,792513.00032242,9.469252617,1.902842422,7.566410195,"BWA",3.97637251513841,485.614529463922
"Botswana",1975,822028.991508865,9.079527763,1.957926035,7.121601728,"BWA",3.63731916323702,464.37278434425
"Botswana",1976,853859.985369364,8.795708016,2.450885857,6.344822159,"BWA",2.58878722995632,367.028479251115
"Botswana",1977,887793.029658522,8.46025533,2.751428615,5.708826715,"BWA",2.07485912227561,321.525090316718
"Botswana",1978,923304.992693764,8.107836936,2.952844676,5.15499226,"BWA",1.74577154023711,298.661795393439
"Botswana",1979,959666.015585701,7.786118139,1.999015078,5.787103061,"BWA",2.89497715149826,432.68884806573
"Botswana",1980,996330.993604433,7.522512904,2.839974608,4.682538296,"BWA",1.64879583782193,299.224775269117
"Botswana",1981,1033069.94666534,7.272044555,2.060224248,5.211820307,"BWA",2.52973455510327,409.286112210506
"Botswana",1982,1069959.96136718,6.960417127,1.44016406,5.520253067,"BWA",3.83307223808731,581.219795747582
"Botswana",1983,1107099.97550135,6.696160664,1.411159165,5.285001499,"BWA",3.74514899523739,578.954082682521
"Botswana",1984,1144719.97061611,6.432186647,2.048692898,4.383493749,"BWA",2.1396538983466,398.716206064852
"Botswana",1985,1182939.94159322,6.215658008,1.787940819,4.427717189,"BWA",2.47643390094348,452.338788940887
"Botswana",1986,1221670.04326182,5.981347189,1.580869119,4.40047807,"BWA",2.78358156915079,504.236051615532
"Botswana",1987,1260719.97046587,5.793989289,1.940187808,3.853801481,"BWA",1.98630333104867,404.218749563831
"Botswana",1988,1300099.97559753,5.677787437,2.276441508,3.401345929,"BWA",1.49415038339443,335.41828452653
"Botswana",1989,1339810.05886079,5.490638086,2.205538525,3.285099561,"BWA",1.48947732719243,345.497021142456
"Botswana",1990,1379810.05857725,5.329921497,2.509461565,2.820459932,"BWA",1.12393028847303,302.856940520628
"Botswana",1991,1420099.97595018,5.110665985,2.041707627,3.068958358,"BWA",1.50313315187738,363.414352189804
"Botswana",1992,1460449.95086043,4.992858372,2.088170604,2.904687768,"BWA",1.39102033617368,355.619357965772
"Botswana",1993,1500359.98516671,4.865992844,1.841357815,3.024635029,"BWA",1.64261125132769,396.654875910049
"Botswana",1994,1539140.01431178,4.736231009,2.332313046,2.403917963,"BWA",1.03070128666264,311.285924414948
"Botswana",1995,1576290.03896229,4.608968719,2.432248476,2.176720243,"BWA",0.894941540718393,292.354599388179
"Botswana",1996,1611829.95571318,4.520366069,2.280481369,2.2398847,"BWA",0.982198175350169,312.284917605555
"Botswana",1997,1645849.97575651,4.387164441,2.138393026,2.248771415,"BWA",1.05161747162472,330.038125173904
"Botswana",1998,1678109.98529819,4.28560426,2.365154364,1.920449896,"BWA",0.811976528889615,296.323502953972
"Botswana",1999,1708369.9954319,4.207814738,2.817696496,1.390118242,"BWA",0.493352722693874,246.117318061047
"Botswana",2000,1736579.9559656,4.129760039,3.264868963,0.864891076,"BWA",0.264908343948869,209.55731450634
"Botswana",2001,1762530.02906252,4.079364372,2.893211366,1.186153006,"BWA",0.409977981560559,234.832464221246
"Botswana",2002,1786670.04405635,4.019246779,3.364645794,0.654600985000001,"BWA",0.194552716366162,199.348655024847
"Botswana",2003,1810439.94112698,3.954049751,3.126054046,0.827995705,"BWA",0.26486930488085,211.434522781756
"Botswana",2004,1835749.999954,3.873269106,3.048864127,0.824404979,"BWA",0.270397427684625,218.631678232231
"Botswana",2005,1863999.99975654,3.794450013,3.351724369,0.442725644,"BWA",0.132088906235847,195.281917492978
"Botswana",2006,1895670.04385708,3.724415871,3.339104883,0.385310988,"BWA",0.115393490632774,194.022800695779
"Botswana",2007,1930430.05328034,3.641190551,2.626035172,1.015155379,"BWA",0.386573397797562,244.648556184624
"Botswana",2008,1967869.99522431,3.576538207,3.130002616,0.446535591,"BWA",0.142663015679284,206.053716020875
"Botswana",2009,2007209.96088337,3.513066413,2.899915733,0.61315068,"BWA",0.211437425577578,218.624065377142
"Botswana",2010,2047829.9558951,3.441659078,2.771166741,0.670492337,"BWA",0.241953102279989,226.908696445436
"Botswana",2011,2089709.96083021,3.365068919,3.475393826,-0.110324907,"BWA",-0.0327853255379982,179.349303225724
"Botswana",2012,2132820.06849883,3.258147294,3.126443554,0.13170374,"BWA",0.0421257207390532,196.04196446723
"Botswana",2013,2176510.00981916,3.185091956,2.808510727,0.376581229,"BWA",0.134085748720843,219.729786290293
"Botswana",2014,2219939.94121651,3.134058281,2.536836265,0.597222016,"BWA",0.235419991427906,242.012399854102
