"year","country","overshoot_day","country_3_code"
1971,"Bahamas",132.073184692528,"BHS"
1972,"Bahamas",107.67718828893,"BHS"
1973,"Bahamas",74.1142362071797,"BHS"
1974,"Bahamas",69.8300143943639,"BHS"
1975,"Bahamas",62.7164107984185,"BHS"
1976,"Bahamas",54.9862866971451,"BHS"
1977,"Bahamas",36.9928673277687,"BHS"
1978,"Bahamas",44.7614656463748,"BHS"
1979,"Bahamas",39.5399965900675,"BHS"
1980,"Bahamas",34.3864619873515,"BHS"
1981,"Bahamas",85.4972539810937,"BHS"
1982,"Bahamas",78.5945413791341,"BHS"
1983,"Bahamas",135.655074611859,"BHS"
1984,"Bahamas",140.54032431024,"BHS"
1985,"Bahamas",199.069454171445,"BHS"
1986,"Bahamas",112.88253800897,"BHS"
1987,"Bahamas",114.176695566322,"BHS"
1988,"Bahamas",133.472237997688,"BHS"
1989,"Bahamas",116.61827165308,"BHS"
1990,"Bahamas",125.117233636262,"BHS"
1991,"Bahamas",127.923216159952,"BHS"
1992,"Bahamas",134.622255954306,"BHS"
1993,"Bahamas",140.776602867881,"BHS"
1994,"Bahamas",139.687124936423,"BHS"
1995,"Bahamas",148.812635617734,"BHS"
1996,"Bahamas",144.351172042314,"BHS"
1997,"Bahamas",152.203316128659,"BHS"
1998,"Bahamas",149.152359263606,"BHS"
1999,"Bahamas",128.72434531057,"BHS"
2000,"Bahamas",104.619337318124,"BHS"
2001,"Bahamas",134.402064380808,"BHS"
2002,"Bahamas",148.43920384497,"BHS"
2003,"Bahamas",166.888248708374,"BHS"
2004,"Bahamas",155.674514124079,"BHS"
2005,"Bahamas",139.809052321364,"BHS"
2006,"Bahamas",126.948720731242,"BHS"
2007,"Bahamas",131.977171094901,"BHS"
2008,"Bahamas",152.409790677104,"BHS"
2009,"Bahamas",128.717463737222,"BHS"
2010,"Bahamas",127.086917531716,"BHS"
2011,"Bahamas",136.790757007309,"BHS"
2012,"Bahamas",107.235787786121,"BHS"
2013,"Bahamas",100.778252497078,"BHS"
2014,"Bahamas",127.283894863781,"BHS"
