"year","country","overshoot_day","country_3_code"
1980,"Bahrain",72.7118835130514,"BHR"
1981,"Bahrain",80.195868999401,"BHR"
1982,"Bahrain",71.3967766424181,"BHR"
1983,"Bahrain",81.306031684368,"BHR"
1984,"Bahrain",80.2132315693056,"BHR"
1985,"Bahrain",82.7622797389149,"BHR"
1986,"Bahrain",82.7005458843402,"BHR"
1987,"Bahrain",96.9306899508898,"BHR"
1988,"Bahrain",92.3644759627058,"BHR"
1989,"Bahrain",73.9023545561124,"BHR"
1990,"Bahrain",82.2788879585557,"BHR"
1991,"Bahrain",90.600989589488,"BHR"
1992,"Bahrain",75.3862663622028,"BHR"
1993,"Bahrain",77.8069862732225,"BHR"
1994,"Bahrain",73.068879709927,"BHR"
1995,"Bahrain",77.0962940515051,"BHR"
1996,"Bahrain",73.6292510266175,"BHR"
1997,"Bahrain",69.0839884412793,"BHR"
1998,"Bahrain",68.491720103344,"BHR"
1999,"Bahrain",71.1857134414348,"BHR"
2000,"Bahrain",69.0577017108242,"BHR"
2001,"Bahrain",68.8939270974909,"BHR"
2002,"Bahrain",65.6507689087896,"BHR"
2003,"Bahrain",61.9997577236978,"BHR"
2004,"Bahrain",66.9266661182991,"BHR"
2005,"Bahrain",56.4167121708323,"BHR"
2006,"Bahrain",61.0999497786273,"BHR"
2007,"Bahrain",58.1683437392931,"BHR"
2008,"Bahrain",54.7281907466393,"BHR"
2009,"Bahrain",59.9558922939837,"BHR"
2010,"Bahrain",58.8942247796129,"BHR"
2011,"Bahrain",64.9221733681932,"BHR"
2012,"Bahrain",79.563401561441,"BHR"
2013,"Bahrain",99.8304369734519,"BHR"
2014,"Bahrain",70.4788343009734,"BHR"
