"year","country","overshoot_day","country_3_code"
1979,"Bhutan",166.257593742618,"BTN"
1980,"Bhutan",165.993218941136,"BTN"
1981,"Bhutan",165.283580452486,"BTN"
1982,"Bhutan",163.064292509239,"BTN"
1983,"Bhutan",160.266160940068,"BTN"
1984,"Bhutan",162.181511773738,"BTN"
1985,"Bhutan",168.621663868425,"BTN"
1986,"Bhutan",171.67947517748,"BTN"
1987,"Bhutan",172.536172107428,"BTN"
1988,"Bhutan",179.336770916915,"BTN"
1989,"Bhutan",188.397913041084,"BTN"
1990,"Bhutan",184.994778297091,"BTN"
1991,"Bhutan",177.847445840321,"BTN"
1992,"Bhutan",168.226194426572,"BTN"
1993,"Bhutan",163.267636526916,"BTN"
1994,"Bhutan",158.092192971597,"BTN"
1995,"Bhutan",153.391172438266,"BTN"
1996,"Bhutan",152.352504478724,"BTN"
1997,"Bhutan",153.51496493584,"BTN"
1998,"Bhutan",157.255981321287,"BTN"
1999,"Bhutan",149.987745296421,"BTN"
2000,"Bhutan",152.529305414905,"BTN"
2001,"Bhutan",156.432407607107,"BTN"
2002,"Bhutan",156.270836329184,"BTN"
2003,"Bhutan",156.190221605138,"BTN"
2004,"Bhutan",164.170491684924,"BTN"
2005,"Bhutan",155.145951114829,"BTN"
2006,"Bhutan",151.319517542502,"BTN"
2007,"Bhutan",153.090123394792,"BTN"
2008,"Bhutan",147.547258514489,"BTN"
2009,"Bhutan",158.540982579562,"BTN"
2010,"Bhutan",147.910718627544,"BTN"
2011,"Bhutan",141.109920122592,"BTN"
2012,"Bhutan",130.759401939805,"BTN"
2013,"Bhutan",131.473513008499,"BTN"
2014,"Bhutan",132.455550455685,"BTN"
