"year","country","overshoot_day","country_3_code"
1966,"Botswana",697.342659194926,"BWA"
1967,"Botswana",514.671458390436,"BWA"
1968,"Botswana",382.664914899207,"BWA"
1969,"Botswana",321.173572607852,"BWA"
1970,"Botswana",353.238588905729,"BWA"
1971,"Botswana",350.026002243809,"BWA"
1972,"Botswana",320.602006942683,"BWA"
1973,"Botswana",484.454770076234,"BWA"
1974,"Botswana",485.614072623055,"BWA"
1975,"Botswana",464.372870008404,"BWA"
1976,"Botswana",367.028301740453,"BWA"
1977,"Botswana",321.524899588484,"BWA"
1978,"Botswana",298.661621149494,"BWA"
1979,"Botswana",432.688897665906,"BWA"
1980,"Botswana",299.224606818462,"BWA"
1981,"Botswana",409.285931019766,"BWA"
1982,"Botswana",581.219353476234,"BWA"
1983,"Botswana",578.954020959436,"BWA"
1984,"Botswana",398.716415317155,"BWA"
1985,"Botswana",452.338742348115,"BWA"
1986,"Botswana",504.236459790103,"BWA"
1987,"Botswana",404.219151039406,"BWA"
1988,"Botswana",335.418121024795,"BWA"
1989,"Botswana",345.497153598151,"BWA"
1990,"Botswana",302.857083105963,"BWA"
1991,"Botswana",363.414419441529,"BWA"
1992,"Botswana",355.61964978428,"BWA"
1993,"Botswana",396.655196204118,"BWA"
1994,"Botswana",311.28614460512,"BWA"
1995,"Botswana",292.35444649162,"BWA"
1996,"Botswana",312.284783244094,"BWA"
1997,"Botswana",330.038405149389,"BWA"
1998,"Botswana",296.323354058601,"BWA"
1999,"Botswana",246.117521549746,"BWA"
2000,"Botswana",209.557246090666,"BWA"
2001,"Botswana",234.832445259049,"BWA"
2002,"Botswana",199.348591562833,"BWA"
2003,"Botswana",211.434373234343,"BWA"
2004,"Botswana",218.631593394084,"BWA"
2005,"Botswana",195.282037295627,"BWA"
2006,"Botswana",194.022800678283,"BWA"
2007,"Botswana",244.648647676516,"BWA"
2008,"Botswana",206.053624652891,"BWA"
2009,"Botswana",218.624081390023,"BWA"
2010,"Botswana",226.908860183679,"BWA"
2011,"Botswana",179.349379967844,"BWA"
2012,"Botswana",196.041950664656,"BWA"
2013,"Botswana",219.729939324102,"BWA"
2014,"Botswana",242.012533062618,"BWA"
