"country","year","overshoot_day","country_3_code","number.of.earth.required"
"Central African Republic",1961,1015.33885228606,"CAF",0.7
"Central African Republic",1962,984.288625343215,"CAF",0.7
"Central African Republic",1963,959.981292372995,"CAF",0.7
"Central African Republic",1964,975.258513708446,"CAF",0.7
"Central African Republic",1965,910.807051378635,"CAF",0.7
"Central African Republic",1966,853.720289669419,"CAF",0.7
"Central African Republic",1967,799.084792598162,"CAF",0.7
"Central African Republic",1968,753.223828532227,"CAF",0.7
"Central African Republic",1969,722.652273421759,"CAF",0.7
"Central African Republic",1970,698.737905556552,"CAF",0.7
"Central African Republic",1971,685.111374617743,"CAF",0.7
"Central African Republic",1972,645.710021174591,"CAF",0.7
"Central African Republic",1973,620.676365060649,"CAF",0.7
"Central African Republic",1974,642.091103241066,"CAF",0.7
"Central African Republic",1975,627.210232217633,"CAF",0.7
"Central African Republic",1976,614.843613691315,"CAF",0.7
"Central African Republic",1977,608.890289240647,"CAF",0.7
"Central African Republic",1978,590.066165793473,"CAF",0.7
"Central African Republic",1979,524.066694115462,"CAF",0.7
"Central African Republic",1980,517.221697131899,"CAF",0.7
"Central African Republic",1981,508.915138081747,"CAF",0.7
"Central African Republic",1982,493.200232279954,"CAF",0.7
"Central African Republic",1983,467.783695525083,"CAF",0.7
"Central African Republic",1984,488.427248765613,"CAF",0.7
"Central African Republic",1985,492.382796169965,"CAF",0.7
"Central African Republic",1986,466.735510991482,"CAF",0.7
"Central African Republic",1987,481.006544892113,"CAF",0.7
"Central African Republic",1988,471.813484785168,"CAF",0.7
"Central African Republic",1989,463.388759999409,"CAF",0.7
"Central African Republic",1990,462.491111042807,"CAF",0.7
"Central African Republic",1991,451.607944629724,"CAF",0.7
"Central African Republic",1992,446.151123464935,"CAF",0.7
"Central African Republic",1993,453.393016131546,"CAF",0.7
"Central African Republic",1994,456.388019563886,"CAF",0.7
"Central African Republic",1995,452.941590023376,"CAF",0.7
"Central African Republic",1996,470.69850718992,"CAF",0.7
"Central African Republic",1997,460.604027227105,"CAF",0.7
"Central African Republic",1998,458.32225245659,"CAF",0.7
"Central African Republic",1999,478.372016383104,"CAF",0.7
"Central African Republic",2000,483.376028621168,"CAF",0.7
"Central African Republic",2001,489.178138361901,"CAF",0.7
"Central African Republic",2002,484.151999036947,"CAF",0.7
"Central African Republic",2003,489.944500717368,"CAF",0.7
"Central African Republic",2004,483.402675471147,"CAF",0.7
"Central African Republic",2005,504.700325626246,"CAF",0.7
"Central African Republic",2006,480.394900546475,"CAF",0.7
"Central African Republic",2007,485.634631101712,"CAF",0.7
"Central African Republic",2008,501.131506346248,"CAF",0.7
"Central African Republic",2009,491.265701263016,"CAF",0.7
"Central African Republic",2010,521.920912066743,"CAF",0.7
"Central African Republic",2011,509.716913361898,"CAF",0.7
"Central African Republic",2012,497.523763731434,"CAF",0.7
"Central African Republic",2013,516.147531486166,"CAF",0.7
"Central African Republic",2014,545.935354100969,"CAF",0.7
