country,year,population,BiocapPerCap,footprint,deficit,id,ratio,overshoot_day
"Congo, Democratic Republic of",1961,15637700.2023793,14.34175708,0.957343455,13.384413625,COD,-13.980785636644898,1191.6649470174498
"Congo, Democratic Republic of",1962,16041200.2016985,13.9683984,0.943786933,13.024611467,COD,-13.800372744724152,1193.2007387260833
"Congo, Democratic Republic of",1963,16461900.3922877,13.57508268,0.961395135,12.613687545,COD,-13.120190737183208,1148.9390944940328
"Congo, Democratic Republic of",1964,16903900.3874332,13.19457319,0.932928475,12.261644715,COD,-13.143177685727728,1166.7327253803478
"Congo, Democratic Republic of",1965,17369900.3980856,12.82830159,0.964170725,11.864130865,COD,-12.305010468970627,1109.3837897946908
"Congo, Democratic Republic of",1966,17861900.3938637,12.50117663,0.98859833,11.5125783,COD,-11.645354792375585,1072.1699085462722
"Congo, Democratic Republic of",1967,18378199.2164467,12.14230334,0.977183336,11.165120004,COD,-11.425819078846839,1067.7551724226153
"Congo, Democratic Republic of",1968,18913199.2222405,11.77997682,1.012309351,10.767667469,COD,-10.6367361502324,1012.1011325490015
"Congo, Democratic Republic of",1969,19458900.3972806,11.41669946,1.016357963,10.400341497,COD,-10.23295125892569,989.0408190470287
"Congo, Democratic Republic of",1970,20009900.389655,11.09598826,1.017316525,10.078671735,COD,-9.907114931608922,973.5608337523279
"Congo, Democratic Republic of",1971,20563099.6042241,10.78914676,1.019370633,9.769776127,COD,-9.584125548376475,960.2998035454426
"Congo, Democratic Republic of",1972,21120999.9927292,10.49440157,1.01226816,9.48213341,COD,-9.367214918623935,943.8337907582201
"Congo, Democratic Republic of",1973,21690599.6023334,10.22739492,1.004168774,9.223226146,COD,-9.18493622268322,943.58216996485055
"Congo, Democratic Republic of",1974,22282099.600671,9.917986573,0.989774517,8.928212056,COD,-9.020450519438864,933.5943861152211
"Congo, Democratic Republic of",1975,22902300.7811412,9.637741322,0.964296195,8.673445127,COD,-8.994586074250766,942.8716489394027
"Congo, Democratic Republic of",1976,23556800.7732499,9.37346128,0.973663039,8.399798241,COD,-8.62700739839833,923.8770752252063
"Congo, Democratic Republic of",1977,24242599.6202352,9.092866831,0.946256675,8.146610156,COD,-8.609302709542312,934.89782330207
"Congo, Democratic Republic of",1978,24948099.6105611,8.812235471,0.938317333,7.873918138,COD,-8.391530094435547,939.875988239799
"Congo, Democratic Republic of",1979,25656499.982491,8.570484776,0.953051998,7.617432778,COD,-7.992672796432248,907.5596513988743
"Congo, Democratic Republic of",1980,26357400.3869537,8.304125604,0.955741226,7.348384378,COD,-7.688675739932976,889.1431712423824
"Congo, Democratic Republic of",1981,27049099.6163739,8.083926049,0.967197231,7.116728818,COD,-7.358094698680956,871.8192661227722
"Congo, Democratic Republic of",1982,27741099.6219478,7.49541614,0.984825414,6.510590726,COD,-6.610908525965394,849.9495281549401
"Congo, Democratic Republic of",1983,28448099.6241441,7.312904252,1.006772815,6.306131437,COD,-6.26370849812825,811.5002512533115
"Congo, Democratic Republic of",1984,29190699.2059816,7.13929897,1.027179914,6.112119056,COD,-5.950388021314053,795.2327148146105
"Congo, Democratic Republic of",1985,29985699.2181753,6.948486431,1.056354134,5.892132297,COD,-5.57780019725847,765.6097289441105
"Congo, Democratic Republic of",1986,30829099.6115172,6.7544451,1.030572356,5.723872744,COD,-5.554071687131495,773.4839329143688
"Congo, Democratic Republic of",1987,31721499.9894176,6.573314675,1.017115789,5.556198886,COD,-5.462700457597556,771.0629275791409
"Congo, Democratic Republic of",1988,32688699.2179273,6.372529377,0.991240237,5.38128914,COD,-5.428844531459431,770.3078454193039
"Congo, Democratic Republic of",1989,33763101.5636767,6.18819402,0.995107269,5.193086751,COD,-5.218620055120912,765.753584327037
"Congo, Democratic Republic of",1990,34962699.2304027,5.989170045,1.014194356,4.974975689,COD,-4.905347441117095,749.3709909362543
"Congo, Democratic Republic of",1991,36309199.2127234,5.760591202,0.995720653,4.764870549,COD,-4.785348716674655,745.1746707836846
"Congo, Democratic Republic of",1992,37783800.7977287,5.607712011,1.010392174,4.597319837,COD,-4.5500350807349,734.9560775459273
"Congo, Democratic Republic of",1993,39314999.9863681,5.391337573,1.026633673,4.3647039,COD,-4.251471595750006,711.4353928426468
"Congo, Democratic Republic of",1994,40803999.9839359,5.197844755,1.016927284,4.180917471,COD,-4.111323923333735,713.9312792861397
"Congo, Democratic Republic of",1995,42183601.5494684,4.961579114,0.958675112,4.002904002,COD,-4.175454178265974,741.730995026365
"Congo, Democratic Republic of",1996,43425000.0111917,4.828686561,0.964997264,3.863689297,COD,-4.0038344575037055,737.9916462978705
"Congo, Democratic Republic of",1997,44558300.7980985,4.690753591,0.94749329,3.743260301,COD,-3.9506984804082355,744.8614323763557
"Congo, Democratic Republic of",1998,45647898.4163082,4.582543568,0.953137559,3.629406009,COD,-3.8078512117472862,735.3091902312951
"Congo, Democratic Republic of",1999,46788199.2322819,4.453723445,0.925061713,3.528661732,COD,-3.8145149479340734,749.6623259724189
"Congo, Democratic Republic of",2000,48048699.2442934,4.320756988,0.902354988,3.418402,COD,-3.788311745886864,758.212876146306
"Congo, Democratic Republic of",2001,49448999.9860775,4.182568644,0.887984787,3.294583857,COD,-3.710180517991238,765.1256672129973
"Congo, Democratic Republic of",2002,50971398.4541182,4.054026824,0.876395846,3.177630978,COD,-3.6257942030455497,765.3364094910086
"Congo, Democratic Republic of",2003,52602199.2385396,3.904720078,0.862866654,3.041853424,COD,-3.5252879571818525,765.9998186046582
"Congo, Democratic Republic of",2004,54314898.4036562,3.780813975,0.857693119,2.923120856,COD,-3.40811974731489,777.1757460623154
"Congo, Democratic Republic of",2005,56089499.9933537,3.643079295,0.842425962,2.800653333,COD,-3.3245097603010483,776.9598371132895
"Congo, Democratic Republic of",2006,57926800.7958912,3.527844219,0.844630495,2.683213724,COD,-3.176790016325423,767.0365734069513
"Congo, Democratic Republic of",2007,59834898.401272,3.40755919,0.829131099,2.578428091,COD,-3.1097954160805155,774.8542060115703
"Congo, Democratic Republic of",2008,61809300.8043046,3.293748783,0.813212229,2.480536554,COD,-3.050294210467413,793.087790474614
"Congo, Democratic Republic of",2009,63845101.5504187,3.176010176,0.812397389,2.363612787,COD,-2.9094293248645586,780.3956039064132
"Congo, Democratic Republic of",2010,65938703.157075,3.075546254,0.791274749,2.284271505,COD,-2.886824719083762,794.6694410044956
"Congo, Democratic Republic of",2011,68087398.4550924,2.976412783,0.785456424,2.190956359,COD,-2.78940535980644,793.5634065302669
"Congo, Democratic Republic of",2012,70291203.1298984,2.875766285,0.775505813,2.100260472,COD,-2.708245943218997,790.34114914421
"Congo, Democratic Republic of",2013,72552898.4479366,2.779984608,0.769749569,2.010235039,COD,-2.611544221598648,801.7067575026995
"Congo, Democratic Republic of",2014,74877000.0120772,2.682599099,0.756714993,1.925884106,COD,-2.545058739175794,811.3303436564624
