"country","year","population","BiocapPerCap","footprint","deficit","id","ratio","overshoot_day"
"Colombia",1961,16982300.7788895,10.63474175,2.166203177,8.468538573,"COL",3.90939250297479,526.650819833061
"Colombia",1962,17500199.2171813,10.39700942,2.151571452,8.245437968,"COL",3.83228627075605,523.397538162222
"Colombia",1963,18033500.0026614,10.06845296,2.152817023,7.915635937,"COL",3.6768735847032,513.087928813736
"Colombia",1964,18582000.0053477,9.797103932,2.142593781,7.654510151,"COL",3.5725437691456,508.018930788468
"Colombia",1965,19144199.2179946,9.547226454,2.088378496,7.458847958,"COL",3.57159774916281,512.184618437223
"Colombia",1966,19721500.0024102,9.310470632,2.14713255,7.163338082,"COL",3.33623478290231,493.656236352437
"Colombia",1967,20311400.3898204,9.025191242,2.103156969,6.922034273,"COL",3.29125892170675,496.107767028329
"Colombia",1968,20905099.6116961,8.784942134,2.174291409,6.610650725,"COL",3.04037017761281,471.21535330085
"Colombia",1969,21490900.3874279,8.513606179,2.146731396,6.366874783,"COL",2.96584602060602,468.255855746555
"Colombia",1970,22061199.2234764,8.323436669,2.157402962,6.166033707,"COL",2.85808153135969,459.079504353151
"Colombia",1971,22612000.0025361,8.068235742,2.201766468,5.866469274,"COL",2.66443750506695,444.598183740192
"Colombia",1972,23146800.778518,7.898641163,2.1988959,5.699745263,"COL",2.59209417780987,434.496663743836
"Colombia",1973,23674500.0035892,7.742367652,2.223921364,5.518446288,"COL",2.48140345697469,426.056323445154
"Colombia",1974,24207999.9960481,7.578480725,2.198445936,5.380034789,"COL",2.44719910096491,420.318697276108
"Colombia",1975,24757000.0000709,7.437141217,2.131119157,5.30602206,"COL",2.48978190426889,426.633830787128
"Colombia",1976,25323400.392352,7.286321305,2.191819728,5.094501577,"COL",2.3243251303928,410.410091986581
"Colombia",1977,25905099.609627,7.072911668,2.270803051,4.802108617,"COL",2.11471816733032,389.577294973307
