"country","year","overshoot_day","country_3_code","number.of.earth.required"
"Cuba",1961,758.607231668246,"CUB",1.1
"Cuba",1962,700.295744898834,"CUB",1.1
"Cuba",1963,682.468842357894,"CUB",1.1
"Cuba",1964,642.259073620169,"CUB",1.1
"Cuba",1965,616.558683270827,"CUB",1.1
"Cuba",1966,634.866724690753,"CUB",1.1
"Cuba",1967,599.119678146289,"CUB",1.1
"Cuba",1968,563.172563986637,"CUB",1.1
"Cuba",1969,531.675956082324,"CUB",1.1
"Cuba",1970,448.344612547146,"CUB",1.1
"Cuba",1971,437.089895821766,"CUB",1.1
"Cuba",1972,430.125934725839,"CUB",1.1
"Cuba",1973,410.629605645382,"CUB",1.1
"Cuba",1974,384.570520867518,"CUB",1.1
"Cuba",1975,384.878873984045,"CUB",1.1
"Cuba",1976,361.639998548134,"CUB",1.1
"Cuba",1977,354.863155926607,"CUB",1.1
"Cuba",1978,338.263383717337,"CUB",1.1
"Cuba",1979,336.803999927457,"CUB",1.1
"Cuba",1980,309.690291247559,"CUB",1.1
"Cuba",1981,326.175461752597,"CUB",1.1
"Cuba",1982,334.956585002027,"CUB",1.1
"Cuba",1983,313.702323578658,"CUB",1.1
"Cuba",1984,299.191281547574,"CUB",1.1
"Cuba",1985,314.881533568283,"CUB",1.1
"Cuba",1986,304.676561491226,"CUB",1.1
"Cuba",1987,295.387517106439,"CUB",1.1
"Cuba",1988,279.878353728839,"CUB",1.1
"Cuba",1989,271.061817583447,"CUB",1.1
"Cuba",1990,288.238749951805,"CUB",1.1
"Cuba",1991,327.139542784028,"CUB",1.1
"Cuba",1992,404.101259548136,"CUB",1.1
"Cuba",1993,431.658015553963,"CUB",1.1
"Cuba",1994,425.770710384063,"CUB",1.1
"Cuba",1995,417.124561640948,"CUB",1.1
"Cuba",1996,401.443881729795,"CUB",1.1
"Cuba",1997,387.383720167684,"CUB",1.1
"Cuba",1998,395.087114534233,"CUB",1.1
"Cuba",1999,405.23963437474,"CUB",1.1
"Cuba",2000,377.195454849412,"CUB",1.1
"Cuba",2001,371.124552399899,"CUB",1.1
"Cuba",2002,382.72142574286,"CUB",1.1
"Cuba",2003,363.108068322066,"CUB",1.1
"Cuba",2004,353.695543217556,"CUB",1.1
"Cuba",2005,340.970461549354,"CUB",1.1
"Cuba",2006,339.712893449443,"CUB",1.1
"Cuba",2007,327.238583992739,"CUB",1.1
"Cuba",2008,330.936654374664,"CUB",1.1
"Cuba",2009,320.671366481662,"CUB",1.1
"Cuba",2010,300.552951032113,"CUB",1.1
"Cuba",2011,305.990803518967,"CUB",1.1
"Cuba",2012,304.812041368657,"CUB",1.1
"Cuba",2013,314.575174894505,"CUB",1.1
"Cuba",2014,322.032487916008,"CUB",1.1
