"country","year","population","BiocapPerCap","footprint","deficit","id","ratio","overshoot_day"
"Cayman Islands",1996,33534.9998462732,0.554260509,5.619288581,-5.065028072,"CYM",-9.13835281174912,126.734894182157
"Cayman Islands",1997,35596.000680248,0.521576018,5.530706263,-5.009130245,"CYM",-9.60383546774255,127.605983453687
"Cayman Islands",1998,37742.0005750616,0.49243818,5.357575492,-4.865137312,"CYM",-9.87969153813378,130.814924929196
"Cayman Islands",1999,39810.0013773511,0.466367784,5.399959356,-4.933591572,"CYM",-10.5787574347439,128.423911055702
"Cayman Islands",2000,41685.0013796916,0.44558698,5.61183404,-5.16624706,"CYM",-11.5942503975318,121.916859952557
"Cayman Islands",2001,43317.0013371956,0.428857689,4.65352996,-4.224672271,"CYM",-9.85098882102359,146.000984752435
"Cayman Islands",2002,44742.0005842072,0.41553563,4.787209309,-4.371673679,"CYM",-10.5205747819988,140.110359257741
"Cayman Islands",2003,46032.0014943708,0.40214534,4.744439564,-4.342294224,"CYM",-10.797823145234,139.311655623143
"Cayman Islands",2004,47298.9997914637,0.390857362,4.310362033,-3.919504671,"CYM",-10.0279668265681,154.645543665474
"Cayman Islands",2005,48623.0011069975,0.379118144,4.700726909,-4.321608765,"CYM",-11.3991083623696,139.240415719535
"Cayman Islands",2006,50027.9998746783,0.368627283,4.410632241,-4.042004958,"CYM",-10.9650184327107,146.886535792987
"Cayman Islands",2007,51479.9995448377,0.357575162,5.327154814,-4.969579652,"CYM",-13.8980001854715,120.600159802002
"Cayman Islands",2008,52924.9992485604,0.347930527,5.083076605,-4.735146078,"CYM",-13.6094583881443,126.881555726506
"Cayman Islands",2009,54284.9998422366,0.338970232,5.441566128,-5.102595896,"CYM",-15.0532271521307,116.508988025524
"Cayman Islands",2010,55508.9988670009,0.331256529,7.208527195,-6.877270666,"CYM",-20.7611625648557,87.2302768768078
"Cayman Islands",2011,56580.0018303339,0.324043682,6.513806182,-6.1897625,"CYM",-19.1016301259139,95.6905129392704
"Cayman Islands",2012,57521.9993463124,0.317998275,5.409963133,-5.091964858,"CYM",-16.0125551311962,113.293590697504
"Cayman Islands",2013,58368.9994786399,0.313375663,5.565072703,-5.25169704,"CYM",-16.7584714141488,110.890457173183
"Cayman Islands",2014,59172.0008867091,0.308809547,5.478265601,-5.169456054,"CYM",-16.7399487807291,112.069382141676
