country,year,population,BiocapPerCap,footprint,deficit,id,ratio,overshoot_day
Cyprus,1961,576395.019436933,0.733045064,1.815635437,-1.082590373,CYP,0.5962597727155949,574.6707195272703
Cyprus,1962,577690.978729316,0.86755403,1.996418967,-1.128864937,CYP,0.5654449069357094,513.1986357400701
Cyprus,1963,577911.987113705,0.881073935,1.943933817,-1.062859882,CYP,0.5467572366431034,517.1058499904681
Cyprus,1964,578629.028402082,0.702468572,1.81222383,-1.109755258,CYP,0.612372069955619,546.5216180994596
Cyprus,1965,580971.008123194,1.066978393,2.152980382,-1.086001989,CYP,0.5044179677992068,454.6726923775565
Cyprus,1966,585310.974289477,0.816178272,2.198315112,-1.38213684,CYP,0.628725532775212,434.61145640798384
Cyprus,1967,591304.016122837,1.029779142,2.553198823,-1.523419681,CYP,0.5966709945487078,371.1092793790623
Cyprus,1968,598491.02782597,0.840262402,2.643059076,-1.802796674,CYP,0.6820871657278084,349.6130393416904
Cyprus,1969,606117.004637872,0.995138207,2.877611812,-1.882473605,CYP,0.6541791346386091,315.9590686862249
Cyprus,1970,613619.01848345,0.783352783,2.778672534,-1.995319751,CYP,0.7180838067764915,323.73189488437936
Cyprus,1971,620859.98548125,1.041971899,3.02419966,-1.982227761,CYP,0.6554553216899707,292.524776328756
Cyprus,1972,628000.000102141,0.945622427,3.250418931,-2.304796504,CYP,0.7090767537742968,271.31945707339344
Cyprus,1973,635109.008725047,0.460392838,3.518455379,-3.058062541,CYP,0.8691491610927148,245.83274412047044
Cyprus,1974,642335.02211341,0.86217598,2.668154997,-1.805979017,CYP,0.6768643572171006,318.49377656488525
Cyprus,1975,649755.004916662,0.635588123,2.383926208,-1.748338085,CYP,0.7333859911992712,353.711096539109
Cyprus,1976,657526.00103421,0.673450348,2.562744984,-1.889294636,CYP,0.7372152312444054,326.6231674516859
Cyprus,1977,665528.015070388,0.636927667,2.673610327,-2.03668266,CYP,0.7617724390993497,305.57795648243695
Cyprus,1978,673252.014191774,0.638861547,2.835324979,-2.196463432,CYP,0.7746778405538113,288.0964498002964
Cyprus,1979,680013.000589726,0.614231637,3.228112023,-2.613880386,CYP,0.8097241878151513,250.53497846657595
Cyprus,1980,685406.005744356,0.634199355,3.218405289,-2.584205934,CYP,0.8029460872539598,247.67893460449753
Cyprus,1981,689172.973721786,0.652661035,3.349312994,-2.696651959,CYP,0.8051358484055731,234.15556797466624
Cyprus,1982,691710.998522892,0.625458807,3.326427372,-2.700968565,CYP,0.8119728053392173,229.54359658720364
Cyprus,1983,694073.974670259,0.580404852,3.565434372,-2.98502952,CYP,0.8372134243844105,213.72065848390827
Cyprus,1984,697716.97988554,0.653368185,3.747397163,-3.094028978,CYP,0.8256474676740849,202.80953138192893
Cyprus,1985,703692.99332479,0.677151627,3.939695315,-3.262543688,CYP,0.8281208131954235,188.33584465020996
