country,year,overshoot_day
Cambodia,1961,399.29719476800102
Cambodia,1962,400.09530953883501
Cambodia,1963,402.277032427015
Cambodia,1964,410.19089259056398
Cambodia,1965,411.459416192346
Cambodia,1966,395.13838140124301
Cambodia,1967,398.59080152518197
Cambodia,1968,400.94614117907702
Cambodia,1969,382.646240789312
Cambodia,1970,398.17778583157701
Cambodia,1971,398.96087054579101
Cambodia,1972,392.86797488060699
Cambodia,1973,379.30031957942901
Cambodia,1974,374.31441543979503
Cambodia,1975,383.29666291789698
Cambodia,1976,398.03694145422901
Cambodia,1977,402.900043337993
Cambodia,1978,421.22306322788
Cambodia,1979,416.40607943561002
Cambodia,1980,430.18829397249601
Cambodia,1981,425.74798418839703
Cambodia,1982,414.05440907098301
Cambodia,1983,415.12055240334502
Cambodia,1984,413.96916785421797
Cambodia,1985,407.73478213365098
Cambodia,1986,398.29812211669503
Cambodia,1987,392.21060936358998
Cambodia,1988,391.51066669154602
Cambodia,1989,391.98008087486397
Cambodia,1990,376.98652233203899
Cambodia,1991,373.01762753077901
Cambodia,1992,381.93191837292102
Cambodia,1993,373.88453668475898
Cambodia,1994,366.52556929267098
Cambodia,1995,358.08955398334399
Cambodia,1996,353.75311117705598
Cambodia,1997,353.53229120115702
Cambodia,1998,346.46633755981202
Cambodia,1999,340.31781353229098
Cambodia,2000,353.54615278933102
Cambodia,2001,344.75507571056897
Cambodia,2002,344.37581737299001
Cambodia,2003,347.27174579012802
Cambodia,2004,348.367110687202
Cambodia,2005,351.87459540615203
Cambodia,2006,345.69993615357703
Cambodia,2007,333.48369039219301
Cambodia,2008,344.07520464168198
Cambodia,2009,342.89975992781501
Cambodia,2010,338.58379488365898
Cambodia,2011,328.69477782802102
Cambodia,2012,316.44068029532002
Cambodia,2013,320.95008822622299
Cambodia,2014,307.02373022084498
"Korea, Democratic People's Republic of",1961,373.84310415789997
"Korea, Democratic People's Republic of",1962,353.35317586388402
"Korea, Democratic People's Republic of",1963,336.76342104156902
"Korea, Democratic People's Republic of",1964,319.33686143800497
"Korea, Democratic People's Republic of",1965,273.69388931825699
"Korea, Democratic People's Republic of",1966,257.51988624111698
"Korea, Democratic People's Republic of",1967,238.41173494382599
"Korea, Democratic People's Republic of",1968,221.040430221939
"Korea, Democratic People's Republic of",1969,210.45299509737501
"Korea, Democratic People's Republic of",1970,186.98111760031199
"Korea, Democratic People's Republic of",1971,140.82153994674101
"Korea, Democratic People's Republic of",1972,135.33620701267
"Korea, Democratic People's Republic of",1973,132.34302047486901
