"year","country","overshoot_day","country_3_code"
1961,"Cameroon",877.514147751591,"CMR"
1962,"Cameroon",867.96971861625,"CMR"
1963,"Cameroon",842.590535870154,"CMR"
1964,"Cameroon",841.500177705077,"CMR"
1965,"Cameroon",848.032360944964,"CMR"
1966,"Cameroon",833.422450316344,"CMR"
1967,"Cameroon",797.619158082636,"CMR"
1968,"Cameroon",774.219210515351,"CMR"
1969,"Cameroon",756.844495467508,"CMR"
1970,"Cameroon",707.949115731274,"CMR"
1971,"Cameroon",702.177833499414,"CMR"
1972,"Cameroon",698.162005537886,"CMR"
1973,"Cameroon",722.951513377284,"CMR"
1974,"Cameroon",716.665151010355,"CMR"
1975,"Cameroon",695.122339105104,"CMR"
1976,"Cameroon",704.943110994502,"CMR"
1977,"Cameroon",657.762987136307,"CMR"
1978,"Cameroon",681.740367875377,"CMR"
1979,"Cameroon",659.537146817365,"CMR"
1980,"Cameroon",666.94953592356,"CMR"
1981,"Cameroon",665.708218725277,"CMR"
1982,"Cameroon",657.723676085407,"CMR"
1983,"Cameroon",672.684815890107,"CMR"
1984,"Cameroon",698.22356469566,"CMR"
1985,"Cameroon",663.829169092729,"CMR"
1986,"Cameroon",619.47525553252,"CMR"
1987,"Cameroon",679.929547871665,"CMR"
1988,"Cameroon",674.49514260403,"CMR"
1989,"Cameroon",699.536753100066,"CMR"
1990,"Cameroon",743.133080047398,"CMR"
1991,"Cameroon",739.153472102911,"CMR"
1992,"Cameroon",722.666745163912,"CMR"
1993,"Cameroon",741.066013167988,"CMR"
1994,"Cameroon",716.39538843662,"CMR"
1995,"Cameroon",695.446623381198,"CMR"
1996,"Cameroon",708.08679525357,"CMR"
1997,"Cameroon",715.957503126687,"CMR"
1998,"Cameroon",711.478045686287,"CMR"
1999,"Cameroon",740.366879012478,"CMR"
2000,"Cameroon",714.845097908227,"CMR"
2001,"Cameroon",699.853459175558,"CMR"
2002,"Cameroon",684.070412527245,"CMR"
2003,"Cameroon",662.699958367102,"CMR"
2004,"Cameroon",660.762840692934,"CMR"
2005,"Cameroon",635.178074463408,"CMR"
2006,"Cameroon",607.847175478236,"CMR"
2007,"Cameroon",560.656267123271,"CMR"
2008,"Cameroon",565.822664444053,"CMR"
2009,"Cameroon",542.634493671936,"CMR"
2010,"Cameroon",523.423340464312,"CMR"
2011,"Cameroon",514.427237308103,"CMR"
2012,"Cameroon",505.514135790749,"CMR"
2013,"Cameroon",488.752402386233,"CMR"
2014,"Cameroon",481.858916394386,"CMR"
