"year","country","overshoot_day","country_3_code"
1961,"Canada",153.362435097075,"CAN"
1962,"Canada",127.181177607659,"CAN"
1963,"Canada",118.176201977007,"CAN"
1964,"Canada",124.04490254725,"CAN"
1965,"Canada",114.909549508156,"CAN"
1966,"Canada",109.264321894035,"CAN"
1967,"Canada",109.323124517788,"CAN"
1968,"Canada",108.765518265312,"CAN"
1969,"Canada",100.633071483613,"CAN"
1970,"Canada",107.137749160003,"CAN"
1971,"Canada",104.199729505458,"CAN"
1972,"Canada",103.133287045551,"CAN"
1973,"Canada",93.4213630182438,"CAN"
1974,"Canada",94.8811024655445,"CAN"
1975,"Canada",93.0883219954734,"CAN"
1976,"Canada",87.3510657523211,"CAN"
1977,"Canada",88.7784419490416,"CAN"
1978,"Canada",87.3793897167759,"CAN"
1979,"Canada",84.9450935810416,"CAN"
1980,"Canada",87.6491365418996,"CAN"
1981,"Canada",90.371094288151,"CAN"
1982,"Canada",95.8631476785917,"CAN"
1983,"Canada",97.7106462790746,"CAN"
1984,"Canada",95.3755505929132,"CAN"
1985,"Canada",87.9839339061161,"CAN"
1986,"Canada",82.328304560914,"CAN"
1987,"Canada",84.4508441129636,"CAN"
1988,"Canada",84.9410338472902,"CAN"
1989,"Canada",76.1985595410946,"CAN"
1990,"Canada",83.9646675575836,"CAN"
1991,"Canada",89.7140989946024,"CAN"
1992,"Canada",90.3931907083717,"CAN"
1993,"Canada",86.7973708620701,"CAN"
1994,"Canada",89.3897480031026,"CAN"
1995,"Canada",85.8361009935997,"CAN"
1996,"Canada",81.9350581373445,"CAN"
1997,"Canada",83.1635822928919,"CAN"
1998,"Canada",83.7486208910724,"CAN"
1999,"Canada",78.2335106364414,"CAN"
2000,"Canada",75.858305316367,"CAN"
2001,"Canada",83.3660629466935,"CAN"
2002,"Canada",81.6841821997866,"CAN"
2003,"Canada",75.0016162395173,"CAN"
2004,"Canada",73.679741846787,"CAN"
2005,"Canada",70.825937469488,"CAN"
2006,"Canada",75.6332164337975,"CAN"
2007,"Canada",75.3103121139999,"CAN"
2008,"Canada",75.7374444602488,"CAN"
2009,"Canada",79.7473847875557,"CAN"
2010,"Canada",75.6974738871707,"CAN"
2011,"Canada",74.4417120722486,"CAN"
2012,"Canada",74.5529827412333,"CAN"
2013,"Canada",70.7643626466983,"CAN"
2014,"Canada",76.269565905663,"CAN"
