"year","country","overshoot_day","country_3_code"
1961,"Colombia",526.650263162889,"COL"
1962,"Colombia",523.396828305571,"COL"
1963,"Colombia",513.088691880865,"COL"
1964,"Colombia",508.019164767089,"COL"
1965,"Colombia",512.185389278874,"COL"
1966,"Colombia",493.656891530715,"COL"
1967,"Colombia",496.107301219326,"COL"
1968,"Colombia",471.215753274917,"COL"
1969,"Colombia",468.256439767366,"COL"
1970,"Colombia",459.079784796321,"COL"
1971,"Colombia",444.597621577923,"COL"
1972,"Colombia",434.497230458083,"COL"
1973,"Colombia",426.056105590668,"COL"
1974,"Colombia",420.31830186216,"COL"
1975,"Colombia",426.633909489471,"COL"
1976,"Colombia",410.409893494717,"COL"
1977,"Colombia",389.577063876601,"COL"
1978,"Colombia",382.85110410616,"COL"
1979,"Colombia",382.988378790618,"COL"
1980,"Colombia",374.563953100697,"COL"
1981,"Colombia",379.829299858993,"COL"
1982,"Colombia",381.868465682429,"COL"
1983,"Colombia",373.921152739567,"COL"
1984,"Colombia",383.487867818604,"COL"
1985,"Colombia",388.300336941771,"COL"
1986,"Colombia",385.332744992695,"COL"
1987,"Colombia",382.175510340504,"COL"
1988,"Colombia",364.894325624031,"COL"
1989,"Colombia",372.01126895403,"COL"
1990,"Colombia",370.63119924202,"COL"
1991,"Colombia",370.630051583665,"COL"
1992,"Colombia",356.60451851038,"COL"
1993,"Colombia",342.748503547427,"COL"
1994,"Colombia",336.134274393053,"COL"
1995,"Colombia",325.436638202078,"COL"
1996,"Colombia",332.367539661385,"COL"
1997,"Colombia",329.928505764825,"COL"
1998,"Colombia",334.72583099419,"COL"
1999,"Colombia",361.490415889772,"COL"
2000,"Colombia",346.41032813828,"COL"
2001,"Colombia",347.118752371673,"COL"
2002,"Colombia",344.424870442363,"COL"
2003,"Colombia",341.252018188832,"COL"
2004,"Colombia",352.080755086018,"COL"
2005,"Colombia",339.869717155559,"COL"
2006,"Colombia",332.495153653362,"COL"
2007,"Colombia",330.003024643146,"COL"
2008,"Colombia",336.117099490532,"COL"
2009,"Colombia",328.468857425282,"COL"
2010,"Colombia",308.221513056264,"COL"
2011,"Colombia",312.777058757307,"COL"
2012,"Colombia",320.698367540563,"COL"
2013,"Colombia",325.399318729076,"COL"
2014,"Colombia",320.870152236025,"COL"
