"year","country","overshoot_day","country_3_code"
1961,"Cote d'Ivoire",732.399283814604,"CIV"
1962,"Cote d'Ivoire",744.746271888061,"CIV"
1963,"Cote d'Ivoire",713.212626559639,"CIV"
1964,"Cote d'Ivoire",680.250302453976,"CIV"
1965,"Cote d'Ivoire",683.310272824132,"CIV"
1966,"Cote d'Ivoire",625.971599927698,"CIV"
1967,"Cote d'Ivoire",681.761422935658,"CIV"
1968,"Cote d'Ivoire",626.929352369757,"CIV"
1969,"Cote d'Ivoire",607.224641224658,"CIV"
1970,"Cote d'Ivoire",576.234869681542,"CIV"
1971,"Cote d'Ivoire",573.184372855616,"CIV"
1972,"Cote d'Ivoire",587.94639085143,"CIV"
1973,"Cote d'Ivoire",545.706197114506,"CIV"
1974,"Cote d'Ivoire",613.035582663857,"CIV"
1975,"Cote d'Ivoire",588.054697602665,"CIV"
1976,"Cote d'Ivoire",580.760963660832,"CIV"
1977,"Cote d'Ivoire",514.231315608322,"CIV"
1978,"Cote d'Ivoire",550.452513889209,"CIV"
1979,"Cote d'Ivoire",506.99177228648,"CIV"
1980,"Cote d'Ivoire",542.88747187511,"CIV"
1981,"Cote d'Ivoire",557.989421362589,"CIV"
1982,"Cote d'Ivoire",609.671202018596,"CIV"
1983,"Cote d'Ivoire",580.264670822172,"CIV"
1984,"Cote d'Ivoire",646.249049471577,"CIV"
1985,"Cote d'Ivoire",605.411423035649,"CIV"
1986,"Cote d'Ivoire",612.892823447452,"CIV"
1987,"Cote d'Ivoire",573.236825787811,"CIV"
1988,"Cote d'Ivoire",561.289471461685,"CIV"
1989,"Cote d'Ivoire",633.499599536582,"CIV"
1990,"Cote d'Ivoire",612.768868858175,"CIV"
1991,"Cote d'Ivoire",672.794454802553,"CIV"
1992,"Cote d'Ivoire",644.418946458186,"CIV"
1993,"Cote d'Ivoire",751.841778997756,"CIV"
1994,"Cote d'Ivoire",717.986686877693,"CIV"
1995,"Cote d'Ivoire",618.640798986319,"CIV"
1996,"Cote d'Ivoire",688.474598846743,"CIV"
1997,"Cote d'Ivoire",639.175719755852,"CIV"
1998,"Cote d'Ivoire",575.333817894398,"CIV"
1999,"Cote d'Ivoire",602.826174124256,"CIV"
2000,"Cote d'Ivoire",603.811782022067,"CIV"
2001,"Cote d'Ivoire",641.486440959583,"CIV"
2002,"Cote d'Ivoire",617.601671011337,"CIV"
2003,"Cote d'Ivoire",617.283970484834,"CIV"
2004,"Cote d'Ivoire",635.467618658636,"CIV"
2005,"Cote d'Ivoire",620.097728453745,"CIV"
2006,"Cote d'Ivoire",581.977665869941,"CIV"
2007,"Cote d'Ivoire",595.503819115091,"CIV"
2008,"Cote d'Ivoire",547.904844591106,"CIV"
2009,"Cote d'Ivoire",580.483802287289,"CIV"
2010,"Cote d'Ivoire",544.022374462158,"CIV"
2011,"Cote d'Ivoire",545.373217993982,"CIV"
2012,"Cote d'Ivoire",497.670851682908,"CIV"
2013,"Cote d'Ivoire",479.572158911368,"CIV"
2014,"Cote d'Ivoire",470.910214959597,"CIV"
