"year","country","overshoot_day","country_3_code"
1961,"Cuba",758.607231668246,"CUB"
1962,"Cuba",700.295744898834,"CUB"
1963,"Cuba",682.468842357894,"CUB"
1964,"Cuba",642.259073620169,"CUB"
1965,"Cuba",616.558683270827,"CUB"
1966,"Cuba",634.866724690753,"CUB"
1967,"Cuba",599.119678146289,"CUB"
1968,"Cuba",563.172563986637,"CUB"
1969,"Cuba",531.675956082324,"CUB"
1970,"Cuba",448.344612547146,"CUB"
1971,"Cuba",437.089895821766,"CUB"
1972,"Cuba",430.125934725839,"CUB"
1973,"Cuba",410.629605645382,"CUB"
1974,"Cuba",384.570520867518,"CUB"
1975,"Cuba",384.878873984045,"CUB"
1976,"Cuba",361.639998548134,"CUB"
1977,"Cuba",354.863155926607,"CUB"
1978,"Cuba",338.263383717337,"CUB"
1979,"Cuba",336.803999927457,"CUB"
1980,"Cuba",309.690291247559,"CUB"
1981,"Cuba",326.175461752597,"CUB"
1982,"Cuba",334.956585002027,"CUB"
1983,"Cuba",313.702323578658,"CUB"
1984,"Cuba",299.191281547574,"CUB"
1985,"Cuba",314.881533568283,"CUB"
1986,"Cuba",304.676561491226,"CUB"
1987,"Cuba",295.387517106439,"CUB"
1988,"Cuba",279.878353728839,"CUB"
1989,"Cuba",271.061817583447,"CUB"
1990,"Cuba",288.238749951805,"CUB"
1991,"Cuba",327.139542784028,"CUB"
1992,"Cuba",404.101259548136,"CUB"
1993,"Cuba",431.658015553963,"CUB"
1994,"Cuba",425.770710384063,"CUB"
1995,"Cuba",417.124561640948,"CUB"
1996,"Cuba",401.443881729795,"CUB"
1997,"Cuba",387.383720167684,"CUB"
1998,"Cuba",395.087114534233,"CUB"
1999,"Cuba",405.23963437474,"CUB"
2000,"Cuba",377.195454849412,"CUB"
2001,"Cuba",371.124552399899,"CUB"
2002,"Cuba",382.72142574286,"CUB"
2003,"Cuba",363.108068322066,"CUB"
2004,"Cuba",353.695543217556,"CUB"
2005,"Cuba",340.970461549354,"CUB"
2006,"Cuba",339.712893449443,"CUB"
2007,"Cuba",327.238583992739,"CUB"
2008,"Cuba",330.936654374664,"CUB"
2009,"Cuba",320.671366481662,"CUB"
2010,"Cuba",300.552951032113,"CUB"
2011,"Cuba",305.990803518967,"CUB"
2012,"Cuba",304.812041368657,"CUB"
2013,"Cuba",314.575174894505,"CUB"
2014,"Cuba",322.032487916008,"CUB"
