"year","country","overshoot_day","country_3_code"
1961,"Cyprus",628.337322209234,"CYP"
1962,"Cyprus",564.072821873895,"CYP"
1963,"Cyprus",568.222054881132,"CYP"
1964,"Cyprus",600.631507383991,"CYP"
1965,"Cyprus",496.816856755468,"CYP"
1966,"Cyprus",482.163251143829,"CYP"
1967,"Cyprus",408.660517665344,"CYP"
1968,"Cyprus",387.641865401411,"CYP"
1969,"Cyprus",349.324673502108,"CYP"
1970,"Cyprus",356.43642961124,"CYP"
1971,"Cyprus",323.688990898964,"CYP"
1972,"Cyprus",293.935707368559,"CYP"
1973,"Cyprus",269.298650431592,"CYP"
1974,"Cyprus",346.324350505809,"CYP"
1975,"Cyprus",381.390881934212,"CYP"
1976,"Cyprus",351.008192245667,"CYP"
1977,"Cyprus",330.883227200271,"CYP"
1978,"Cyprus",311.040669096027,"CYP"
1979,"Cyprus",267.943503830257,"CYP"
1980,"Cyprus",264.040791586882,"CYP"
1981,"Cyprus",251.75932491423,"CYP"
1982,"Cyprus",251.636710033618,"CYP"
1983,"Cyprus",229.143549255569,"CYP"
1984,"Cyprus",217.977290790981,"CYP"
1985,"Cyprus",205.283614919378,"CYP"
1986,"Cyprus",199.871140385819,"CYP"
1987,"Cyprus",175.214746547098,"CYP"
1988,"Cyprus",181.256817056165,"CYP"
1989,"Cyprus",199.140769070947,"CYP"
1990,"Cyprus",173.354390876079,"CYP"
1991,"Cyprus",153.135085719573,"CYP"
1992,"Cyprus",143.860406068635,"CYP"
1993,"Cyprus",142.893676899852,"CYP"
1994,"Cyprus",139.351755130901,"CYP"
1995,"Cyprus",140.466972361069,"CYP"
1996,"Cyprus",143.486267904526,"CYP"
1997,"Cyprus",143.150182562942,"CYP"
1998,"Cyprus",134.062188758868,"CYP"
1999,"Cyprus",137.326060386243,"CYP"
2000,"Cyprus",126.700393678306,"CYP"
2001,"Cyprus",126.192519698496,"CYP"
2002,"Cyprus",117.886033276702,"CYP"
2003,"Cyprus",119.882692774841,"CYP"
2004,"Cyprus",119.163519626718,"CYP"
2005,"Cyprus",116.230095452618,"CYP"
2006,"Cyprus",116.550989145339,"CYP"
2007,"Cyprus",112.705659901512,"CYP"
2008,"Cyprus",111.32215161602,"CYP"
2009,"Cyprus",118.71770816234,"CYP"
2010,"Cyprus",120.106375752805,"CYP"
2011,"Cyprus",131.37530966648,"CYP"
2012,"Cyprus",149.433621324809,"CYP"
2013,"Cyprus",185.972684931628,"CYP"
2014,"Cyprus",184.797629437014,"CYP"
