"year","country","overshoot_day","country_3_code"
1961,"Czechoslovakia",215.332164166367,"CSHH"
1962,"Czechoslovakia",207.539904901798,"CSHH"
1963,"Czechoslovakia",194.18368714593,"CSHH"
1964,"Czechoslovakia",188.001071119466,"CSHH"
1965,"Czechoslovakia",190.972251380811,"CSHH"
1966,"Czechoslovakia",186.554552013568,"CSHH"
1967,"Czechoslovakia",182.116274820073,"CSHH"
1968,"Czechoslovakia",170.82060734597,"CSHH"
1969,"Czechoslovakia",159.210260356893,"CSHH"
1970,"Czechoslovakia",140.89543275315,"CSHH"
1971,"Czechoslovakia",133.104010641187,"CSHH"
1972,"Czechoslovakia",130.106811097469,"CSHH"
1973,"Czechoslovakia",128.09812355619,"CSHH"
1974,"Czechoslovakia",125.494414319388,"CSHH"
1975,"Czechoslovakia",122.355644830049,"CSHH"
1976,"Czechoslovakia",117.040525705808,"CSHH"
1977,"Czechoslovakia",112.204563820062,"CSHH"
1978,"Czechoslovakia",112.714296470865,"CSHH"
1979,"Czechoslovakia",113.859145313428,"CSHH"
1980,"Czechoslovakia",111.159961584025,"CSHH"
1981,"Czechoslovakia",116.396901749639,"CSHH"
1982,"Czechoslovakia",116.143924107199,"CSHH"
1983,"Czechoslovakia",113.514902942359,"CSHH"
1984,"Czechoslovakia",109.502136109074,"CSHH"
1985,"Czechoslovakia",109.736266827065,"CSHH"
1986,"Czechoslovakia",109.493674053465,"CSHH"
1987,"Czechoslovakia",106.930204606238,"CSHH"
1988,"Czechoslovakia",104.046926296725,"CSHH"
1989,"Czechoslovakia",106.961826727332,"CSHH"
1990,"Czechoslovakia",113.529410497805,"CSHH"
1991,"Czechoslovakia",122.64655203009,"CSHH"
1992,"Czechoslovakia",128.377295240773,"CSHH"
