"country","year","population","BiocapPerCap","footprint","deficit","id","ratio","overshoot_day"
"Germany",1961,73686499.9917049,1.361604203,4.272328123,-2.91072392,"DEU",-2.13771659928781,267.028342510726
"Germany",1962,74238500.0021835,1.436544274,4.617616855,-3.181072581,"DEU",-2.21439234169929,243.876278753224
"Germany",1963,74820398.4298375,1.43921703,4.685975458,-3.246758428,"DEU",-2.25591999144146,235.721338202686
"Germany",1964,75410796.8800909,1.422536885,4.842167252,-3.419630367,"DEU",-2.40389579214284,224.791533202498
"Germany",1965,75990703.1130686,1.379047962,4.914655017,-3.535607055,"DEU",-2.56380281364544,217.642000338783
"Germany",1966,76557999.998239,1.370027646,4.87215851,-3.502130864,"DEU",-2.5562482990763,217.551491582222
"Germany",1967,77106898.4524249,1.470093279,4.819621569,-3.34952829,"DEU",-2.27844611329697,216.488473489288
"Germany",1968,77610999.9979946,1.45774047,5.079219326,-3.621478856,"DEU",-2.48430972764308,201.715938949515
"Germany",1969,78038296.8749899,1.437654903,5.457169183,-4.01951428,"DEU",-2.79588258628688,184.201645931191
"Germany",1970,78366601.5531484,1.393606389,6.855677769,-5.46207138,"DEU",-3.91937884986305,144.467043058821
"Germany",1971,78584796.8808272,1.455911615,6.913404901,-5.457493286,"DEU",-3.74850592063072,141.594684685689
"Germany",1972,78700101.5638502,1.464961451,7.108702544,-5.643741093,"DEU",-3.85248434352999,134.400466536615
"Germany",1973,78732898.4373022,1.465075677,7.266096508,-5.801020831,"DEU",-3.95953662953439,130.402310967794
"Germany",1974,78713898.4451585,1.512062821,6.844929459,-5.332866638,"DEU",-3.52688169397618,134.99743375297
"Germany",1975,78667296.8832083,1.491021132,6.588806216,-5.097785084,"DEU",-3.418989152756,137.992759319587
"Germany",1976,78604500.0056363,1.382398069,6.965684342,-5.583286273,"DEU",-4.03884116389138,129.139490960709
"Germany",1977,78524703.1264893,1.475281529,6.937119602,-5.461838073,"DEU",-3.70223442707915,127.524589472985
"Germany",1978,78426703.1336605,1.505950933,7.199563199,-5.693612266,"DEU",-3.78074222511354,122.493806238134
"Germany",1979,78305000.0080565,1.5077778,7.475370655,-5.967592855,"DEU",-3.95787290408441,115.706842589759
"Germany",1980,78159500.008078,1.502265053,7.191659548,-5.689394495,"DEU",-3.78721081875665,118.163375428856
"Germany",1981,77990398.4391434,1.49886122,6.766163853,-5.267302633,"DEU",-3.51420305610415,124.623223079181
"Germany",1982,77812398.4352632,1.565827881,6.609888269,-5.044060388,"DEU",-3.22133772455246,126.636313059178
"Germany",1983,77657499.9962996,1.496478044,6.585737996,-5.089259952,"DEU",-3.40082501979114,124.055402774146
"Germany",1984,77566796.8746899,1.603969619,6.710672237,-5.106702618,"DEU",-3.1837900894906,121.723582397602
"Germany",1985,77570000.0060316,1.637311193,6.784267844,-5.146956651,"DEU",-3.14354207155941,119.210355488915
"Germany",1986,77671898.4344586,1.620930381,6.78786752,-5.166937139,"DEU",-3.18763667073721,117.434701414693
"Germany",1987,77864398.4344109,1.604578155,6.703693634,-5.099115479,"DEU",-3.17785419689372,116.989279825528
"Germany",1988,78146898.4450595,1.617250571,6.677181284,-5.059930713,"DEU",-3.12872403563289,114.353657396572
"Germany",1989,78514796.8796536,1.606430098,6.620542864,-5.014112766,"DEU",-3.12127667428542,115.097355802196
"Germany",1990,78958203.1217605,1.612547521,6.935158658,-5.322611137,"DEU",-3.300746870393,109.587667046466
"Germany",1991,79483703.1205878,1.644471293,6.394884865,-4.750413572,"DEU",-2.8887178747888,116.028021835858
"Germany",1992,80075898.4326064,1.562333533,6.178308351,-4.615974818,"DEU",-2.95453869571627,120.193722944455
"Germany",1993,80676000.012005,1.56510072,5.882885576,-4.317784856,"DEU",-2.7587904246827,124.153961053569
"Germany",1994,81206796.8771639,1.605651234,5.942074077,-4.336422843,"DEU",-2.70072528141743,122.18228786982
"Germany",1995,81612898.4285015,1.626832873,5.855908849,-4.229075976,"DEU",-2.59957615068351,121.429322094292
"Germany",1996,81870796.8637091,1.634367141,5.786110256,-4.151743115,"DEU",-2.54027571797607,123.080948888928
"Germany",1997,81993796.8750671,1.685390636,5.696402117,-4.011011481,"DEU",-2.3798704969668,123.894206240286
"Germany",1998,82010203.1241208,1.727486873,5.735144972,-4.007658099,"DEU",-2.3199355083955,122.202810362249
"Germany",1999,81965796.8791289,1.744152053,5.357518242,-3.613366189,"DEU",-2.07170363959954,129.4412598897
"Germany",2000,81895898.4399444,1.744382166,5.489308457,-3.744926291,"DEU",-2.14684969521329,124.638136088544
