"country","year","population","BiocapPerCap","footprint","deficit","id","ratio","overshoot_day"
"Djibouti",1961,88499.0005301973,4.972151165,2.06500486,2.907146305,"DJI",2.40781567152698,552.460040750993
"Djibouti",1962,94199.9969296167,4.660954839,1.989197878,2.671756961,"DJI",2.34313279739537,566.1212623842
"Djibouti",1963,100622.001659793,4.348966533,1.92226352,2.426703013,"DJI",2.26241955382288,574.626951843491
"Djibouti",1964,107583.999640827,4.059753735,1.905263355,2.15449038,"DJI",2.13080970326728,571.300646089144
"Djibouti",1965,114962.997425852,3.78814114,1.991871017,1.796270123,"DJI",1.90180043787976,537.000310348913
"Djibouti",1966,122867.996195064,3.544571201,2.052351098,1.492220103,"DJI",1.72707837367593,516.454201671439
"Djibouti",1967,131402.999867365,3.305825418,1.802372886,1.503452532,"DJI",1.83415175627641,578.89936260138
"Djibouti",1968,140460.998526628,3.087749541,1.878083356,1.209666185,"DJI",1.64409607155891,545.534607371536
"Djibouti",1969,149891.006491973,2.874193449,1.779945462,1.094247987,"DJI",1.61476486218258,564.747374998279
"Djibouti",1970,159667.007494888,2.705500014,1.975401758,0.730098256,"DJI",1.36959478826029,501.376226310009
"Djibouti",1971,169369.995143914,2.54699538,1.916597068,0.630398312,"DJI",1.32891538863332,510.749696386372
"Djibouti",1972,179212.005575917,2.417019274,1.933025201,0.483994073,"DJI",1.25038166600208,494.25787748137
"Djibouti",1973,190535.995556196,2.261172728,1.819106257,0.442066471,"DJI",1.24301297290873,520.868832852154
"Djibouti",1974,205156.997637826,2.109180711,1.826064226,0.283116485,"DJI",1.15504192568914,506.032546237969
"Djibouti",1975,224182.006839503,1.93076796,1.771007534,0.159760426,"DJI",1.09020879922869,513.384357864097
"Djibouti",1976,248619.00325811,1.742331116,1.72591783,0.0164132859999999,"DJI",1.00950990829343,521.198011107482
"Djibouti",1977,277622.009313803,1.569591482,1.570135603,-0.000544120999999897,"DJI",-1.00034666345156,563.424795358439
"Djibouti",1978,308213.012643231,1.420211527,1.448100072,-0.0278885449999999,"DJI",-1.0196369128196,609.006172722452
"Djibouti",1979,336253.997838489,1.31322911,1.361280293,-0.0480511830000001,"DJI",-1.03659010422028,635.395620494177
"Djibouti",1980,358959.991573379,1.297035502,1.398197498,-0.101161996,"DJI",-1.077994781176,607.775912526664
"Djibouti",1981,374683.013857418,1.249543439,1.245029741,0.00451369800000001,"DJI",1.00362540749028,677.269910187685
"Djibouti",1982,384743.011318399,1.223660202,1.210861323,0.012798879,"DJI",1.01057007933113,691.286346375923
"Djibouti",1983,392907.989363956,1.192051319,1.108658405,0.083392914,"DJI",1.07521967091035,736.923456454215
"Djibouti",1984,404588.989095506,1.164552471,1.088525925,0.076026546,"DJI",1.06984360225145,750.415824262886
"Djibouti",1985,423470.001356297,1.121954559,1.096595727,0.025358832,"DJI",1.02312507699966,737.514269087504
"Djibouti",1986,451067.99323863,1.056881394,0.965322778,0.0915586159999999,"DJI",1.09484764060271,825.766461856075
"Djibouti",1987,485565.002411592,0.991372969,0.890496969,0.100876,"DJI",1.11328052761548,880.699526708119
"Djibouti",1988,523265.9912928,0.908641238,0.84414282,0.064498418,"DJI",1.07640702497255,904.539022017365
"Djibouti",1989,558809.997310367,0.878478343,0.789802988,0.088675355,"DJI",1.11227526357839,964.806390663241
"Djibouti",1990,588356.018095358,1.058423155,1.029057963,0.029365192,"DJI",1.02853596201575,738.547159178588
"Djibouti",1991,610679.01611126,1.04100253,1.16700309,-0.12600056,"DJI",-1.1210377173627,635.804519126813
"Djibouti",1992,627062.988295088,1.034195326,1.129161472,-0.094966146,"DJI",-1.09182614468004,657.650732950955
"Djibouti",1993,639215.026799877,1.028189265,1.320346911,-0.292157646,"DJI",-1.28414772587685,553.175494762021
"Djibouti",1994,649877.99090228,1.024086089,1.30381015,-0.279724061,"DJI",-1.2731450145954,556.841988131554
"Djibouti",1995,661075.989065381,1.012277272,1.245031723,-0.232754451,"DJI",-1.22993149890642,571.133277835416
"Djibouti",1996,673202.026103727,1.023732451,1.288093381,-0.26436093,"DJI",-1.25823246103022,552.879120489244
"Djibouti",1997,685643.981897342,1.031583725,1.282794809,-0.251211084,"DJI",-1.24351981824607,550.166882969123
"Djibouti",1998,698255.98138305,1.025608587,1.336393303,-0.310784716,"DJI",-1.3030246753296,524.434563414079
