country,year,population,BiocapPerCap,footprint,deficit,id,ratio,overshoot_day
Dominica,1961,61034.9998481129,1.063525886,0.686628294,0.376897592,DMA,-0.5489106628629551,1661.4996661294037
Dominica,1962,61984.0011569676,1.07916508,0.688392653,0.390772427,DMA,-0.5676592062640741,1635.8790938369916
Dominica,1963,62919.9982148132,1.085378677,0.761488945,0.323889732,DMA,-0.42533740525937647,1450.5587877183764
Dominica,1964,63921.0014623674,1.089242054,0.715529473,0.373712581,DMA,-0.5222881727472881,1521.220594524754
Dominica,1965,65038.0019763277,1.113318704,0.744317868,0.369000836,DMA,-0.4957570573866703,1437.067878086769
Dominica,1966,66305.0003141946,1.097806863,0.721129585,0.376677278,DMA,-0.5223433982395826,1469.8403017987337
Dominica,1967,67681.9991928475,1.074810566,0.767716152,0.307094414,DMA,-0.40001035955799463,1359.08623913368
Dominica,1968,69041.9998113522,1.078401388,0.814820017,0.263581371,DMA,-0.32348416276081754,1257.4059181537027
Dominica,1969,70211.9979731838,1.077237015,0.787919514,0.289317501,DMA,-0.36719169389679546,1275.7896571477163
Dominica,1970,71075.9963712744,1.055212521,0.90183727,0.153375251,DMA,-0.17006976325119058,1098.2241474487694
Dominica,1971,71566.0019242606,1.045349318,0.880235253,0.165114065,DMA,-0.18757947314341422,1112.0905818251097
Dominica,1972,71736.9994824481,1.045977243,0.930610047,0.115367196,DMA,-0.1239694288406925,1026.6523382190176
Dominica,1973,71745.0027461641,1.081303779,0.990020952,0.091282827,DMA,-0.09220292440841193,957.0663403251041
Dominica,1974,71810.9970410553,1.086892731,1.003511485,0.0833812460000001,DMA,-0.08308947854244048,920.8144766851203
Dominica,1975,72091.0034198352,1.089033354,1.033869696,0.0551636579999999,DMA,-0.053356489907215435,879.4217957640118
Dominica,1976,72648.0026475217,1.124527544,1.001259403,0.123268141,DMA,-0.12311309200259273,898.4134627799749
Dominica,1977,73411.0031437413,1.140850678,1.099358591,0.041492087,DMA,-0.03774208646721709,804.6995121655482
Dominica,1978,74238.9984248085,1.186804302,1.146272082,0.04053222,DMA,-0.035360034180785364,769.365231536212
Dominica,1979,74922.9965296487,1.099290012,0.931316078,0.167973934,DMA,-0.18036189642588768,928.7411018503814
Dominica,1980,75313.0035594476,0.977019572,1.138890483,-0.161870911,DMA,0.1421303570590992,746.156686226639
Dominica,1981,75375.9994325037,1.03120082,1.157110656,-0.125909836,DMA,0.10881399747475833,728.7298899750906
Dominica,1982,75167.9992682195,1.119179811,1.203136699,-0.0839568880000001,DMA,0.06978166992144931,695.7246703928157
Dominica,1983,74750.0000098856,1.138397701,1.138016145,3.81556000000005e-4,DMA,-3.3528171078803557e-4,717.9128486451115
Dominica,1984,74214.996311339,1.199613303,1.295701867,-0.096088564,DMA,0.07415947020473035,630.4282339016405
Dominica,1985,73639.9993888943,1.183080103,1.32677547,-0.143695367,DMA,0.10830420839782338,609.5642979313379
Dominica,1986,73025.0015232293,1.219241382,1.364715769,-0.145474387,DMA,0.10659683892023668,584.100508768932
Dominica,1987,72367.9962549148,1.254787644,1.476935161,-0.222147517,DMA,0.1504111506490162,531.0052102725969
Dominica,1988,71742.9962595337,1.322324303,1.737297314,-0.414973011,DMA,0.2388612517016762,439.51032604206546
Dominica,1989,71241.9967951364,1.312049591,2.049588606,-0.737539015,DMA,0.3598473434331728,371.7853337811305
Dominica,1990,70928.0014127492,1.322394693,2.215277856,-0.892883163,DMA,0.4030569621691737,343.07563061501224
Dominica,1991,70848.999047705,1.256304726,2.169446497,-0.913141771,DMA,0.4209100211794714,342.0161985165341
Dominica,1992,70977.9968390396,1.246059004,1.991721284,-0.74566228,DMA,0.3743808363098258,372.8402603793011
Dominica,1993,71205.0018165838,1.267518451,2.108666846,-0.841148395,DMA,0.3989005643995411,346.3721957708065
Dominica,1994,71372.0016650968,1.206849811,2.03690263,-0.830052819,DMA,0.40750736278444494,356.4314799490167
Dominica,1995,71366.996753756,1.154757924,2.012976236,-0.858218312,DMA,0.4263429923571139,353.2476120830439
Dominica,1996,71146.003716684,1.223432677,2.145405974,-0.921973297,DMA,0.42974304545308406,331.94646892010184
Dominica,1997,70755.9967004527,1.202513673,2.272265658,-1.069751985,DMA,0.4707864950709914,310.5936143845326
Dominica,1998,70294.9981850603,1.185754255,2.267505103,-1.081750848,DMA,0.47706655502949047,309.0845691306273
Dominica,1999,69902.0004009649,1.19004724,2.445815007,-1.255767767,DMA,0.5134353021000988,283.53898626429225
Dominica,2000,69679.0008600748,1.18607601,2.791337479,-1.605261469,DMA,0.5750868467452696,245.1072934946061
Dominica,2001,69660.0036831858,1.155495632,2.501633247,-1.346137615,DMA,0.5381035036268048,271.5905603487353
Dominica,2002,69805.9997684372,1.150777138,2.28741428,-1.136637142,DMA,0.4969091746686132,293.22961514448866
Dominica,2003,70057.9986608357,1.0698045,2.294186074,-1.224381574,DMA,0.5336888702603118,288.1003139544782
Dominica,2004,70324.9969686232,1.103113023,2.329065447,-1.225952424,DMA,0.5263709637610712,286.19989584019413
Dominica,2005,70541.9997942273,1.092665567,2.404469197,-1.31180363,DMA,0.5455689062836433,272.2144112887784
Dominica,2006,70690.0024493999,1.09925795,2.292406442,-1.193148492,DMA,0.5204785984456765,282.61240437777525
Dominica,2007,70794.9981617115,1.105523204,2.76357595,-1.658052746,DMA,0.5999664116341727,232.47261642786793
Dominica,2008,70880.9967091426,1.069071625,2.505658565,-1.43658694,DMA,0.5733370699690682,257.39686439525326
Dominica,2009,70995.0027358423,1.077809361,2.9173574860000002,-1.839548125,DMA,0.6305528663620212,217.31699306135772
Dominica,2010,71166.9998170522,1.125933203,2.268084323,-1.14215112,DMA,0.5035752456016601,277.2391764847541
Dominica,2011,71402.0004414432,1.064038623,2.336323223,-1.2722846,DMA,0.5445670305696396,266.79076613415475
Dominica,2012,71684.9975621154,1.059792019,2.590891707,-1.531099688,DMA,0.5909547218292902,236.56494215485736
Dominica,2013,72004.9972492191,1.064663107,2.500873471,-1.436210364,DMA,0.5742834976076244,246.75916470985038
