"country","year","population","BiocapPerCap","footprint","deficit","id","ratio","overshoot_day"
"Denmark",1961,4613770.01927755,4.551194082,5.887290872,-1.33609679,"DNK",-0.293570609495959,193.778889234945
"Denmark",1962,4649180.17658141,4.583051551,6.415580149,-1.832528598,"DNK",-0.399848993625219,175.530070348588
"Denmark",1963,4686149.90172613,4.541825032,6.339658872,-1.79783384,"DNK",-0.395839526649489,174.23404524887
"Denmark",1964,4723499.99936615,4.646543303,6.912488429,-2.265945126,"DNK",-0.487662538300246,157.465466616913
"Denmark",1965,4760259.76518787,4.623924653,6.992215142,-2.368290489,"DNK",-0.512181886441424,152.975177376194
"Denmark",1966,4796160.15683278,4.447399119,7.280812362,-2.833413243,"DNK",-0.637094446337886,145.580642745307
"Denmark",1967,4831240.23358763,4.527180262,7.443049174,-2.915868912,"DNK",-0.644080591568934,140.183477892367
"Denmark",1968,4865339.84395026,4.585917256,8.674588492,-4.088671236,"DNK",-0.891571087787135,118.110442959917
"Denmark",1969,4898350.09711776,4.606895689,9.191888664,-4.584992975,"DNK",-0.995245674859202,109.35941258351
"Denmark",1970,4930120.1176792,4.420575771,8.941360149,-4.520784378,"DNK",-1.02266866698227,110.768327061338
"Denmark",1971,4960479.98081302,4.525023341,8.721212112,-4.196188771,"DNK",-0.927329749419591,112.243731226305
"Denmark",1972,4989149.9016857,4.515674891,9.083059171,-4.56738428,"DNK",-1.01145109452288,105.186249636026
"Denmark",1973,5015770.01953974,4.336806882,9.227036443,-4.890229561,"DNK",-1.12761062581602,102.689068758307
"Denmark",1974,5039919.92157397,4.489696431,8.986772039,-4.497075608,"DNK",-1.00164357214681,102.823117880369
"Denmark",1975,5061290.03934903,4.287115804,8.071440323,-3.784324519,"DNK",-0.882720382780424,112.645019273698
"Denmark",1976,5079959.96030225,4.007847116,9.501218574,-5.493371458,"DNK",-1.37065394849692,94.6767949002878
"Denmark",1977,5095959.9604965,4.45832189,9.342017341,-4.883695451,"DNK",-1.09541112788516,94.6961775713046
"Denmark",1978,5108839.84419282,4.360142712,9.150929353,-4.790786641,"DNK",-1.09876832219558,96.3729323078375
"Denmark",1979,5118060.0587063,4.548141351,9.529633242,-4.981491891,"DNK",-1.09528078981099,90.7644106265286
"Denmark",1980,5123439.94139604,4.352356591,8.892443585,-4.540086994,"DNK",-1.04313305128337,95.563244444418
"Denmark",1981,5124810.0585939,4.474018787,8.526107647,-4.05208886,"DNK",-0.905693292808008,98.8987229178295
"Denmark",1982,5122810.05914747,4.672061399,8.787631343,-4.115569944,"DNK",-0.880889514850982,95.2534141987728
"Denmark",1983,5118970.21396685,4.204279231,7.896808442,-3.692529211,"DNK",-0.878278765038163,103.459060771311
"Denmark",1984,5115310.05797389,5.061851656,8.79086116,-3.729009504,"DNK",-0.736688822682726,92.9200270480895
"Denmark",1985,5113410.15633843,4.911778875,8.777232191,-3.865453316,"DNK",-0.786976249223988,92.1423699113258
"Denmark",1986,5113770.01943674,4.909682349,8.826011369,-3.91632902,"DNK",-0.797674629602056,90.3161300137228
