"year","country","overshoot_day","country_3_code"
1961,"Denmark",193.778684410565,"DNK"
1962,"Denmark",175.529832286352,"DNK"
1963,"Denmark",174.23430437068,"DNK"
1964,"Denmark",157.465539140889,"DNK"
1965,"Denmark",152.975407604971,"DNK"
1966,"Denmark",145.580835959264,"DNK"
1967,"Denmark",140.183346270307,"DNK"
1968,"Denmark",118.110543213684,"DNK"
1969,"Denmark",109.359548979397,"DNK"
1970,"Denmark",110.768394727659,"DNK"
1971,"Denmark",112.24358930222,"DNK"
1972,"Denmark",105.186386830511,"DNK"
1973,"Denmark",102.689016250521,"DNK"
1974,"Denmark",102.823021149733,"DNK"
1975,"Denmark",112.645040053641,"DNK"
1976,"Denmark",94.6767491105428,"DNK"
1977,"Denmark",94.6961213976648,"DNK"
1978,"Denmark",96.3728760823673,"DNK"
1979,"Denmark",90.7644210310739,"DNK"
1980,"Denmark",95.563190646429,"DNK"
1981,"Denmark",98.8986791354185,"DNK"
1982,"Denmark",95.2533417169746,"DNK"
1983,"Denmark",103.459049741399,"DNK"
1984,"Denmark",92.9200758139268,"DNK"
1985,"Denmark",92.1423604202794,"DNK"
1986,"Denmark",90.3162031238218,"DNK"
1987,"Denmark",90.6667025250888,"DNK"
1988,"Denmark",82.972823397317,"DNK"
1989,"Denmark",83.0935772724983,"DNK"
1990,"Denmark",85.7831624375242,"DNK"
1991,"Denmark",83.1225243693471,"DNK"
1992,"Denmark",90.2067469245211,"DNK"
1993,"Denmark",88.0072227545377,"DNK"
1994,"Denmark",88.3121545491337,"DNK"
1995,"Denmark",82.166939035256,"DNK"
1996,"Denmark",87.3708712673904,"DNK"
1997,"Denmark",84.0378081289206,"DNK"
1998,"Denmark",80.198152599552,"DNK"
1999,"Denmark",81.240353114136,"DNK"
2000,"Denmark",77.7806512086367,"DNK"
2001,"Denmark",81.6760643938299,"DNK"
2002,"Denmark",83.1054556907088,"DNK"
2003,"Denmark",79.96806822107,"DNK"
2004,"Denmark",80.8272041360328,"DNK"
2005,"Denmark",79.3888194210476,"DNK"
2006,"Denmark",81.5472048780739,"DNK"
2007,"Denmark",80.788952659437,"DNK"
2008,"Denmark",83.2235003912749,"DNK"
2009,"Denmark",92.9464498806972,"DNK"
2010,"Denmark",92.8055622440308,"DNK"
2011,"Denmark",97.0840964080489,"DNK"
2012,"Denmark",98.209101062584,"DNK"
2013,"Denmark",96.6717251532731,"DNK"
2014,"Denmark",86.142337060457,"DNK"
