"year","country","overshoot_day","country_3_code"
1961,"Dominica",1661.49790992345,"DMA"
1962,"Dominica",1635.87687517991,"DMA"
1963,"Dominica",1450.56094499721,"DMA"
1964,"Dominica",1521.22129515435,"DMA"
1965,"Dominica",1437.07004088459,"DMA"
1966,"Dominica",1469.84225256399,"DMA"
1967,"Dominica",1359.08496305084,"DMA"
1968,"Dominica",1257.40698545712,"DMA"
1969,"Dominica",1275.79124834557,"DMA"
1970,"Dominica",1098.22481833357,"DMA"
1971,"Dominica",1112.08917566695,"DMA"
1972,"Dominica",1026.65367728225,"DMA"
1973,"Dominica",957.06585095038,"DMA"
1974,"Dominica",920.8136104308,"DMA"
1975,"Dominica",879.421957993424,"DMA"
1976,"Dominica",898.413028268821,"DMA"
1977,"Dominica",804.699034818925,"DMA"
1978,"Dominica",769.364782676549,"DMA"
1979,"Dominica",928.741208314234,"DMA"
1980,"Dominica",746.156266172576,"DMA"
1981,"Dominica",728.729567366764,"DMA"
1982,"Dominica",695.724140990531,"DMA"
1983,"Dominica",717.912772107443,"DMA"
1984,"Dominica",630.428564759925,"DMA"
1985,"Dominica",609.564235143686,"DMA"
1986,"Dominica",584.100981593066,"DMA"
1987,"Dominica",531.005737674214,"DMA"
1988,"Dominica",439.510111800015,"DMA"
1989,"Dominica",371.785476315167,"DMA"
1990,"Dominica",343.075792135345,"DMA"
1991,"Dominica",342.016261808419,"DMA"
1992,"Dominica",372.84056632915,"DMA"
1993,"Dominica",346.372475462213,"DMA"
1994,"Dominica",356.431732073199,"DMA"
1995,"Dominica",353.247427340459,"DMA"
1996,"Dominica",331.946326099204,"DMA"
1997,"Dominica",310.593877864995,"DMA"
1998,"Dominica",309.08441382313,"DMA"
1999,"Dominica",283.539220693059,"DMA"
2000,"Dominica",245.107213472677,"DMA"
2001,"Dominica",271.590538418404,"DMA"
2002,"Dominica",293.229521795767,"DMA"
2003,"Dominica",288.100110181432,"DMA"
2004,"Dominica",286.199784782781,"DMA"
2005,"Dominica",272.214578288407,"DMA"
2006,"Dominica",282.612404352291,"DMA"
2007,"Dominica",232.47270336629,"DMA"
2008,"Dominica",257.396750260778,"DMA"
2009,"Dominica",217.317008978504,"DMA"
2010,"Dominica",277.239376541677,"DMA"
2011,"Dominica",266.790880291772,"DMA"
2012,"Dominica",236.564925499213,"DMA"
2013,"Dominica",246.75933656864,"DMA"
2014,"Dominica",242.803941222769,"DMA"
