"year","country","overshoot_day","country_3_code"
1961,"Dominican Republic",1170.75781113358,"DOM"
1962,"Dominican Republic",1108.97932602131,"DOM"
1963,"Dominican Republic",1068.04162571107,"DOM"
1964,"Dominican Republic",1016.44707280504,"DOM"
1965,"Dominican Republic",1077.62408920853,"DOM"
1966,"Dominican Republic",1093.30118830746,"DOM"
1967,"Dominican Republic",1151.21020746946,"DOM"
1968,"Dominican Republic",1015.8014090801,"DOM"
1969,"Dominican Republic",967.911306130197,"DOM"
1970,"Dominican Republic",914.558569120661,"DOM"
1971,"Dominican Republic",868.89245579731,"DOM"
1972,"Dominican Republic",781.332577213211,"DOM"
1973,"Dominican Republic",774.04556479355,"DOM"
1974,"Dominican Republic",739.307606010895,"DOM"
1975,"Dominican Republic",780.334263699311,"DOM"
1976,"Dominican Republic",743.110266687492,"DOM"
1977,"Dominican Republic",700.484723233899,"DOM"
1978,"Dominican Republic",694.423990499888,"DOM"
1979,"Dominican Republic",711.504812374739,"DOM"
1980,"Dominican Republic",663.593094757319,"DOM"
1981,"Dominican Republic",714.357416779203,"DOM"
1982,"Dominican Republic",725.686459616531,"DOM"
1983,"Dominican Republic",660.140292208266,"DOM"
1984,"Dominican Republic",676.947490039644,"DOM"
1985,"Dominican Republic",723.439848556561,"DOM"
1986,"Dominican Republic",683.838589634367,"DOM"
1987,"Dominican Republic",612.593499057368,"DOM"
1988,"Dominican Republic",619.241328179582,"DOM"
1989,"Dominican Republic",592.645398289398,"DOM"
1990,"Dominican Republic",663.627709879094,"DOM"
1991,"Dominican Republic",639.390583876623,"DOM"
1992,"Dominican Republic",604.125442185377,"DOM"
1993,"Dominican Republic",597.538828956345,"DOM"
1994,"Dominican Republic",575.510166345085,"DOM"
1995,"Dominican Republic",537.310510525718,"DOM"
1996,"Dominican Republic",510.285018209716,"DOM"
1997,"Dominican Republic",469.736291624464,"DOM"
1998,"Dominican Republic",435.579729074044,"DOM"
1999,"Dominican Republic",415.609801958183,"DOM"
2000,"Dominican Republic",404.505520567001,"DOM"
2001,"Dominican Republic",394.224477578432,"DOM"
2002,"Dominican Republic",390.794543687776,"DOM"
2003,"Dominican Republic",447.375967913127,"DOM"
2004,"Dominican Republic",479.436878445811,"DOM"
2005,"Dominican Republic",437.320449551398,"DOM"
2006,"Dominican Republic",393.129790742947,"DOM"
2007,"Dominican Republic",393.525790802742,"DOM"
2008,"Dominican Republic",404.867881289873,"DOM"
2009,"Dominican Republic",430.104993865497,"DOM"
2010,"Dominican Republic",371.993222315115,"DOM"
2011,"Dominican Republic",364.618891265879,"DOM"
2012,"Dominican Republic",389.571038692387,"DOM"
2013,"Dominican Republic",381.901013374584,"DOM"
2014,"Dominican Republic",386.370582845303,"DOM"
