"country","year","population","BiocapPerCap","footprint","deficit","id","ratio","overshoot_day"
"Egypt",1961,27810000.0058257,0.422902064,0.801617993,-0.378715929,"EGY",-0.895516895803251,1423.16251781397
"Egypt",1962,28560699.2061559,0.500544118,0.912063938,-0.41151982,"EGY",-0.822144869067686,1234.70211492857
"Egypt",1963,29322699.2334271,0.480240194,0.949029326,-0.468789132,"EGY",-0.976155515014268,1163.90970820922
"Egypt",1964,30094099.6141834,0.475460723,0.973123331,-0.497662608,"EGY",-1.04669546624167,1118.5408995859
"Egypt",1965,30872999.9983657,0.45422145,1.010845924,-0.556624474,"EGY",-1.22544730109069,1058.15866214128
"Egypt",1966,31660900.3868737,0.454184928,1.007240117,-0.553055189,"EGY",-1.21768718746349,1052.32640052754
"Egypt",1967,32456599.6262011,0.430825606,0.881705194,-0.450879588,"EGY",-1.04654778995148,1183.38025337721
"Egypt",1968,33252300.7931697,0.455342776,0.888361143,-0.433018367,"EGY",-0.950972188468652,1153.31422124404
"Egypt",1969,34038101.5661764,0.463237015,0.821682916,-0.358445901,"EGY",-0.773785086817653,1223.3667620015
"Egypt",1970,34808601.5775195,0.462319159,0.841640453,-0.379321294,"EGY",-0.820475058831652,1176.77262433307
"Egypt",1971,35561101.5810729,0.457970314,0.898547174,-0.44057686,"EGY",-0.962020638412128,1089.4267846141
"Egypt",1972,36302199.2147975,0.45234441,0.901926043,-0.449581633,"EGY",-0.993892220310626,1059.30301651133
"Egypt",1973,37046800.7773631,0.445044448,0.830666181,-0.385621733,"EGY",-0.866479179776312,1140.66971223218
"Egypt",1974,37815601.5754736,0.419476221,0.94833961,-0.528863389,"EGY",-1.26077082510184,974.385037511879
"Egypt",1975,38624398.4416483,0.421805154,1.02222627,-0.600421116,"EGY",-1.4234561858716,889.438618591598
"Egypt",1976,39478601.5649328,0.425334114,1.08036078,-0.655026666,"EGY",-1.54002859070014,832.633805942422
"Egypt",1977,40377699.233677,0.394379471,1.094305821,-0.69992635,"EGY",-1.77475346269926,808.415096689609
"Egypt",1978,41324800.7913287,0.417693351,1.146361619,-0.728668268,"EGY",-1.74450526923639,769.305164810126
"Egypt",1979,42321699.2004219,0.416574615,1.11844605,-0.701871435,"EGY",-1.68486358302058,773.351186275421
"Egypt",1980,43369601.5674267,0.408873433,1.189790122,-0.780916689,"EGY",-1.90992276020479,714.235865179077
