"country","year","population","BiocapPerCap","footprint","deficit","id","ratio","overshoot_day"
"Spain",1961,30777099.603645,1.306618236,2.311147981,-1.004529745,"ESP",-0.768801268226594,493.621650887351
"Spain",1962,31122400.3893482,1.36820054,2.476173161,-1.107972621,"ESP",-0.809802823203096,454.785322076824
"Spain",1963,31479499.9999457,1.400046596,2.615760676,-1.21571408,"ESP",-0.86833831102479,422.280377423286
"Spain",1964,31838500.0045009,1.245870505,2.479740614,-1.233870109,"ESP",-0.990367843284131,438.948417181216
"Spain",1965,32192199.2230494,1.287427964,2.789923765,-1.502495801,"ESP",-1.16705236073947,383.392315293701
"Spain",1966,32536599.6112179,1.341109877,2.97938602,-1.638276143,"ESP",-1.22158232105486,355.759659507026
"Spain",1967,32873999.9991569,1.346445905,3.055536424,-1.709090519,"ESP",-1.26933469811152,341.476057356083
"Spain",1968,33211199.2143355,1.39400435,3.174548083,-1.780543733,"ESP",-1.27728708307115,322.741838509235
"Spain",1969,33558601.5669161,1.353534223,3.298709372,-1.945175149,"ESP",-1.43710823949468,304.731162061441
"Spain",1970,33923199.2218732,1.325507757,3.400449219,-2.074941462,"ESP",-1.56539365714464,291.26137215342
"Spain",1971,34305601.5700817,1.405819304,3.51549614,-2.109676836,"ESP",-1.5006742331678,278.453270626584
"Spain",1972,34700999.9960329,1.405137826,3.710275419,-2.305137593,"ESP",-1.64050637651682,257.504586443907
"Spain",1973,35104601.5727651,1.365667951,3.757410473,-2.391742522,"ESP",-1.75133534473003,252.172546841768
"Spain",1974,35509398.4278724,1.378098831,3.880084786,-2.501985955,"ESP",-1.81553449980071,238.151474606947
"Spain",1975,35908999.9967555,1.430223635,3.871771818,-2.441548183,"ESP",-1.707109377014,234.829838928007
"Spain",1976,36302398.4508199,1.368026946,3.958552171,-2.590525225,"ESP",-1.89362150358222,227.240889912984
"Spain",1977,36687398.4444318,1.34074844,3.763372549,-2.422624109,"ESP",-1.8069191712056,235.069297316436
"Spain",1978,37055601.5580684,1.478244915,3.796368705,-2.31812379,"ESP",-1.56815947657713,232.301435743056
"Spain",1979,37397199.2074256,1.391168869,3.814677423,-2.423508554,"ESP",-1.74206638910774,226.743037533135
"Spain",1980,37704898.4270687,1.50234909,4.014803941,-2.512454851,"ESP",-1.67235087152747,211.664325984888
"Spain",1981,37976199.2079366,1.250347945,3.529730934,-2.279382989,"ESP",-1.82299893260111,238.891059117283
"Spain",1982,38212601.5486376,1.375878534,3.736871773,-2.360993239,"ESP",-1.71598961574028,223.998019960171
"Spain",1983,38415499.9857068,1.298752917,3.52440325,-2.225650333,"ESP",-1.7136826764555,231.811262960456
"Spain",1984,38588199.2117598,1.635957626,3.700547261,-2.064589635,"ESP",-1.2620068100419,220.736824652937
"Spain",1985,38734300.7751872,1.568683108,3.557101428,-1.98841832,"ESP",-1.26757168310431,227.363486508987
