"country","year","overshoot_day","country_3_code","number.of.earth.required"
"Ethiopia PDR",1961,587.453479708076,"ETH",NA
"Ethiopia PDR",1962,593.570534912157,"ETH",NA
"Ethiopia PDR",1963,590.538391862768,"ETH",NA
"Ethiopia PDR",1964,593.514147239069,"ETH",NA
"Ethiopia PDR",1965,593.229615457363,"ETH",NA
"Ethiopia PDR",1966,592.566105972898,"ETH",NA
"Ethiopia PDR",1967,589.327030019341,"ETH",NA
"Ethiopia PDR",1968,590.738015710096,"ETH",NA
"Ethiopia PDR",1969,584.782588651202,"ETH",NA
"Ethiopia PDR",1970,580.040139883197,"ETH",NA
"Ethiopia PDR",1971,588.001296960401,"ETH",NA
"Ethiopia PDR",1972,595.388257686766,"ETH",NA
"Ethiopia PDR",1973,617.165248343123,"ETH",NA
"Ethiopia PDR",1974,618.901582930216,"ETH",NA
"Ethiopia PDR",1975,622.049040258091,"ETH",NA
"Ethiopia PDR",1976,613.673476254278,"ETH",NA
"Ethiopia PDR",1977,595.162934353453,"ETH",NA
"Ethiopia PDR",1978,601.036901252901,"ETH",NA
"Ethiopia PDR",1979,573.922337554143,"ETH",NA
"Ethiopia PDR",1980,552.157364867665,"ETH",NA
"Ethiopia PDR",1981,565.705511921322,"ETH",NA
"Ethiopia PDR",1982,573.246247539751,"ETH",NA
"Ethiopia PDR",1983,560.006123118214,"ETH",NA
"Ethiopia PDR",1984,587.467214304907,"ETH",NA
"Ethiopia PDR",1985,592.664193820268,"ETH",NA
"Ethiopia PDR",1986,592.559764394659,"ETH",NA
"Ethiopia PDR",1987,598.297833588209,"ETH",NA
"Ethiopia PDR",1988,581.564566251409,"ETH",NA
"Ethiopia PDR",1989,600.565672215438,"ETH",NA
"Ethiopia PDR",1990,601.520262974234,"ETH",NA
"Ethiopia PDR",1991,585.787640802567,"ETH",NA
"Ethiopia PDR",1992,604.956737013704,"ETH",NA
"Ethiopia",1993,706.047664898656,"ETH",0.6
"Ethiopia",1994,699.718231868561,"ETH",0.6
"Ethiopia",1995,674.413371699106,"ETH",0.6
"Ethiopia",1996,657.999442388421,"ETH",0.6
"Ethiopia",1997,669.542298269884,"ETH",0.6
"Ethiopia",1998,701.395047789561,"ETH",0.6
"Ethiopia",1999,687.119961702132,"ETH",0.6
"Ethiopia",2000,678.090752933831,"ETH",0.6
"Ethiopia",2001,657.686588623628,"ETH",0.6
"Ethiopia",2002,685.118168722928,"ETH",0.6
"Ethiopia",2003,648.057053457451,"ETH",0.6
"Ethiopia",2004,688.897823477206,"ETH",0.6
"Ethiopia",2005,648.838851850978,"ETH",0.6
"Ethiopia",2006,656.449766431171,"ETH",0.6
"Ethiopia",2007,647.613097812741,"ETH",0.6
"Ethiopia",2008,640.469131934958,"ETH",0.6
"Ethiopia",2009,613.146390802182,"ETH",0.6
"Ethiopia",2010,600.75035939413,"ETH",0.6
"Ethiopia",2011,603.789685668186,"ETH",0.6
"Ethiopia",2012,595.090545071591,"ETH",0.6
"Ethiopia",2013,584.015176010786,"ETH",0.6
"Ethiopia",2014,563.880627696588,"ETH",0.6
