"year","country","overshoot_day","country_3_code"
1961,"El Salvador",1013.42447033136,"SLV"
1962,"El Salvador",1015.75653912527,"SLV"
1963,"El Salvador",933.918598394958,"SLV"
1964,"El Salvador",897.710922449327,"SLV"
1965,"El Salvador",919.152246246035,"SLV"
1966,"El Salvador",871.319716707048,"SLV"
1967,"El Salvador",918.159782489699,"SLV"
1968,"El Salvador",879.959440846139,"SLV"
1969,"El Salvador",864.193497706791,"SLV"
1970,"El Salvador",845.280895254922,"SLV"
1971,"El Salvador",801.986038915405,"SLV"
1972,"El Salvador",840.020481121874,"SLV"
1973,"El Salvador",752.774667411045,"SLV"
1974,"El Salvador",744.169996677037,"SLV"
1975,"El Salvador",733.895434900851,"SLV"
1976,"El Salvador",751.269883665931,"SLV"
1977,"El Salvador",678.728118512301,"SLV"
1978,"El Salvador",668.790340059289,"SLV"
1979,"El Salvador",710.542568633008,"SLV"
1980,"El Salvador",714.17441742133,"SLV"
1981,"El Salvador",720.233184956699,"SLV"
1982,"El Salvador",760.708310671777,"SLV"
1983,"El Salvador",751.887289884881,"SLV"
1984,"El Salvador",697.253341059217,"SLV"
1985,"El Salvador",742.008348119018,"SLV"
1986,"El Salvador",727.214326047736,"SLV"
1987,"El Salvador",717.277070251931,"SLV"
1988,"El Salvador",673.742391257674,"SLV"
1989,"El Salvador",655.475016921017,"SLV"
1990,"El Salvador",636.098092916875,"SLV"
1991,"El Salvador",541.196583543299,"SLV"
1992,"El Salvador",509.385492065388,"SLV"
1993,"El Salvador",550.805388961197,"SLV"
1994,"El Salvador",505.933552233336,"SLV"
1995,"El Salvador",469.369170918129,"SLV"
1996,"El Salvador",483.431578296146,"SLV"
1997,"El Salvador",436.621776332196,"SLV"
1998,"El Salvador",456.000420491147,"SLV"
1999,"El Salvador",407.875447788977,"SLV"
2000,"El Salvador",394.667071357361,"SLV"
2001,"El Salvador",353.168278721219,"SLV"
2002,"El Salvador",346.237529517362,"SLV"
2003,"El Salvador",346.769015842126,"SLV"
2004,"El Salvador",339.635539697969,"SLV"
2005,"El Salvador",331.625280840874,"SLV"
2006,"El Salvador",313.543923957483,"SLV"
2007,"El Salvador",301.865326899299,"SLV"
2008,"El Salvador",315.753719853496,"SLV"
2009,"El Salvador",323.1384024723,"SLV"
2010,"El Salvador",315.094993568571,"SLV"
2011,"El Salvador",314.008907867098,"SLV"
2012,"El Salvador",303.832922004394,"SLV"
2013,"El Salvador",320.941864752541,"SLV"
2014,"El Salvador",307.312039277821,"SLV"
