country,year,overshoot_day
Estonia,1992,499.48822311830702
Estonia,1993,654.90393759430299
Estonia,1994,652.71200505930301
Estonia,1995,697.71619158697501
Estonia,1996,562.17711531297198
Estonia,1997,494.73962160077002
Estonia,1998,511.60934518494901
Estonia,1999,530.99329938654796
Estonia,2000,544.57191247190701
Estonia,2001,472.874921872654
Estonia,2002,421.22462994888599
Estonia,2003,360.62977425967398
Estonia,2004,373.87560715591599
Estonia,2005,455.67835992563198
Estonia,2006,410.84184521521098
Estonia,2007,435.605736747869
Estonia,2008,513.89781838495696
Estonia,2009,553.94628818147305
Estonia,2010,552.85079199257905
Estonia,2011,588.39643256755301
Estonia,2012,497.44683413012302
Estonia,2013,569.01730647891395
Estonia,2014,509.81093980733698
