"year","country","overshoot_day","country_3_code"
1993,"Ethiopia",706.047664898656,"ETH"
1994,"Ethiopia",699.718231868561,"ETH"
1995,"Ethiopia",674.413371699106,"ETH"
1996,"Ethiopia",657.999442388421,"ETH"
1997,"Ethiopia",669.542298269884,"ETH"
1998,"Ethiopia",701.395047789561,"ETH"
1999,"Ethiopia",687.119961702132,"ETH"
2000,"Ethiopia",678.090752933831,"ETH"
2001,"Ethiopia",657.686588623628,"ETH"
2002,"Ethiopia",685.118168722928,"ETH"
2003,"Ethiopia",648.057053457451,"ETH"
2004,"Ethiopia",688.897823477206,"ETH"
2005,"Ethiopia",648.838851850978,"ETH"
2006,"Ethiopia",656.449766431171,"ETH"
2007,"Ethiopia",647.613097812741,"ETH"
2008,"Ethiopia",640.469131934958,"ETH"
2009,"Ethiopia",613.146390802182,"ETH"
2010,"Ethiopia",600.75035939413,"ETH"
2011,"Ethiopia",603.789685668186,"ETH"
2012,"Ethiopia",595.090545071591,"ETH"
2013,"Ethiopia",584.015176010786,"ETH"
2014,"Ethiopia",563.880627696588,"ETH"
